station_abbr;parameter_shortname;meas_cat_nr;data_since;data_till;owner
ALT;fh9120mv;12;01.01.1981 00:00;;MeteoSchweiz
ALT;fh9120yv;12;01.01.1981 00:00;;MeteoSchweiz
ALT;fhs010m0;12;01.01.1981 00:00;;MeteoSchweiz
ALT;fhs010y0;12;01.01.1981 00:00;;MeteoSchweiz
ALT;gh9120mv;12;01.01.1981 00:00;;MeteoSchweiz
ALT;gh9120yv;12;01.01.1981 00:00;;MeteoSchweiz
ALT;ghs000m0;12;01.01.1981 00:00;;MeteoSchweiz
ALT;ghs000y0;12;01.01.1981 00:00;;MeteoSchweiz
ALT;ph9120mv;12;01.01.1959 00:00;;MeteoSchweiz
ALT;ph9120yv;12;01.01.1959 00:00;;MeteoSchweiz
ALT;phsstam0;12;01.01.1959 00:00;;MeteoSchweiz
ALT;phsstay0;12;01.01.1959 00:00;;MeteoSchweiz
ALT;pv9120mv;12;01.01.1959 00:00;;MeteoSchweiz
ALT;pv9120yv;12;01.01.1959 00:00;;MeteoSchweiz
ALT;pva2hsm0;12;01.01.1959 00:00;;MeteoSchweiz
ALT;pva2hsy0;12;01.01.1959 00:00;;MeteoSchweiz
ALT;rh9120mv;1;01.01.1864 00:00;;MeteoSchweiz
ALT;rh9120yv;1;01.01.1864 00:00;;MeteoSchweiz
ALT;rhs001m0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;rhs001y0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;rhs001yx;1;01.01.1959 00:00;;MeteoSchweiz
ALT;rhs150m0;1;01.01.1864 00:00;;MeteoSchweiz
ALT;rhs150y0;1;01.01.1864 00:00;;MeteoSchweiz
ALT;rhsdryyx;1;01.01.1959 00:00;;MeteoSchweiz
ALT;sh9120mv;12;01.01.1959 00:00;;MeteoSchweiz
ALT;sh9120yv;12;01.01.1959 00:00;;MeteoSchweiz
ALT;shs000m0;12;01.01.1959 00:00;;MeteoSchweiz
ALT;shs000y0;12;01.01.1959 00:00;;MeteoSchweiz
ALT;th9120dv;1;01.01.1864 00:00;;MeteoSchweiz
ALT;th9120mv;1;01.01.1864 00:00;;MeteoSchweiz
ALT;th9120yv;1;01.01.1864 00:00;;MeteoSchweiz
ALT;th91dndv;1;01.01.1909 00:00;;MeteoSchweiz
ALT;th91dnmv;1;01.01.1909 00:00;;MeteoSchweiz
ALT;th91dnyv;1;01.01.1909 00:00;;MeteoSchweiz
ALT;th91dxdv;1;01.01.1953 00:00;;MeteoSchweiz
ALT;th91dxmv;1;01.01.1953 00:00;;MeteoSchweiz
ALT;th91dxyv;1;01.01.1953 00:00;;MeteoSchweiz
ALT;thl200mn;1;01.01.1959 00:00;;MeteoSchweiz
ALT;thl200mx;1;01.01.1959 00:00;;MeteoSchweiz
ALT;thl200yn;1;01.01.1959 00:00;;MeteoSchweiz
ALT;thl200yx;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths00nm0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths00ny0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths00xm0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths00xy0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths200d0;1;01.01.1864 00:00;;MeteoSchweiz
ALT;ths200dn;1;01.01.1909 00:00;;MeteoSchweiz
ALT;ths200dx;1;01.01.1953 00:00;;MeteoSchweiz
ALT;ths200m0;1;01.01.1864 00:00;;MeteoSchweiz
ALT;ths200y0;1;01.01.1864 00:00;;MeteoSchweiz
ALT;ths20nm0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths20ny0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths25xm0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths25xy0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths2dymn;1;01.01.1909 00:00;;MeteoSchweiz
ALT;ths2dymx;1;01.01.1953 00:00;;MeteoSchweiz
ALT;ths2dyyn;1;01.01.1909 00:00;;MeteoSchweiz
ALT;ths2dyyx;1;01.01.1953 00:00;;MeteoSchweiz
ALT;ths30xm0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths30xy0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;ths35xm0;1;01.01.1970 00:00;;MeteoSchweiz
ALT;ths35xy0;1;01.01.1970 00:00;;MeteoSchweiz
ALT;xhs000m0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;xhs000y0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;xhs00om0;1;01.01.1959 00:00;;MeteoSchweiz
ALT;xhs00oy0;1;01.01.1959 00:00;;MeteoSchweiz
