station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
ALT;01.01.1864 00:00;7.5;;;-2.7;;;;;;;;;;;975.8;82;;;;;;;;;;;;;;;;
ALT;01.01.1865 00:00;8.9;;;-1.3;;;;;;;;;;;875.9;74;;;;;;;;;;;;;;;;
ALT;01.01.1866 00:00;9;;;-1.2;;;;;;;;;;;1308.4;110;;;;;;;;;;;;;;;;
ALT;01.01.1867 00:00;8.6;;;-1.6;;;;;;;;;;;1279.3;108;;;;;;;;;;;;;;;;
ALT;01.01.1868 00:00;9.2;;;-1;;;;;;;;;;;1254.7;106;;;;;;;;;;;;;;;;
ALT;01.01.1869 00:00;8.6;;;-1.6;;;;;;;;;;;1182.7;100;;;;;;;;;;;;;;;;
ALT;01.01.1870 00:00;8;;;-2.2;;;;;;;;;;;1042.6;88;;;;;;;;;;;;;;;;
ALT;01.01.1871 00:00;7.3;;;-2.9;;;;;;;;;;;995.8;84;;;;;;;;;;;;;;;;
ALT;01.01.1872 00:00;9.5;;;-0.7;;;;;;;;;;;1370.3;116;;;;;;;;;;;;;;;;
ALT;01.01.1873 00:00;8.8;;;-1.4;;;;;;;;;;;1132.7;96;;;;;;;;;;;;;;;;
ALT;01.01.1874 00:00;8.2;;;-2;;;;;;;;;;;1252.4;106;;;;;;;;;;;;;;;;
ALT;01.01.1875 00:00;8.2;;;-2;;;;;;;;;;;1163.9;98;;;;;;;;;;;;;;;;
ALT;01.01.1876 00:00;8.7;;;-1.5;;;;;;;;;;;1297.3;109;;;;;;;;;;;;;;;;
ALT;01.01.1877 00:00;8.8;;;-1.4;;;;;;;;;;;1338.6;113;;;;;;;;;;;;;;;;
ALT;01.01.1878 00:00;8;;;-2.2;;;;;;;;;;;1288.7;109;;;;;;;;;;;;;;;;
ALT;01.01.1879 00:00;7.4;;;-2.8;;;;;;;;;;;1234.5;104;;;;;;;;;;;;;;;;
