station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
ANT;01.01.1864 00:00;1.1;;;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1865 00:00;2.4;;;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1866 00:00;2.9;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1867 00:00;2.5;;;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1868 00:00;2.7;;;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1869 00:00;2.3;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1870 00:00;1.8;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1871 00:00;0.9;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1872 00:00;3.1;;;-0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1873 00:00;2.8;;;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1874 00:00;1.9;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1875 00:00;1.6;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1876 00:00;2.5;;;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1877 00:00;2.2;;;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1878 00:00;1.5;;;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1879 00:00;1.1;;;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1880 00:00;2.8;;;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1881 00:00;2.2;;;-1.7;;;;;;;;;;;1274.7;100;;;;;;;;;;;;;;;;
ANT;01.01.1882 00:00;2.2;;;-1.7;;;;;;;;;;;1483.4;116;;;;;;;;;;;;;;;;
ANT;01.01.1883 00:00;1.6;;;-2.3;;;;;;;;;;;1049.5;82;;;;;;;;;;;;;;;;
ANT;01.01.1884 00:00;2.2;;;-1.7;;;;;;;;;;;711.2;56;;;;;;;;;;;;;;;;
ANT;01.01.1885 00:00;2.2;;;-1.7;;;;;;;;;;;1179.6;92;;;;;;;;;;;;;;;;
ANT;01.01.1886 00:00;2.2;;;-1.7;;;;;;;;;;;1296.6;102;;;;;;;;;;;;;;;;
ANT;01.01.1887 00:00;0.9;;;-3;;;;;;;;;;;1006;79;;;;;;;;;;;;;;;;
ANT;01.01.1888 00:00;1.6;;;-2.3;;;;;;;;;;;1668.9;131;;;;;;;;;;;;;;;;
ANT;01.01.1889 00:00;1.6;;;-2.3;;;;;;;;;;;1285.2;101;;;;;;;;;;;;;;;;
ANT;01.01.1890 00:00;1.6;;;-2.3;;;;;;;;;;;1277.2;100;;;;;;;;;;;;;;;;
ANT;01.01.1891 00:00;1.3;;;-2.6;;;;;;;;;;;1243.5;97;;;;;;;;;;;;;;;;
ANT;01.01.1892 00:00;2;;;-1.9;;;;;;;;;;;1154.9;90;;;;;;;;;;;;;;;;
ANT;01.01.1893 00:00;2.1;;;-1.8;;;;;;;;;;;1025;80;;;;;;;;;;;;;;;;
ANT;01.01.1894 00:00;2.2;;;-1.7;;;;;;;;;;;952.3;75;;;;;;;;;;;;;;;;
ANT;01.01.1895 00:00;2;;;-1.9;;;;;;;;;;;1128;88;;;;;;;;;;;;;;;;
ANT;01.01.1896 00:00;1;;;-2.9;;;;;;;;;;;1083.8;85;;;;;;;;;;;;;;;;
ANT;01.01.1897 00:00;2.5;;;-1.4;;;;;;;;;;;1361.7;107;;;;;;;;;;;;;;;;
ANT;01.01.1898 00:00;2.6;;;-1.3;;;;;;;;;;;1899.7;149;;;;;;;;;;;;;;;;
ANT;01.01.1899 00:00;2.7;;;-1.2;;;;;;;;;;;1066.8;84;;;;;;;;;;;;;;;;
ANT;01.01.1900 00:00;2.6;;;-1.3;;;;;;;;;;;1263.1;99;;;;;;;;;;;;;;;;
ANT;01.01.1901 00:00;1.6;;;-2.3;;;;;;;;;;;1235.1;97;;;;;;;;;;;;;;;;
ANT;01.01.1902 00:00;2.3;;;-1.6;;;;;;;;;;;1057.3;83;;;;;;;;;;;;;;;;
ANT;01.01.1903 00:00;2.2;;;-1.7;;;;;;;;;;;1490;117;;;;;;;;;;;;;;;;
ANT;01.01.1904 00:00;3.1;;;-0.8;;;;;;;;;;;1327.5;104;;;;;;;;;;;;;;;;
ANT;01.01.1905 00:00;1.6;;;-2.3;;;;;;;;;;;1394.6;109;;;;;;;;;;;;;;;;
ANT;01.01.1906 00:00;1.7;;;-2.2;;;;;;;;;;;1189.3;93;;;;;;;;;;;;;;;;
ANT;01.01.1907 00:00;2.2;;;-1.7;;;;;;;;;;;1546.5;121;;;;;;;;;;;;;;;;
ANT;01.01.1908 00:00;1.9;;;-2;;;;;;;;;;;1362.4;107;;;;;;;;;;;;;;;;
ANT;01.01.1909 00:00;1.4;;;-2.5;;;;;;;;;;;1346;105;;;;;;;;;;;;;;;;
ANT;01.01.1910 00:00;1.9;;;-2;;;;;;;;;;;1462.2;115;;;;;;;;;;;;;;;;
ANT;01.01.1911 00:00;2.8;;;-1.1;;;;;;;;;;;1165.6;91;;;;;;;;;;;;;;;;
ANT;01.01.1912 00:00;2;;;-1.9;;;;;;;;;;;1294.7;101;;;;;;;;;;;;;;;;
ANT;01.01.1913 00:00;2.5;;;-1.4;;;;;;;;;;;1214;95;;;;;;;;;;;;;;;;
ANT;01.01.1914 00:00;2.2;;;-1.7;;;;;;;;;;;1664.7;130;;;;;;;;;;;;;;;;
ANT;01.01.1915 00:00;2.4;;;-1.5;;;;;;;;;;;1166.6;91;;;;;;;;;;;;;;;;
ANT;01.01.1916 00:00;2.5;;;-1.4;;;;;;;;;;;1877.9;147;;;;;;;;;;;;;;;;
ANT;01.01.1917 00:00;1.5;;;-2.4;;;;;;;;;;;1312;103;;;;;;;;;;;;;;;;
ANT;01.01.1918 00:00;2.2;;;-1.7;;;;;;;;;;;1340.5;105;;;;;;;;;;;;;;;;
ANT;01.01.1919 00:00;1.5;;;-2.4;;;;;;;;;;;1597.6;125;;;;;;;;;;;;;;;;
ANT;01.01.1920 00:00;3.4;;;-0.5;;;;;;;;;;;1292.1;101;;;;;;;;;;;;;;;;
ANT;01.01.1921 00:00;3;;;-0.9;;;;;;;;;;;880.5;69;;;;;;;;;;;;;;;;
ANT;01.01.1922 00:00;1.7;;;-2.2;;;;;;;;;;;1478.6;116;;;;;;;;;;;;;;;;
ANT;01.01.1923 00:00;2.7;;;-1.2;;;;;;;;;;;1377.6;108;;;;;;;;;;;;;;;;
ANT;01.01.1924 00:00;2.3;;;-1.6;;;;;;;;;;;1267.6;99;;;;;;;;;;;;;;;;
ANT;01.01.1925 00:00;2.1;;;-1.8;;;;;;;;;;;1227.3;96;;;;;;;;;;;;;;;;
ANT;01.01.1926 00:00;2.9;;;-1;;;;;;;;;;;1514.8;119;;;;;;;;;;;;;;;;
ANT;01.01.1927 00:00;2.8;;;-1.1;;;;;;;;;;;1456.9;114;;;;;;;;;;;;;;;;
ANT;01.01.1928 00:00;2.8;;;-1.1;;;;;;;;;;;1608;126;;;;;;;;;;;;;;;;
ANT;01.01.1929 00:00;2.1;;;-1.8;;;;;;;;;;;1015.4;80;;;;;;;;;;;;;;;;
