station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
BAS;01.01.1755 00:00;8;;;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1756 00:00;8.3;;;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1757 00:00;8;;;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1758 00:00;7.6;;;-3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1759 00:00;8.9;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1760 00:00;9.5;;;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1761 00:00;8.9;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1762 00:00;8.6;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1763 00:00;8.4;;;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1764 00:00;9.1;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1765 00:00;8.8;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1766 00:00;8;;;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1767 00:00;8.4;;;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1768 00:00;8.6;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1769 00:00;8.8;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
