station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
CDF;01.01.1900 00:00;;;;;;;;;;;;;;;1163;84;;;;;;;;;;;;;;;;
CDF;01.01.1901 00:00;4.5;-0.6;;-2.5;-2.8;;;;;;;;;;1417.8;102;;;104628;100;;;;;;;;;;;;
CDF;01.01.1902 00:00;5.1;0.3;;-1.9;-1.9;;;;;;;;;;1308.1;94;;;96488;92;;;;;;;;;;;;
CDF;01.01.1903 00:00;5.1;0.2;;-1.9;-2;;;;;;;;;;1111.7;80;;;93843;90;;;;;;;;;;;;
CDF;01.01.1904 00:00;5.6;0.6;;-1.4;-1.6;;;;;;;;;;1119.6;81;;;100804;96;;;;;;;;;;;;
CDF;01.01.1905 00:00;4.8;-0.2;;-2.2;-2.4;;;;;;;;;;1357.1;98;;;98070;94;;;;;;;;;;;;
CDF;01.01.1906 00:00;5;-0.4;;-2;-2.6;;;;;;;;;;1150.5;83;;;110457;105;;;;;;;;;;;;
CDF;01.01.1907 00:00;5.1;-0.3;;-1.9;-2.5;;;;;;;;;;1058.3;76;;;96619;92;;;;;;;;;;;;
CDF;01.01.1908 00:00;4.8;-0.7;;-2.2;-2.9;;;;;;;;;;1224.9;88;;;108122;103;;;;;;;;;;;;
CDF;01.01.1909 00:00;4.1;-1;;-2.9;-3.2;;;;;;;;;;1512.6;109;;;103308;99;;;;;;;;;;;;
CDF;01.01.1910 00:00;4.9;0.1;;-2.1;-2.1;;;;;;;;;;1779.7;128;;;91024;87;;;;;;;;;;;;
CDF;01.01.1911 00:00;6.1;0.7;;-0.9;-1.5;;;;;;;;;;1055.3;76;;;123265;118;;;;;;;;;;;;
CDF;01.01.1912 00:00;5;-0.2;;-2;-2.4;;;;;;;;;;1380.8;99;;;90946;87;;;;;;;;;;;;
CDF;01.01.1913 00:00;5.6;0.5;;-1.4;-1.7;;;;;;;;;;1176.1;85;;;93078;89;;;;;;;;;;;;
CDF;01.01.1914 00:00;5;-0.1;;-2;-2.3;;;;;;;;;;1549.6;112;;;98590;94;;;;;;;;;;;;
CDF;01.01.1915 00:00;5.1;0.2;;-1.9;-2;;;;;;;;;;1496.4;108;;;97500;93;;;;;;;;;;;;
CDF;01.01.1916 00:00;5.4;0.5;;-1.6;-1.7;;;;;;;;;;1678;121;;;91776;88;;;;;;;;;;;;
CDF;01.01.1917 00:00;4.3;-0.8;;-2.7;-3;;;;;;;;;;1519.4;109;;;102298;98;;;;;;;;;;;;
CDF;01.01.1918 00:00;5.4;0.1;;-1.6;-2.1;;;;;;;;;;1312.1;94;;;113680;108;;;;;;;;;;;;
CDF;01.01.1919 00:00;4.6;-0.4;;-2.4;-2.6;;;;;;;;;;1515.5;109;;;97748;93;;;;;;;;;;;;
CDF;01.01.1920 00:00;5.9;0.9;;-1.1;-1.3;;;;;;;;;;1028.3;74;;;106350;101;;;;;;;;;;;;
CDF;01.01.1921 00:00;6.1;0.8;;-0.9;-1.4;;;;;;;;;;834.4;60;;;129619;124;;;;;;;;;;;;
CDF;01.01.1922 00:00;4.8;-0.4;;-2.2;-2.6;;;;;;;;;;1679.1;121;;;93106;89;;;;;;;;;;;;
CDF;01.01.1923 00:00;5.5;0.6;;-1.5;-1.6;;;;;;;;;;1479.4;107;;;96213;92;;;;;;;;;;;;
CDF;01.01.1924 00:00;5.1;-0.1;;-1.9;-2.3;;;;;;;;;;1232.4;89;;;107769;103;;;;;;;;;;;;
CDF;01.01.1925 00:00;5;0.3;;-2;-1.9;;;;;;;;;;1360.2;98;;;103011;98;;;;;;;;;;;;
CDF;01.01.1926 00:00;5.8;1;;-1.2;-1.2;;;;;;;;;;1226.4;88;;;104599;100;;;;;;;;;;;;
CDF;01.01.1927 00:00;5.5;0.6;;-1.5;-1.6;;;;;;;;;;1496;108;;;107055;102;;;;;;;;;;;;
CDF;01.01.1928 00:00;6;0.9;;-1;-1.3;;;;;;;;;;1303.3;94;;;101345;97;;;;;;;;;;;;
CDF;01.01.1929 00:00;5.3;-0.1;;-1.7;-2.3;;;;;;;;;;971.5;70;;;110124;105;;;;;;;;;;;;
CDF;01.01.1930 00:00;6.1;1.4;;-0.9;-0.8;;;;;;;;;;1631.6;117;;;87598;84;;;;;;;;;;;;
CDF;01.01.1931 00:00;4.7;-0.4;;-2.3;-2.6;;;;;;;;;;1407.5;101;;;97196;93;;;;;;;;;;;;
CDF;01.01.1932 00:00;5.4;0.4;;-1.6;-1.8;;;;;;;;;;1165.5;84;;;101866;97;;;;;;;;;;;;
CDF;01.01.1933 00:00;5.1;0.1;;-1.9;-2.1;;;;;;;;;;1094.9;79;;;107422;102;;;;;;;;;;;;
CDF;01.01.1934 00:00;6.1;0.9;;-0.9;-1.3;;;;;;;;;;1036.8;75;;;115924;111;;;;;;;;;;;;
CDF;01.01.1935 00:00;5.2;0;;-1.8;-2.2;;;;;;;;;;1546.9;111;;;96197;92;;;;;;;;;;;;
CDF;01.01.1936 00:00;5.5;1.2;;-1.5;-1;;;;;;;;;;1522.6;110;;;87624;84;;;;;;;;;;;;
CDF;01.01.1937 00:00;5.9;1.6;;-1.1;-0.6;;;;;;;;;;1446.9;104;;;92628;88;;;;;;;;;;;;
CDF;01.01.1938 00:00;5.3;0.6;;-1.7;-1.6;;;;;;;;;;1203.8;87;;;112221;107;;;;;;;;;;;;
CDF;01.01.1939 00:00;5;0.7;;-2;-1.5;;;;;;;;;;1789;129;;;81838;78;;;;;;;;;;;;
CDF;01.01.1940 00:00;4.5;-0.3;;-2.5;-2.5;;;;;;;;;;1531.9;110;;;98238;94;;;;;;;;;;;;
CDF;01.01.1941 00:00;4.4;-0.1;;-2.6;-2.3;;;;;;;;;;1169.1;84;;;100420;96;;;;;;;;;;;;
CDF;01.01.1942 00:00;5.2;0.3;;-1.8;-1.9;;;;;;;;;;1315.5;95;;;110589;106;;;;;;;;;;;;
CDF;01.01.1943 00:00;6.2;1;;-0.8;-1.2;;;;;;;;;;1267.9;91;;;111987;107;;;;;;;;;;;;
CDF;01.01.1944 00:00;4.9;0.1;;-2.1;-2.1;;;;;;;;;;1528.8;110;;;92133;88;;;;;;;;;;;;
CDF;01.01.1945 00:00;6;1;;-1;-1.2;;;;;;;;;;1318.8;95;;;121884;116;;;;;;;;;;;;
CDF;01.01.1946 00:00;5.6;1.1;;-1.4;-1.1;;;;;;;;;;1312.1;94;;;99602;95;;;;;;;;;;;;
CDF;01.01.1947 00:00;6.8;1.5;;-0.2;-0.7;;;;;;;;;;1190.9;86;;;111591;106;;;;;;;;;;;;
CDF;01.01.1948 00:00;6.3;1.4;;-0.7;-0.8;;;;;;;;;;1429.8;103;;;111079;106;;;;;;;;;;;;
CDF;01.01.1949 00:00;6.6;1.5;;-0.4;-0.7;;;;;;;;;;902.3;65;;;124872;119;;;;;;;;;;;;
CDF;01.01.1950 00:00;6.2;1.4;;-0.8;-0.8;;;;;;;;;;1585.3;114;;;103413;99;;;;;;;;;;;;
CDF;01.01.1951 00:00;5.9;1.2;;-1.1;-1;;;;;;;;;;1461.9;105;;;95263;91;;;;;;;;;;;;
CDF;01.01.1952 00:00;5.7;0.9;;-1.3;-1.3;;;;;;;;;;1565.9;113;;;102806;98;;;;;;;;;;;;
CDF;01.01.1953 00:00;5.8;0.8;;-1.2;-1.4;;;;;;;;;;984.4;71;;;115562;110;;;;;;;;;;;;
CDF;01.01.1954 00:00;4.9;0.4;;-2.1;-1.8;;;;;;;;;;1424.8;103;;;96047;92;;;;;;;;;;;;
CDF;01.01.1955 00:00;5.3;0.8;;-1.7;-1.4;;;;;;;;;;1416.8;102;;;103478;99;;;;;;;;;;;;
CDF;01.01.1956 00:00;4.1;-0.3;;-2.9;-2.5;;;;;;;;;;1499.9;108;;;96892;92;;;;;;;;;;;;
CDF;01.01.1957 00:00;5.6;0.8;;-1.4;-1.4;;;;;;;;;;1294.3;93;;;105961;101;;;;;;;;;;;;
CDF;01.01.1958 00:00;5.7;0.9;;-1.3;-1.3;;;;;;;;;;1394.8;100;;;100672;96;;;;;;;;;;;;
CDF;01.01.1959 00:00;6.6;1.6;11.2;-0.4;-0.6;-0.5;8.1;-0.3;27;902.1;1.4;14;;;1205.2;87;;;116579;111;4463.2;12.8;;134;-14.2;26.8;159;6;16;0;0;
CDF;01.01.1960 00:00;5.8;0.9;9.9;-1.2;-1.3;-1.8;7.5;-0.9;19;899.3;-1.4;8;;;1472.4;106;;;92377;88;4873.6;2.2;;170;-18.6;25.6;152;1;28;0;0;
CDF;01.01.1961 00:00;6.6;1.8;11.3;-0.4;-0.4;-0.4;8.2;-0.2;16;901;0.3;11;;;1298.6;94;;;109177;104;4479;1;2223;149;-13.9;25;140;3;17;0;0;
CDF;01.01.1962 00:00;4.5;-0.1;9.5;-2.5;-2.3;-2.2;6.6;-1.8;27;900.2;-0.5;7;;;1284.3;92;;;111354;106;5302.9;8.3;2950.9;136;-20.7;27.7;180;9;47;0;0;
CDF;01.01.1963 00:00;4.8;0.5;9.7;-2.2;-1.7;-2;7.5;-0.9;26;898.6;-2.1;11;;;1314.7;95;;;98127;94;5122.8;1.9;2802.8;145;-22.8;25;147;1;47;0;0;
CDF;01.01.1964 00:00;6;1.8;10.8;-1;-0.4;-0.9;7.7;-0.7;21;901.3;0.6;12;;;893.3;64;;;104099;99;4742.3;20.1;2502.3;118;-16.8;28.8;153;12;24;0;0;
CDF;01.01.1965 00:00;4.9;0.6;9.7;-2.1;-1.6;-2;7.4;-1;13;898.7;-2;21;;;1709.4;123;;;81305;78;5247.9;6;2751.9;198;-15.7;27.1;149;5;41;0;0;
CDF;01.01.1966 00:00;5.8;1.2;10.4;-1.2;-1;-1.3;8.1;-0.3;13;898.6;-2.1;8;;;1609.3;116;;;87348;83;4841.3;5.3;2449.3;179;-21;28.5;149;5;26;0;0;
CDF;01.01.1967 00:00;5.8;1;10.8;-1.2;-1.2;-0.9;7.8;-0.6;22;901.2;0.5;7;;;1277.2;92;;;107208;102;4758.5;10.8;2518.5;134;-20.1;27;154;14;32;0;0;
CDF;01.01.1968 00:00;5.5;0.8;10.2;-1.5;-1.4;-1.5;8.1;-0.3;11;899.6;-1.1;10;;;1611.7;116;;;97993;93;5021;16;2549;162;-24.1;28.2;159;7;34;0;0;
CDF;01.01.1969 00:00;5.1;0.2;9.8;-1.9;-2;-1.9;8;-0.4;22;898.8;-1.9;8;;;1308.7;94;;;96277;92;5077.4;5.9;2749.4;150;-17.9;26.1;160;4;49;0;0;
CDF;01.01.1970 00:00;5.4;0.8;10.1;-1.6;-1.4;-1.6;7.7;-0.7;14;899.7;-1;11;;;1776.3;128;;;88938;85;4938;2.6;2618;179;-18.7;27;164;4;37;0;0;0
CDF;01.01.1971 00:00;5.9;1.2;10.5;-1.1;-1;-1.2;8;-0.4;19;900.5;-0.2;7;;;985;71;;;112836;108;4614.8;6.4;2454.8;120;-21.7;26.7;153;4;30;0;0;0
CDF;01.01.1972 00:00;5.5;1;10.4;-1.5;-1.2;-1.3;7.6;-0.8;32;899.7;-1;8;;;1203.8;87;;;95265;91;5045.7;7.5;2517.7;125;-14.3;27.5;155;5;13;0;0;0
CDF;01.01.1973 00:00;5.4;0.6;10.2;-1.6;-1.6;-1.5;7.8;-0.6;17;901.7;1;8;;;1273.3;92;;;99495;95;4855.9;7.8;2695.9;134;-16.6;26.6;167;18;39;0;0;0
CDF;01.01.1974 00:00;5.7;1.3;10;-1.3;-0.9;-1.7;7.5;-0.9;13;899.6;-1.1;8;;;1364.4;98;;;82719;79;4828;9.8;2492;160;-10.5;30.6;167;8;22;0;1;0
CDF;01.01.1975 00:00;5.8;1.4;10.4;-1.2;-0.8;-1.3;7.6;-0.8;18;901;0.3;11;;;1256.3;90;;;95422;91;4743.2;16;2511.2;144;-14.3;28.4;167;10;20;0;0;0
CDF;01.01.1976 00:00;6;1.3;10.6;-1;-0.9;-1.1;7.5;-0.9;27;899.9;-0.8;15;;;1010.3;73;;;109121;104;4727.1;23.4;2511.1;137;-16.6;27.6;163;15;37;0;0;0
CDF;01.01.1977 00:00;5.9;1.5;10.6;-1.1;-0.7;-1.1;8;-0.4;9;899.8;-0.9;8;;;1786.7;129;;;85042;81;4756.8;0.7;2340.8;180;-13;25.1;146;1;33;0;0;0
CDF;01.01.1978 00:00;5.3;0.9;9.9;-1.7;-1.3;-1.8;7.7;-0.7;20;899;-1.7;16;;;1501.2;108;;;93493;89;5060.3;1;2612.3;166;-14.8;25.6;151;3;38;0;0;0
CDF;01.01.1979 00:00;5.5;1.2;10.1;-1.5;-1;-1.6;8.1;-0.3;19;898.9;-1.8;12;;;1583.8;114;;;83933;80;4815.3;2.2;2575.3;170;-20.9;26.6;153;2;41;0;0;0
CDF;01.01.1980 00:00;4.8;1;9.4;-2.2;-1.2;-2.3;7.5;-0.9;16;899.8;-0.9;8;;;1650.5;119;;;82988;79;5272.9;7;2816.9;156;-18.5;28.5;152;6;38;0;0;0
CDF;01.01.1981 00:00;5.4;0.8;10.1;-1.6;-1.4;-1.6;8.1;-0.3;13;900;-0.7;22;2.2;96;1609.3;116;129;91;83159;79;4927.1;4.1;2623.1;176;-21.7;28;144;6;34;0;0;0
CDF;01.01.1982 00:00;6.5;2.2;11.4;-0.5;0;-0.3;8.4;0;14;901.1;0.4;10;2.2;96;1599;115;138;98;98535;94;4468.2;14.8;2300.2;155;-18.3;28.4;146;10;18;0;0;0
CDF;01.01.1983 00:00;6.3;1.6;11.4;-0.7;-0.6;-0.3;8.2;-0.2;25;901.7;1;9;2.4;104;1731.1;125;136;96;96946;92;4616.6;56.2;2448.6;150;-17.1;33.8;134;19;28;0;5;0
CDF;01.01.1984 00:00;5.4;0.8;10.1;-1.6;-1.4;-1.6;7.6;-0.8;20;899.6;-1.1;8;2.5;109;1314.4;95;134;95;95262;91;5000.2;12.4;2616.2;147;-18.2;30.1;159;9;40;0;1;0
CDF;01.01.1985 00:00;5.5;0.6;10.4;-1.5;-1.6;-1.3;7.6;-0.8;23;900.2;-0.5;11;2.5;109;1183.4;85;142;101;104857;100;4855.3;10.7;2655.3;130;-29.5;29.5;151;8;47;0;0;0
CDF;01.01.1986 00:00;5.8;1.1;10.6;-1.2;-1.1;-1.1;7.9;-0.5;30;900.4;-0.3;15;2.5;109;1437.4;104;135;96;98890;94;4821.4;13.5;2557.4;154;-25.7;30.2;143;11;34;0;1;0
CDF;01.01.1987 00:00;5.7;1.3;10.4;-1.3;-0.9;-1.3;8;-0.4;17;900.3;-0.4;10;2.4;104;1766.4;127;128;91;90369;86;4790.1;9.8;2566.1;156;-28.4;27.9;133;17;45;0;0;0
CDF;01.01.1988 00:00;6.6;2.1;11.1;-0.4;-0.1;-0.6;8.4;0;22;900.4;-0.3;8;2.5;109;1737;125;131;93;90611;86;4386.4;9.8;2218.4;172;-18.6;29.2;128;8;26;0;0;0
CDF;01.01.1989 00:00;7.1;2.2;12.6;0.1;0;0.9;8;-0.4;33;902;1.3;12;2.3;100;1091.2;79;140;99;120524;115;4225.2;10.2;2057.2;119;-9.2;28.7;124;6;0;0;0;0
CDF;01.01.1990 00:00;7;2.1;12;0;-0.1;0.3;8.1;-0.3;20;901.9;1.2;9;2.6;113;1523.8;110;138;98;108821;104;4378.3;16.2;2130.3;141;-12.8;29.5;129;15;20;0;0;0
CDF;01.01.1991 00:00;6.1;1.2;11;-0.9;-1;-0.7;7.9;-0.5;26;901.5;0.8;8;2.3;100;1220.4;88;140;99;111073;106;4624;15.8;2488;129;-22.3;28.7;155;13;25;0;0;0
CDF;01.01.1992 00:00;6.8;2.1;11.5;-0.2;-0.1;-0.2;8.3;-0.1;19;901.6;0.9;20;2.5;109;1489.7;107;133;94;97003;93;4423.8;34.2;2271.8;150;-16.9;29.2;127;22;20;0;0;0
CDF;01.01.1993 00:00;6.4;1.8;11.1;-0.6;-0.4;-0.6;8.1;-0.3;19;901.1;0.4;9;2.5;109;1489;107;135;96;96107;92;4531;7;2291;147;-19.5;28.3;138;8;29;0;0;0
CDF;01.01.1994 00:00;7.7;3.2;12;0.7;1;0.3;8.9;0.5;18;900.9;0.2;12;2.4;104;1626.6;117;129;91;88805;85;4028.8;39.8;1980.8;172;-19.2;30;101;26;15;0;1;0
CDF;01.01.1995 00:00;6.6;2.1;11;-0.4;-0.1;-0.7;8.3;-0.1;21;900.5;-0.2;13;2.5;109;1745.2;126;132;94;95193;91;4431.2;20.2;2271.2;159;-19.8;30;134;11;26;0;1;0
CDF;01.01.1996 00:00;5.9;1.2;10.5;-1.1;-1;-1.2;7.7;-0.7;27;898.7;-2;10;2.3;100;1210;87;136;96;101330;97;4781.2;0.9;2453.2;131;-20;26.1;137;3;32;0;0;0
CDF;01.01.1997 00:00;7.1;2.2;12.3;0.1;0;0.6;8.3;-0.1;23;901.4;0.7;9;2.3;100;1265.7;91;143;101;114097;109;4196.9;4.1;2068.9;144;-12.9;27.1;133;9;12;0;0;0
