station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
CHD;01.01.1879 00:00;3.4;;;-3.4;;;;;;;;;;;1238.7;95;;;;;;;;;;;;;;;;
CHD;01.01.1880 00:00;5.2;;;-1.6;;;;;;;;;;;1116.5;86;;;;;;;;;;;;;;;;
CHD;01.01.1881 00:00;4.6;;;-2.2;;;;;;;;;;;1236.6;95;;;;;;;;;;;;;;;;
CHD;01.01.1882 00:00;5;;;-1.8;;;;;;;;;;;1464.5;113;;;;;;;;;;;;;;;;
CHD;01.01.1883 00:00;4.2;;;-2.6;;;;;;;;;;;1148.6;88;;;;;;;;;;;;;;;;
CHD;01.01.1884 00:00;5;;;-1.8;;;;;;;;;;;971.7;75;;;;;;;;;;;;;;;;
CHD;01.01.1885 00:00;4.7;;;-2.1;;;;;;;;;;;1227.1;94;;;;;;;;;;;;;;;;
CHD;01.01.1886 00:00;4.8;;;-2;;;;;;;;;;;1125.1;86;;;;;;;;;;;;;;;;
CHD;01.01.1897 00:00;;;;;;;;;;;;;;;1207.6;93;;;;;;;;;;;;;;;;
CHD;01.01.1898 00:00;;;;;;;;;;;;;;;1001.8;77;;;;;;;;;;;;;;;;
CHD;01.01.1899 00:00;;;;;;;;;;;;;;;1162;89;;;;;;;;;;;;;;;;
CHD;01.01.1900 00:00;;;;;;;;;;;;;;;1087.6;84;;;;;;;;;;;;;;;;
CHD;01.01.1901 00:00;4.1;;;-2.7;;;;;;;;;;;1264.5;97;;;;;;;;;;;;;;;;
CHD;01.01.1902 00:00;4.5;;;-2.3;;;;;;;;;;;1325.4;102;;;;;;;;;;;;;;;;
CHD;01.01.1903 00:00;4.7;;;-2.1;;;;;;;;;;;1251.1;96;;;;;;;;;;;;;;;;
CHD;01.01.1904 00:00;5.3;;;-1.5;;;;;;;;;;;1230;94;;;;;;;;;;;;;;;;
CHD;01.01.1905 00:00;4.4;;;-2.4;;;;;;;;;;;1292.9;99;;;;;;;;;;;;;;;;
CHD;01.01.1906 00:00;4.7;;;-2.1;;;;;;;;;;;1004.7;77;;;;;;;;;;;;;;;;
CHD;01.01.1907 00:00;4.6;;;-2.2;;;;;;;;;;;1096.1;84;;;;;;;;;;;;;;;;
CHD;01.01.1908 00:00;4.4;;;-2.4;;;;;;;;;;;1072.6;82;;;;;;;;;;;;;;;;
CHD;01.01.1909 00:00;3.9;;;-2.9;;;;;;;;;;;1179.2;91;;;;;;;;;;;;;;;;
CHD;01.01.1910 00:00;4.6;;;-2.2;;;;;;;;;;;1856.9;143;;;;;;;;;;;;;;;;
CHD;01.01.1911 00:00;5.7;;;-1.1;;;;;;;;;;;971.1;75;;;;;;;;;;;;;;;;
CHD;01.01.1912 00:00;4.6;;;-2.2;;;;;;;;;;;1385.6;106;;;;;;;;;;;;;;;;
CHD;01.01.1913 00:00;5.3;;;-1.5;;;;;;;;;;;1072.1;82;;;;;;;;;;;;;;;;
CHD;01.01.1914 00:00;4.6;;;-2.2;;;;;;;;;;;1491.1;115;;;;;;;;;;;;;;;;
CHD;01.01.1915 00:00;4.6;;;-2.2;;;;;;;;;;;1436.1;110;;;;;;;;;;;;;;;;
CHD;01.01.1916 00:00;5;;;-1.8;;;;;;;;;;;1467.8;113;;;;;;;;;;;;;;;;
CHD;01.01.1917 00:00;3.8;;;-3;;;;;;;;;;;1362.8;105;;;;;;;;;;;;;;;;
CHD;01.01.1918 00:00;5.2;;;-1.6;;;;;;;;;;;1334.9;103;;;;;;;;;;;;;;;;
CHD;01.01.1919 00:00;4.2;;;-2.6;;;;;;;;;;;1533.2;118;;;;;;;;;;;;;;;;
CHD;01.01.1920 00:00;5.7;;;-1.1;;;;;;;;;;;894.2;69;;;;;;;;;;;;;;;;
CHD;01.01.1921 00:00;5.9;;;-0.9;;;;;;;;;;;975.3;75;;;;;;;;;;;;;;;;
CHD;01.01.1922 00:00;4.4;;;-2.4;;;;;;;;;;;1644.9;126;;;;;;;;;;;;;;;;
CHD;01.01.1923 00:00;5.3;;;-1.5;;;;;;;;;;;1398.4;107;;;;;;;;;;;;;;;;
CHD;01.01.1924 00:00;4.9;;;-1.9;;;;;;;;;;;1208.8;93;;;;;;;;;;;;;;;;
CHD;01.01.1925 00:00;5.4;;;-1.4;;;;;;;;;;;1129.7;87;;;;;;;;;;;;;;;;
CHD;01.01.1926 00:00;5.7;;;-1.1;;;;;;;;;;;1322.9;102;;;;;;;;;;;;;;;;
CHD;01.01.1927 00:00;5.3;;;-1.5;;;;;;;;;;;1514.7;116;;;;;;;;;;;;;;;;
CHD;01.01.1928 00:00;5.8;;;-1;;;;;;;;;;;1373.4;106;;;;;;;;;;;;;;;;
CHD;01.01.1929 00:00;4.9;;;-1.9;;;;;;;;;;;1090.4;84;;;;;;;;;;;;;;;;
CHD;01.01.1930 00:00;5.7;;;-1.1;;;;;;;;;;;1687.7;130;;;;;;;;;;;;;;;;
CHD;01.01.1931 00:00;4.6;0;;-2.2;-2.1;;;;;;;;;;1312.4;101;;;;;;;;;;;;;;;;
CHD;01.01.1932 00:00;4.9;0.4;;-1.9;-1.7;;;;;;;;;;1166.3;90;;;;;;;;;;;;;;;;
CHD;01.01.1933 00:00;4.6;0;;-2.2;-2.1;;;;;;;;;;1128.9;87;;;;;;;;;;;;;;;;
CHD;01.01.1934 00:00;5.5;0.7;;-1.3;-1.4;;;;;;;;;;1041.6;80;;;;;;;;;;;;;;;;
CHD;01.01.1935 00:00;4.8;0.4;;-2;-1.7;;;;;;;;;;1501.8;115;;;;;;;;;;;;;;;;
CHD;01.01.1936 00:00;5.3;1;;-1.5;-1.1;;;;;;;;;;1448.2;111;;;;;;;;;;;;;;;;
CHD;01.01.1937 00:00;5.4;1.3;11.2;-1.4;-0.8;-1.2;;;;;;;;;1116.7;86;;;;;;;;;;;;;;;;
CHD;01.01.1938 00:00;5;0.3;11.4;-1.8;-1.8;-1;;;;;;;;;1152.5;89;;;;;;;;;;;;;;;;
CHD;01.01.1939 00:00;4.6;0.5;10.1;-2.2;-1.6;-2.3;;;;;;;;;1524.8;117;;;;;;;;;;;;;;;;
CHD;01.01.1940 00:00;4.2;0;10.1;-2.6;-2.1;-2.3;;;;;;;;;1641.6;126;;;;;;;;;;;;;;;;
CHD;01.01.1941 00:00;4.4;-0.2;10.4;-2.4;-2.3;-2;;;;;;;;;1221.5;94;;;;;;;;;;;;;;;;
CHD;01.01.1942 00:00;5;0.5;11.3;-1.8;-1.6;-1.1;;;;;;;;;1078.5;83;;;;;;;;;;;;;;;;
CHD;01.01.1943 00:00;5.9;1.2;12.1;-0.9;-0.9;-0.3;;;;;;;;;1159.2;89;;;;;;;;;;;;;;;;
CHD;01.01.1944 00:00;4.8;0.2;10.7;-2;-1.9;-1.7;;;;;;;;;1582.8;122;;;;;;;;;;;;;;;;
CHD;01.01.1945 00:00;5.6;0.6;12.2;-1.2;-1.5;-0.2;;;;;;;;;1241.4;95;;;;;;;;;;;;;;;;
CHD;01.01.1946 00:00;5.6;1.2;11.7;-1.2;-0.9;-0.7;;;;;;;;;1311.8;101;;;;;;;;;;;;;;;;
CHD;01.01.1947 00:00;6.6;1.8;13;-0.2;-0.3;0.6;;;;;;;;;1140.5;88;;;;;;;;;;;;;;;;
CHD;01.01.1948 00:00;5.9;1.4;11.9;-0.9;-0.7;-0.5;;;;;;;;;1385.1;106;;;;;;;;;;;;;;;;
CHD;01.01.1949 00:00;6.2;1.1;12.4;-0.6;-1;0;;;;;;;;;996.3;77;;;;;;;;;;;;;;;;
