station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
CHM;01.01.1864 00:00;4.4;;;-2.4;;;;;;;;;;;923.4;81;;;;;;;;;;;;;;;;
CHM;01.01.1865 00:00;5.6;;;-1.2;;;;;;;;;;;994.5;87;;;;;;;;;;;;;;;;
CHM;01.01.1866 00:00;5.6;;;-1.2;;;;;;;;;;;1339.3;117;;;;;;;;;;;;;;;;
CHM;01.01.1867 00:00;4.8;;;-2;;;;;;;;;;;1259;110;;;;;;;;;;;;;;;;
CHM;01.01.1868 00:00;5.8;;;-1;;;;;;;;;;;1026.9;90;;;;;;;;;;;;;;;;
CHM;01.01.1869 00:00;5;;;-1.8;;;;;;;;;;;844.2;74;;;;;;;;;;;;;;;;
CHM;01.01.1870 00:00;4.3;;;-2.5;;;;;;;;;;;946.8;83;;;;;;;;;;;;;;;;
CHM;01.01.1871 00:00;4.2;;;-2.6;;;;;;;;;;;789.4;69;;;;;;;;;;;;;;;;
CHM;01.01.1872 00:00;5.8;;;-1;;;;;;;;;;;1403;123;;;;;;;;;;;;;;;;
CHM;01.01.1873 00:00;5.2;;;-1.6;;;;;;;;;;;905.3;79;;;;;;;;;;;;;;;;
CHM;01.01.1874 00:00;4.8;;;-2;;;;;;;;;;;943;83;;;;;;;;;;;;;;;;
CHM;01.01.1875 00:00;4.7;;;-2.1;;;;;;;;;;;1219.2;107;;;;;;;;;;;;;;;;
CHM;01.01.1876 00:00;5.2;;;-1.6;;;;;;;;;;;1110.4;97;;;;;;;;;;;;;;;;
CHM;01.01.1877 00:00;4.8;;;-2;;;;;;;;;;;1197.3;105;;;;;;;;;;;;;;;;
CHM;01.01.1878 00:00;4.4;;;-2.4;;;;;;;;;;;1184.9;104;;;;;;;;;;;;;;;;
CHM;01.01.1879 00:00;3.8;;;-3;;;;;;;;;;;1214.1;106;;;;;;;;;;;;;;;;
CHM;01.01.1880 00:00;5.5;;;-1.3;;;;;;;;;;;1108;97;;;;;;;;;;;;;;;;
CHM;01.01.1881 00:00;4.7;;;-2.1;;;;;;;;;;;1038.2;91;;;;;;;;;;;;;;;;
CHM;01.01.1882 00:00;4.9;;;-1.9;;;;;;;;;;;1396.9;123;;;;;;;;;;;;;;;;
CHM;01.01.1883 00:00;4.5;;;-2.3;;;;;;;;;;;1009.8;89;;;;;;;;;;;;;;;;
CHM;01.01.1884 00:00;5.3;;;-1.5;;;;;;;;;;;687.9;60;;;;;;;;;;;;;;;;
CHM;01.01.1885 00:00;4.9;;;-1.9;;;;;;;;;;;987.4;87;;;;;;;;;;;;;;;;
CHM;01.01.1886 00:00;5.2;;;-1.6;;;;;;;;;;;1112.9;98;;;;;;;;;;;;;;;;
CHM;01.01.1887 00:00;4.4;;;-2.4;;;;;;;;;;;898.8;79;;;;;;;;;;;;;;;;
CHM;01.01.1888 00:00;4.4;;;-2.4;;;;;;;;;;;1056.2;93;;;;;;;;;;;;;;;;
CHM;01.01.1889 00:00;3.7;;;-3.1;;;;;;;;;;;1107.2;97;;;;;;;;;;;;;;;;
CHM;01.01.1890 00:00;4.1;;;-2.7;;;;;;;;;;;1035.9;91;;;;;;;;;;;;;;;;
CHM;01.01.1891 00:00;4.2;;;-2.6;;;;;;;;;;;1222.7;107;;;;;;;;;;;;;;;;
CHM;01.01.1892 00:00;5;;;-1.8;;;;;;;;;;;1017.9;89;;;;;;;;;;;;;;;;
CHM;01.01.1893 00:00;5.6;;;-1.2;;;;;;;;;;;766.7;67;;;;;;;;;;;;;;;;
CHM;01.01.1894 00:00;4.9;;;-1.9;;;;;;;;;;;871.8;76;;;;;;;;;;;;;;;;
CHM;01.01.1895 00:00;4.6;;;-2.2;;;;;;;;;;;1077.7;95;;;;;;;;;;;;;;;;
CHM;01.01.1896 00:00;4;;;-2.8;;;;;;;;;;;1210;106;;;;;;;;;;;;;;;;
CHM;01.01.1897 00:00;5.4;;;-1.4;;;;;;;;;;;1042.4;91;;;;;;;;;;;;;;;;
CHM;01.01.1898 00:00;5.9;;;-0.9;;;;;;;;;;;884.2;78;;;;;;;;;;;;;;;;
CHM;01.01.1899 00:00;5.8;;;-1;;;;;;;;;;;966.2;85;;;;;;;;;;;;;;;;
CHM;01.01.1900 00:00;5.4;;;-1.4;;;;;;;;;;;1042.8;91;;;;;;;;;;;;;;;;
CHM;01.01.1901 00:00;4.2;;;-2.6;;;;;;;;;;;1324.1;116;;;;;;;;;;;;;;;;
CHM;01.01.1902 00:00;4.5;;;-2.3;;;;;;;;;;;1170.1;103;;;;;;;;;;;;;;;;
CHM;01.01.1903 00:00;4.8;;;-2;;;;;;;;;;;1028.7;90;;;;;;;;;;;;;;;;
CHM;01.01.1904 00:00;5.4;;;-1.4;;;;;;;;;;;861.2;76;;;;;;;;;;;;;;;;
CHM;01.01.1905 00:00;4;;;-2.8;;;;;;;;;;;1229.7;108;;;;;;;;;;;;;;;;
CHM;01.01.1906 00:00;4.4;;;-2.4;;;;;;;;;;;1039.2;91;;;;;;;;;;;;;;;;
CHM;01.01.1907 00:00;4.7;;;-2.1;;;;;;;;;;;899.7;79;;;;;;;;;;;;;;;;
CHM;01.01.1908 00:00;4.8;;;-2;;;;;;;;;;;1000.2;88;;;;;;;;;;;;;;;;
CHM;01.01.1909 00:00;3.8;;;-3;;;;;;;;;;;1165.4;102;;;;;;;;;;;;;;;;
CHM;01.01.1910 00:00;4.4;;;-2.4;;;;;;;;;;;1315.4;115;;;;;;;;;;;;;;;;
CHM;01.01.1911 00:00;6;;;-0.8;;;;;;;;;;;961.8;84;;;;;;;;;;;;;;;;
CHM;01.01.1912 00:00;4.7;;;-2.1;;;;;;;;;;;1061.5;93;;;;;;;;;;;;;;;;
CHM;01.01.1913 00:00;5.3;;;-1.5;;;;;;;;;;;930.3;82;;;;;;;;;;;;;;;;
CHM;01.01.1914 00:00;4.6;;;-2.2;;;;;;;;;;;1249.7;110;;;;;;;;;;;;;;;;
CHM;01.01.1915 00:00;4.3;;;-2.5;;;;;;;;;;;1216.2;107;;;;;;;;;;;;;;;;
CHM;01.01.1916 00:00;4.9;;;-1.9;;;;;;;;;;;1377.8;121;;;;;;;;;;;;;;;;
