station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
DAV;01.01.1864 00:00;1.2;;;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1865 00:00;2.2;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1866 00:00;2.5;;;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1867 00:00;2.4;;;-1.6;;;;;;;;;;;1021.5;98;;;;;;;;;;;;;;;;
DAV;01.01.1868 00:00;2.7;;;-1.3;;;;;;;;;;;1048.9;100;;;;;;;;;;;;;;;;
DAV;01.01.1869 00:00;2.3;;;-1.7;;;;;;;;;;;865.2;83;;;;;;;;;;;;;;;;
DAV;01.01.1870 00:00;1.5;;;-2.5;;;;;;;;;;;721.4;69;;;;;;;;;;;;;;;;
DAV;01.01.1871 00:00;1.2;;;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1872 00:00;2.8;;;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1873 00:00;2.4;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1874 00:00;1.7;;;-2.3;;;;;;;;;;;829.4;79;;;;;;;;;;;;;;;;
DAV;01.01.1875 00:00;1.8;;;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1876 00:00;2.6;;;-1.4;;;;;;;;;;;1092.1;104;;;;;;;;;;;;;;;;
DAV;01.01.1877 00:00;2.2;;;-1.8;;;;;;;;;;;1221.4;117;;;;;;;;;;;;;;;;
DAV;01.01.1878 00:00;1.6;;;-2.4;;;;;;;;;;;1329.2;127;;;;;;;;;;;;;;;;
DAV;01.01.1879 00:00;1.2;;;-2.8;;;;;;;;;;;931;89;;;;;;;;;;;;;;;;
DAV;01.01.1880 00:00;2.6;;;-1.4;;;;;;;;;;;1189.2;114;;;;;;;;;;;;;;;;
DAV;01.01.1881 00:00;2.1;;;-1.9;;;;;;;;;;;837;80;;;;;;;;;;;;;;;;
DAV;01.01.1882 00:00;2.3;;;-1.7;;;;;;;;;;;1171.6;112;;;;;;;;;;;;;;;;
DAV;01.01.1883 00:00;1.4;;;-2.6;;;;;;;;;;;862.6;82;;;;;;;;;;;;;;;;
DAV;01.01.1884 00:00;2.2;;;-1.8;;;;;;;;;;;623.7;60;;;;;;;;;;;;;;;;
DAV;01.01.1885 00:00;2.4;;;-1.6;;;;;;;;;;;852.3;81;;;113410;108;;;;;;;;;;;;
DAV;01.01.1886 00:00;2;;;-2;;;;;;;;;;;791;76;;;104820;100;;;;;;;;;;;;
DAV;01.01.1887 00:00;0.8;;;-3.2;;;;;;;;;;;633.9;61;;;111512;106;;;;;;;;;;;;
DAV;01.01.1888 00:00;1.5;;;-2.5;;;;;;;;;;;883.1;84;;;105732;101;;;;;;;;;;;;
