station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
ELM;01.01.1879 00:00;4;;;-2.9;;;;;;;;;;;1466.2;96;;;;;;;;;;;;;;;;
ELM;01.01.1880 00:00;5.3;;;-1.6;;;;;;;;;;;1488.1;98;;;;;;;;;;;;;;;;
ELM;01.01.1881 00:00;4.9;;;-2;;;;;;;;;;;1226.9;80;;;;;;;;;;;;;;;;
ELM;01.01.1882 00:00;5;;;-1.9;;;;;;;;;;;1699.1;111;;;;;;;;;;;;;;;;
ELM;01.01.1883 00:00;4.5;;;-2.4;;;;;;;;;;;1398.5;92;;;;;;;;;;;;;;;;
ELM;01.01.1884 00:00;5.1;;;-1.8;;;;;;;;;;;1165.4;76;;;;;;;;;;;;;;;;
ELM;01.01.1885 00:00;4.9;;;-2;;;;;;;;;;;1424.7;93;;;;;;;;;;;;;;;;
ELM;01.01.1886 00:00;4.9;;;-2;;;;;;;;;;;1348;88;;;;;;;;;;;;;;;;
ELM;01.01.1887 00:00;3.9;;;-3;;;;;;;;;;;1105.8;73;;;;;;;;;;;;;;;;
ELM;01.01.1888 00:00;4.4;;;-2.5;;;;;;;;;;;1627.8;107;;;;;;;;;;;;;;;;
ELM;01.01.1889 00:00;4;;;-2.9;;;;;;;;;;;1526.7;100;;;;;;;;;;;;;;;;
ELM;01.01.1890 00:00;4;;;-2.9;;;;;;;;;;;1731.4;114;;;;;;;;;;;;;;;;
ELM;01.01.1891 00:00;4.1;;;-2.8;;;;;;;;;;;1672.7;110;;;;;;;;;;;;;;;;
ELM;01.01.1892 00:00;5.1;;;-1.8;;;;;;;;;;;1464;96;;;;;;;;;;;;;;;;
ELM;01.01.1893 00:00;5.1;;;-1.8;;;;;;;;;;;1314.5;86;;;;;;;;;;;;;;;;
ELM;01.01.1894 00:00;4.9;;;-2;;;;;;;;;;;1398.8;92;;;;;;;;;;;;;;;;
ELM;01.01.1895 00:00;4.6;;;-2.3;;;;;;;;;;;1172.7;77;;;;;;;;;;;;;;;;
ELM;01.01.1896 00:00;4;;;-2.9;;;;;;;;;;;1692.4;111;;;;;;;;;;;;;;;;
ELM;01.01.1897 00:00;5.4;;;-1.5;;;;;;;;;;;1484.6;97;;;;;;;;;;;;;;;;
ELM;01.01.1898 00:00;5.8;;;-1.1;;;;;;;;;;;1424.1;93;;;;;;;;;;;;;;;;
ELM;01.01.1899 00:00;5.5;;;-1.4;;;;;;;;;;;1297.7;85;;;;;;;;;;;;;;;;
ELM;01.01.1900 00:00;5.5;;;-1.4;;;;;;;;;;;1412.7;93;;;;;;;;;;;;;;;;
ELM;01.01.1901 00:00;4.4;;;-2.5;;;;;;;;;;;1431.7;94;;;;;;;;;;;;;;;;
ELM;01.01.1902 00:00;4.7;;;-2.2;;;;;;;;;;;1329.8;87;;;;;;;;;;;;;;;;
ELM;01.01.1903 00:00;5;;;-1.9;;;;;;;;;;;1235.1;81;;;;;;;;;;;;;;;;
ELM;01.01.1904 00:00;5.5;;;-1.4;;;;;;;;;;;1203.3;79;;;;;;;;;;;;;;;;
ELM;01.01.1905 00:00;4.6;;;-2.3;;;;;;;;;;;1437.3;94;;;;;;;;;;;;;;;;
ELM;01.01.1906 00:00;4.8;;;-2.1;;;;;;;;;;;1406.3;92;;;;;;;;;;;;;;;;
ELM;01.01.1907 00:00;5.1;;;-1.8;;;;;;;;;;;1288;84;;;;;;;;;;;;;;;;
