station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
ENG;01.01.1864 00:00;4.2;;;-2.6;;;;;;;;;;;1410.6;90;;;;;;;;;;;;;;;;
ENG;01.01.1865 00:00;5.6;;;-1.2;;;;;;;;;;;1205.3;77;;;;;;;;;;;;;;;;
ENG;01.01.1866 00:00;5.7;;;-1.1;;;;;;;;;;;1675.3;107;;;;;;;;;;;;;;;;
ENG;01.01.1867 00:00;5.2;;;-1.6;;;;;;;;;;;1823.9;116;;;;;;;;;;;;;;;;
ENG;01.01.1868 00:00;5.8;;;-1;;;;;;;;;;;1654.4;106;;;;;;;;;;;;;;;;
ENG;01.01.1869 00:00;5.2;;;-1.6;;;;;;;;;;;1519.9;97;;;;;;;;;;;;;;;;
ENG;01.01.1870 00:00;4.4;;;-2.4;;;;;;;;;;;1332.9;85;;;;;;;;;;;;;;;;
ENG;01.01.1871 00:00;3.9;;;-2.9;;;;;;;;;;;1327.2;85;;;;;;;;;;;;;;;;
ENG;01.01.1872 00:00;6.1;;;-0.7;;;;;;;;;;;1747.2;111;;;;;;;;;;;;;;;;
ENG;01.01.1873 00:00;5.4;;;-1.4;;;;;;;;;;;1398.3;89;;;;;;;;;;;;;;;;
ENG;01.01.1874 00:00;4.8;;;-2;;;;;;;;;;;1495.5;95;;;;;;;;;;;;;;;;
ENG;01.01.1875 00:00;4.8;;;-2;;;;;;;;;;;1605.2;102;;;;;;;;;;;;;;;;
ENG;01.01.1876 00:00;5.4;;;-1.4;;;;;;;;;;;1474.4;94;;;;;;;;;;;;;;;;
ENG;01.01.1877 00:00;5.4;;;-1.4;;;;;;;;;;;1789.9;114;;;;;;;;;;;;;;;;
ENG;01.01.1878 00:00;4.7;;;-2.1;;;;;;;;;;;1910.6;122;;;;;;;;;;;;;;;;
ENG;01.01.1879 00:00;4.1;;;-2.7;;;;;;;;;;;1593.7;102;;;;;;;;;;;;;;;;
ENG;01.01.1880 00:00;5.6;;;-1.2;;;;;;;;;;;1573.5;100;;;;;;;;;;;;;;;;
ENG;01.01.1881 00:00;5.1;;;-1.7;;;;;;;;;;;1640.5;105;;;;;;;;;;;;;;;;
ENG;01.01.1882 00:00;5.2;;;-1.6;;;;;;;;;;;1844.5;118;;;;;;;;;;;;;;;;
ENG;01.01.1883 00:00;4.7;;;-2.1;;;;;;;;;;;1422.8;91;;;;;;;;;;;;;;;;
ENG;01.01.1884 00:00;5.3;;;-1.5;;;;;;;;;;;1275.2;81;;;;;;;;;;;;;;;;
ENG;01.01.1885 00:00;5;;;-1.8;;;;;;;;;;;1456.5;93;;;;;;;;;;;;;;;;
ENG;01.01.1886 00:00;5;;;-1.8;;;;;;;;;;;1776.1;113;;;;;;;;;;;;;;;;
ENG;01.01.1887 00:00;4;;;-2.8;;;;;;;;;;;1343.2;86;;;;;;;;;;;;;;;;
ENG;01.01.1888 00:00;4.5;;;-2.3;;;;;;;;;;;1726.5;110;;;;;;;;;;;;;;;;
ENG;01.01.1889 00:00;4.2;;;-2.6;;;;;;;;;;;1753.6;112;;;;;;;;;;;;;;;;
ENG;01.01.1890 00:00;4.2;;;-2.6;;;;;;;;;;;1580.8;101;;;;;;;;;;;;;;;;
ENG;01.01.1891 00:00;4.2;;;-2.6;;;;;;;;;;;1698.5;108;;;;;;;;;;;;;;;;
ENG;01.01.1892 00:00;5;;;-1.8;;;;;;;;;;;1621.4;103;;;;;;;;;;;;;;;;
ENG;01.01.1893 00:00;5.2;;;-1.6;;;;;;;;;;;1374.2;88;;;;;;;;;;;;;;;;
ENG;01.01.1894 00:00;5;;;-1.8;;;;;;;;;;;1200.1;77;;;;;;;;;;;;;;;;
ENG;01.01.1895 00:00;4.7;;;-2.1;;;;;;;;;;;1369.8;87;;;;;;;;;;;;;;;;
ENG;01.01.1896 00:00;4.2;;;-2.6;;;;;;;;;;;1704.8;109;;;;;;;;;;;;;;;;
ENG;01.01.1897 00:00;5.6;;;-1.2;;;;;;;;;;;1641.5;105;;;;;;;;;;;;;;;;
ENG;01.01.1898 00:00;5.7;;;-1.1;;;;;;;;;;;1612.9;103;;;;;;;;;;;;;;;;
