station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
GRC;01.01.1864 00:00;3;;;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1865 00:00;3.7;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1866 00:00;3.9;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1867 00:00;3.4;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1868 00:00;3.9;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1869 00:00;3.4;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1870 00:00;3;;;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1871 00:00;2.8;;;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1872 00:00;3.9;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1873 00:00;3.9;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1874 00:00;3.3;;;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1875 00:00;3.2;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1876 00:00;3.7;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1877 00:00;3.4;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1878 00:00;2.7;;;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1879 00:00;2.4;;;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1880 00:00;4.1;;;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1881 00:00;3.7;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1882 00:00;3.5;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1883 00:00;2.9;;;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1884 00:00;3.7;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1885 00:00;3.7;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1886 00:00;3.2;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1887 00:00;2.7;;;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1888 00:00;3;;;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1889 00:00;2.6;;;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1890 00:00;2.9;;;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1891 00:00;2.9;;;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1892 00:00;3.5;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1893 00:00;4.1;;;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1894 00:00;3.9;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1895 00:00;3.2;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1896 00:00;2.9;;;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1897 00:00;4.2;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1898 00:00;4.5;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1899 00:00;4.4;;;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1900 00:00;3.8;;;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1901 00:00;2.7;;;-2.8;;;;;;;;;;;552.8;91;;;;;;;;;;;;;;;;
GRC;01.01.1902 00:00;3.4;;;-2.1;;;;;;;;;;;521.5;86;;;;;;;;;;;;;;;;
GRC;01.01.1903 00:00;3.5;;;-2;;;;;;;;;;;518.2;85;;;;;;;;;;;;;;;;
GRC;01.01.1904 00:00;4;;;-1.5;;;;;;;;;;;650.3;107;;;;;;;;;;;;;;;;
GRC;01.01.1905 00:00;2.9;;;-2.6;;;;;;;;;;;781.5;129;;;;;;;;;;;;;;;;
GRC;01.01.1906 00:00;3.7;;;-1.8;;;;;;;;;;;485.7;80;;;;;;;;;;;;;;;;
GRC;01.01.1907 00:00;3.6;;;-1.9;;;;;;;;;;;665.6;110;;;;;;;;;;;;;;;;
