station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
GRH;01.01.1932 00:00;1.3;;;-1;;;;;;;;;;;1463.3;80;;;;;;;;;;;;;;;;
GRH;01.01.1933 00:00;0.4;;;-1.9;;;;;;;;;;;1686.3;92;;;;;;;;;;;;;;;;
GRH;01.01.1934 00:00;1.7;;;-0.6;;;;;;;;;;;1481.6;81;;;;;;;;;;;;;;;;
GRH;01.01.1935 00:00;0.3;;;-2;;;;;;;;;;;2549.6;139;;;;;;;;;;;;;;;;
GRH;01.01.1936 00:00;0.8;;;-1.5;;;;;;;;;;;1847.6;101;;;;;;;;;;;;;;;;
GRH;01.01.1937 00:00;0.6;;;-1.7;;;;;;;;;;;2112.3;115;;;;;;;;;;;;;;;;
GRH;01.01.1938 00:00;1.1;;;-1.2;;;;;;;;;;;1651.1;90;;;;;;;;;;;;;;;;
GRH;01.01.1939 00:00;0.5;;;-1.8;;;;;;;;;;;2241.8;122;;;;;;;;;;;;;;;;
GRH;01.01.1940 00:00;0;;;-2.3;;;;;;;;;;;2259.7;123;;;;;;;;;;;;;;;;
GRH;01.01.1941 00:00;0;;;-2.3;;;;;;;;;;;1809.1;99;;;;;;;;;;;;;;;;
GRH;01.01.1942 00:00;1;;;-1.3;;;;;;;;;;;1595.6;87;;;;;;;;;;;;;;;;
GRH;01.01.1943 00:00;1.8;;;-0.5;;;;;;;;;;;1654.3;90;;;;;;;;;;;;;;;;
GRH;01.01.1944 00:00;0.2;;;-2.1;;;;;;;;;;;2147.1;117;;;;;;;;;;;;;;;;
