station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
GSB;01.01.1818 00:00;-1;;;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1819 00:00;-2;;;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1820 00:00;-2;;;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1821 00:00;-1.1;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1822 00:00;-0.1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1823 00:00;-1.7;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1824 00:00;-1.3;;;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1825 00:00;-1.3;;;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1826 00:00;-2.3;;;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1827 00:00;-2.6;;;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1828 00:00;-0.5;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1829 00:00;-3.2;;;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1830 00:00;-1.9;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1831 00:00;-1.4;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1832 00:00;-1.3;;;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1833 00:00;-1.6;;;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1834 00:00;-0.5;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1835 00:00;-1.7;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.01.1836 00:00;-1.9;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
