station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
JUN;01.01.1933 00:00;-8.7;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1934 00:00;-7;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1935 00:00;-8.8;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1936 00:00;-8.2;;;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1937 00:00;-8.4;;;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1938 00:00;-7.9;;;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1939 00:00;-8.5;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1940 00:00;-8.8;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1941 00:00;-8.9;;;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1942 00:00;-8;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1943 00:00;-7.5;;;-0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1944 00:00;-8.8;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1945 00:00;-7.8;;;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1946 00:00;-7.6;;;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1947 00:00;-7.2;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1948 00:00;-6.9;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1949 00:00;-7.2;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1950 00:00;-7.4;;;-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1951 00:00;-7.9;;;-1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1952 00:00;-8.6;;;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1953 00:00;-7;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUN;01.01.1954 00:00;-8.5;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
