station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
LUZ;01.01.1864 00:00;;;;;;;;;;;;;;;1018.9;79;;;;;;;;;;;;;;;;
LUZ;01.01.1865 00:00;;;;;;;;;;;;;;;906;70;;;;;;;;;;;;;;;;
LUZ;01.01.1866 00:00;;;;;;;;;;;;;;;1258.8;97;;;;;;;;;;;;;;;;
LUZ;01.01.1867 00:00;;;;;;;;;;;;;;;1431.1;111;;;;;;;;;;;;;;;;
LUZ;01.01.1868 00:00;;;;;;;;;;;;;;;1105.6;86;;;;;;;;;;;;;;;;
LUZ;01.01.1869 00:00;;;;;;;;;;;;;;;1082.2;84;;;;;;;;;;;;;;;;
LUZ;01.01.1870 00:00;;;;;;;;;;;;;;;887.1;69;;;;;;;;;;;;;;;;
LUZ;01.01.1871 00:00;7.1;;;-3;;;;;;;;;;;938.2;73;;;;;;;;;;;;;;;;
LUZ;01.01.1872 00:00;8.9;;;-1.2;;;;;;;;;;;1273.3;99;;;;;;;;;;;;;;;;
LUZ;01.01.1873 00:00;8.5;;;-1.6;;;;;;;;;;;1236.7;96;;;;;;;;;;;;;;;;
LUZ;01.01.1874 00:00;7.9;;;-2.2;;;;;;;;;;;1076.5;83;;;;;;;;;;;;;;;;
LUZ;01.01.1875 00:00;8.1;;;-2;;;;;;;;;;;1151.4;89;;;;;;;;;;;;;;;;
LUZ;01.01.1876 00:00;8.2;;;-1.9;;;;;;;;;;;1399.8;108;;;;;;;;;;;;;;;;
LUZ;01.01.1877 00:00;8.5;;;-1.6;;;;;;;;;;;1304.5;101;;;;;;;;;;;;;;;;
LUZ;01.01.1878 00:00;7.8;;;-2.3;;;;;;;;;;;1289.9;100;;;;;;;;;;;;;;;;
LUZ;01.01.1879 00:00;6.6;;;-3.5;;;;;;;;;;;1315.4;102;;;;;;;;;;;;;;;;
LUZ;01.01.1880 00:00;8.5;;;-1.6;;;;;;;;;;;1217.2;94;;;;;;;;;;;;;;;;
LUZ;01.01.1881 00:00;7.8;;;-2.3;;;;;;;;;;;1197.1;93;;;;;;;;;;;;;;;;
LUZ;01.01.1882 00:00;8;;;-2.1;;;;;;;;;;;1374.6;106;;;;;;;;;;;;;;;;
LUZ;01.01.1883 00:00;7.9;;;-2.2;;;;;;;;;;;1138.6;88;;;;;;;;;;;;;;;;
LUZ;01.01.1884 00:00;8.5;;;-1.6;;;;;;;;;;;964.4;75;;;;;;;;;;;;;;;;
LUZ;01.01.1885 00:00;8.1;;;-2;;;;;;;;;;;1055.5;82;;;;;;;;;;;;;;;;
LUZ;01.01.1886 00:00;8.1;3.7;12.4;-2;-2.4;-2.1;;;;;;;;;1328.7;103;;;;;;;;;;;;;;;;
LUZ;01.01.1887 00:00;6.9;2.5;11.5;-3.2;-3.6;-3;;;;;;;;;1003.7;78;;;;;;;;;;;;;;;;
LUZ;01.01.1888 00:00;7.2;3.1;11.4;-2.9;-3;-3.1;;;;;;;;;1287.4;100;;;;;;;;;;;;;;;;
LUZ;01.01.1889 00:00;7.2;3.2;11.4;-2.9;-2.9;-3.1;;;;;;;;;1092;85;;;;;;;;;;;;;;;;
LUZ;01.01.1890 00:00;7.1;2.9;11.4;-3;-3.2;-3.1;;;;;;;;;1037;80;;;;;;;;;;;;;;;;
LUZ;01.01.1891 00:00;6.9;2.7;11.5;-3.2;-3.4;-3;;;;;;;;;1223.9;95;;;;;;;;;;;;;;;;
LUZ;01.01.1892 00:00;7.9;3.8;12.4;-2.2;-2.3;-2.1;;;;;;;;;1220;94;;;;;;;;;;;;;;;;
LUZ;01.01.1893 00:00;8.3;3.8;13.1;-1.8;-2.3;-1.4;;;;;;;;;953.9;74;;;;;;;;;;;;;;;;
LUZ;01.01.1894 00:00;8;3.8;12.5;-2.1;-2.3;-2;;;;;;;;;1035;80;;;;;;;;;;;;;;;;
LUZ;01.01.1895 00:00;7.6;3.3;12.5;-2.5;-2.8;-2;;;;;;;;;1084.2;84;;;;;;;;;;;;;;;;
LUZ;01.01.1896 00:00;7.4;3.7;11.5;-2.7;-2.4;-3;;;;;;;;;1362.7;106;;;;;;;;;;;;;;;;
LUZ;01.01.1897 00:00;8.3;4.4;12.6;-1.8;-1.7;-1.9;;;;;;;;;1326.1;103;;;;;;;;;;;;;;;;
LUZ;01.01.1898 00:00;8.6;4.6;12.8;-1.5;-1.5;-1.7;;;;;;;;;1163.4;90;;;;;;;;;;;;;;;;
LUZ;01.01.1899 00:00;8.5;4.1;13.6;-1.6;-2;-0.9;;;;;;;;;989.7;77;;;;;;;;;;;;;;;;
LUZ;01.01.1900 00:00;8.7;4.5;13.5;-1.4;-1.6;-1;;;;;;;;;1203.6;93;;;;;;;;;;;;;;;;
