station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
MER;01.01.1890 00:00;6.2;;;-2.5;;;;;;;;;;;1234.4;92;;;;;;;;;;;;;;;;
MER;01.01.1891 00:00;6;;;-2.7;;;;;;;;;;;1307.2;97;;;;;;;;;;;;;;;;
MER;01.01.1892 00:00;7.1;;;-1.6;;;;;;;;;;;1176.8;88;;;;;;;;;;;;;;;;
MER;01.01.1893 00:00;7.3;;;-1.4;;;;;;;;;;;1159.8;86;;;;;;;;;;;;;;;;
MER;01.01.1894 00:00;6.9;;;-1.8;;;;;;;;;;;1193.1;89;;;;;;;;;;;;;;;;
MER;01.01.1895 00:00;6.7;;;-2;;;;;;;;;;;1242.4;93;;;;;;;;;;;;;;;;
MER;01.01.1896 00:00;6;;;-2.7;;;;;;;;;;;1643.1;123;;;;;;;;;;;;;;;;
MER;01.01.1897 00:00;7.2;;;-1.5;;;;;;;;;;;1379.7;103;;;;;;;;;;;;;;;;
MER;01.01.1898 00:00;7.1;;;-1.6;;;;;;;;;;;1421.3;106;;;;;;;;;;;;;;;;
MER;01.01.1899 00:00;7.4;;;-1.3;;;;;;;;;;;1189.3;89;;;;;;;;;;;;;;;;
MER;01.01.1900 00:00;7.5;;;-1.2;;;;;;;;;;;1312.5;98;;;;;;;;;;;;;;;;
MER;01.01.1901 00:00;6.5;;;-2.2;;;;;;;;;;;1496.2;112;;;;;;;;;;;;;;;;
MER;01.01.1902 00:00;6.7;;;-2;;;;;;;;;;;1427.2;106;;;;;;;;;;;;;;;;
MER;01.01.1903 00:00;6.9;;;-1.8;;;;;;;;;;;1382.1;103;;;;;;;;;;;;;;;;
MER;01.01.1904 00:00;7.4;;;-1.3;;;;;;;;;;;1254.4;94;;;;;;;;;;;;;;;;
MER;01.01.1905 00:00;6.7;;;-2;;;;;;;;;;;1598.3;119;;;;;;;;;;;;;;;;
MER;01.01.1906 00:00;6.8;;;-1.9;;;;;;;;;;;1212.9;90;;;;;;;;;;;;;;;;
MER;01.01.1907 00:00;7.1;;;-1.6;;;;;;;;;;;1267.8;95;;;;;;;;;;;;;;;;
MER;01.01.1908 00:00;6.7;;;-2;;;;;;;;;;;1316.6;98;;;;;;;;;;;;;;;;
MER;01.01.1909 00:00;6.5;;;-2.2;;;;;;;;;;;1368.5;102;;;;;;;;;;;;;;;;
MER;01.01.1910 00:00;7.2;;;-1.5;;;;;;;;;;;1808.8;135;;;;;;;;;;;;;;;;
MER;01.01.1911 00:00;7.7;;;-1;;;;;;;;;;;1184.9;88;;;;;;;;;;;;;;;;
MER;01.01.1912 00:00;6.8;;;-1.9;;;;;;;;;;;1468.1;109;;;;;;;;;;;;;;;;
MER;01.01.1913 00:00;7.4;;;-1.3;;;;;;;;;;;1440.9;107;;;;;;;;;;;;;;;;
MER;01.01.1914 00:00;6.7;;;-2;;;;;;;;;;;1595.9;119;;;;;;;;;;;;;;;;
MER;01.01.1915 00:00;6.8;;;-1.9;;;;;;;;;;;1273.5;95;;;;;;;;;;;;;;;;
MER;01.01.1916 00:00;7.1;;;-1.6;;;;;;;;;;;1621.1;121;;;;;;;;;;;;;;;;
MER;01.01.1917 00:00;6.3;;;-2.4;;;;;;;;;;;1310.9;98;;;;;;;;;;;;;;;;
MER;01.01.1918 00:00;7.1;;;-1.6;;;;;;;;;;;1448.5;108;;;;;;;;;;;;;;;;
MER;01.01.1919 00:00;6.5;;;-2.2;;;;;;;;;;;1582.9;118;;;;;;;;;;;;;;;;
MER;01.01.1920 00:00;7.9;;;-0.8;;;;;;;;;;;1032.3;77;;;;;;;;;;;;;;;;
MER;01.01.1921 00:00;7.7;;;-1;;;;;;;;;;;1030.1;77;;;;;;;;;;;;;;;;
MER;01.01.1922 00:00;6.4;;;-2.3;;;;;;;;;;;1884.7;141;;;;;;;;;;;;;;;;
MER;01.01.1923 00:00;7.4;;;-1.3;;;;;;;;;;;1394.7;104;;;;;;;;;;;;;;;;
MER;01.01.1924 00:00;6.5;;;-2.2;;;;;;;;;;;1320.7;98;;;;;;;;;;;;;;;;
MER;01.01.1925 00:00;6.8;;;-1.9;;;;;;;;;;;1229.1;92;;;;;;;;;;;;;;;;
MER;01.01.1926 00:00;7.7;;;-1;;;;;;;;;;;1484.6;111;;;;;;;;;;;;;;;;
MER;01.01.1927 00:00;7.2;;;-1.5;;;;;;;;;;;1416.2;106;;;;;;;;;;;;;;;;
MER;01.01.1928 00:00;7.6;;;-1.1;;;;;;;;;;;1683.6;126;;;;;;;;;;;;;;;;
MER;01.01.1929 00:00;6.8;;;-1.9;;;;;;;;;;;1118.9;83;;;;;;;;;;;;;;;;
MER;01.01.1930 00:00;7.9;;;-0.8;;;;;;;;;;;1627.2;121;;;;;;;;;;;;;;;;
MER;01.01.1931 00:00;6.5;;;-2.2;;;;;;;;;;;1413.9;105;;;;;;;;;;;;;;;;
MER;01.01.1932 00:00;6.9;;;-1.8;;;;;;;;;;;1195.6;89;;;;;;;;;;;;;;;;
MER;01.01.1933 00:00;6.8;;;-1.9;;;;;;;;;;;1415.7;106;;;;;;;;;;;;;;;;
MER;01.01.1934 00:00;7.7;;;-1;;;;;;;;;;;1228.2;92;;;;;;;;;;;;;;;;
