station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
NEU;01.01.1864 00:00;7.4;;;-3.3;;;;;;;;;;;744.8;78;;;;;;;;;;;;;;;;
NEU;01.01.1865 00:00;9.1;5.3;14.1;-1.6;-1.9;-0.4;;;;;;;;;835.1;87;;;;;;;;;;;;;;;;
NEU;01.01.1866 00:00;9.4;5.8;14.1;-1.3;-1.4;-0.4;;;;;;;;;1081.3;113;;;;;;;;;;;;;;;;
NEU;01.01.1867 00:00;8.7;5.2;13.5;-2;-2;-1;;;;;;;;;1005.3;105;;;;;;;;;;;;;;;;
NEU;01.01.1868 00:00;9.9;6;14.5;-0.8;-1.2;0;;;;;;;;;847.4;89;;;;;;;;;;;;;;;;
NEU;01.01.1869 00:00;8.9;5;13.3;-1.8;-2.2;-1.2;;;;;;;;;753.6;79;;;;;;;;;;;;;;;;
NEU;01.01.1870 00:00;8.3;4.2;12.9;-2.4;-3;-1.6;;;;;;;;;819.2;86;;;;;;;;;;;;;;;;
NEU;01.01.1871 00:00;7.6;3.9;12;-3.1;-3.3;-2.5;;;;;;;;;635.3;66;;;;;;;;;;;;;;;;
NEU;01.01.1872 00:00;9.4;5.9;13.6;-1.3;-1.3;-0.9;;;;;;;;;1089.7;114;;;;;;;;;;;;;;;;
NEU;01.01.1873 00:00;9;5.7;13.2;-1.7;-1.5;-1.3;;;;;;;;;785.8;82;;;;;;;;;;;;;;;;
NEU;01.01.1874 00:00;8.7;4.9;13;-2;-2.3;-1.5;;;;;;;;;791.5;83;;;;;;;;;;;;;;;;
NEU;01.01.1875 00:00;8.7;5;13.3;-2;-2.2;-1.2;;;;;;;;;971.4;102;;;;;;;;;;;;;;;;
NEU;01.01.1876 00:00;9.1;4.8;13.3;-1.6;-2.4;-1.2;;;;;;;;;1015.3;106;;;;;;;;;;;;;;;;
NEU;01.01.1877 00:00;9.1;6.1;13.7;-1.6;-1.1;-0.8;;;;;;;;;1061.3;111;;;;;;;;;;;;;;;;
NEU;01.01.1878 00:00;8.4;4.8;12.7;-2.3;-2.4;-1.8;;;;;;;;;983.3;103;;;;;;;;;;;;;;;;
NEU;01.01.1879 00:00;7.1;3.7;11.6;-3.6;-3.5;-2.9;;;;;;;;;1142.4;120;;;;;;;;;;;;;;;;
NEU;01.01.1880 00:00;8.9;5.2;13.5;-1.8;-2;-1;;;;;;;;;1132.4;119;;;;;;;;;;;;;;;;
NEU;01.01.1881 00:00;8.7;4.9;13.1;-2;-2.3;-1.4;;;;;;;;;854.7;89;;;;;;;;;;;;;;;;
