station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
OTL;01.01.1883 00:00;10.6;;;-2.3;;;;;;;;;;;1680;91;;;;;;;;;;;;;;;;
OTL;01.01.1884 00:00;11.8;;;-1.1;;;;;;;;;;;1282.6;69;;;;;;;;;;;;;;;;
OTL;01.01.1885 00:00;11.2;;;-1.7;;;;;;;;;;;2330;126;;;;;;;;;;;;;;;;
OTL;01.01.1886 00:00;11;;;-1.9;;;;;;;;;;;2592.6;140;;;;;;;;;;;;;;;;
OTL;01.01.1887 00:00;10.2;;;-2.7;;;;;;;;;;;1936.9;104;;;;;;;;;;;;;;;;
OTL;01.01.1888 00:00;10.1;;;-2.8;;;;;;;;;;;2508.2;135;;;;;;;;;;;;;;;;
OTL;01.01.1889 00:00;10.5;;;-2.4;;;;;;;;;;;2441.6;132;;;;;;;;;;;;;;;;
OTL;01.01.1890 00:00;10.4;;;-2.5;;;;;;;;;;;2658.1;143;;;;;;;;;;;;;;;;
OTL;01.01.1891 00:00;10.4;;;-2.5;;;;;;;;;;;2270.9;122;;;;;;;;;;;;;;;;
OTL;01.01.1892 00:00;11.1;;;-1.8;;;;;;;;;;;1939.6;105;;;;;;;;;;;;;;;;
OTL;01.01.1893 00:00;11.7;;;-1.2;;;;;;;;;;;1235.3;67;;;;;;;;;;;;;;;;
OTL;01.01.1894 00:00;11.3;;;-1.6;;;;;;;;;;;1497.7;81;;;;;;;;;;;;;;;;
OTL;01.01.1895 00:00;10.8;;;-2.1;;;;;;;;;;;1384.7;75;;;;;;;;;;;;;;;;
OTL;01.01.1896 00:00;10.7;;;-2.2;;;;;;;;;;;2473.4;133;;;;;;;;;;;;;;;;
OTL;01.01.1897 00:00;11.4;;;-1.5;;;;;;;;;;;2059.5;111;;;;;;;;;;;;;;;;
OTL;01.01.1898 00:00;11.9;;;-1;;;;;;;;;;;2053.6;111;;;;;;;;;;;;;;;;
OTL;01.01.1899 00:00;12;;;-0.9;;;;;;;;;;;1164.2;63;;;;;;;;;;;;;;;;
OTL;01.01.1900 00:00;11.8;;;-1.1;;;;;;;;;;;2142.5;115;;;;;;;;;;;;;;;;
OTL;01.01.1901 00:00;10.6;7.1;;-2.3;-2.2;;;;;;;;;;2125.1;115;;;;;;;;;;;;;;;;
OTL;01.01.1902 00:00;11;7.7;;-1.9;-1.6;;;;;;;;;;1828;99;;;;;;;;;;;;;;;;
OTL;01.01.1903 00:00;10.8;7.3;;-2.1;-2;;;;;;;;;;2396.7;129;;;;;;;;;;;;;;;;
OTL;01.01.1904 00:00;11.8;8;;-1.1;-1.3;;;;;;;;;;1414.5;76;;;;;;;;;;;;;;;;
OTL;01.01.1905 00:00;10.9;6.9;;-2;-2.4;;;;;;;;;;2203.6;119;;;;;;;;;;;;;;;;
OTL;01.01.1906 00:00;11.7;7.9;;-1.2;-1.4;;;;;;;;;;1389.3;75;;;;;;;;;;;;;;;;
OTL;01.01.1907 00:00;11.3;7.7;;-1.6;-1.6;;;;;;;;;;1820.2;98;;;;;;;;;;;;;;;;
OTL;01.01.1908 00:00;11.1;7.3;;-1.8;-2;;;;;;;;;;1842;99;;;;;;;;;;;;;;;;
OTL;01.01.1909 00:00;10.5;7.1;;-2.4;-2.2;;;;;;;;;;1617.7;87;;;;;;;;;;;;;;;;
OTL;01.01.1910 00:00;10.8;7.4;;-2.1;-1.9;;;;;;;;;;2218.1;120;;;;;;;;;;;;;;;;
OTL;01.01.1911 00:00;11.5;8;;-1.4;-1.3;;;;;;;;;;1764.4;95;;;;;;;;;;;;;;;;
OTL;01.01.1912 00:00;10.5;7;;-2.4;-2.3;;;;;;;;;;1736.2;94;;;;;;;;;;;;;;;;
OTL;01.01.1913 00:00;11.1;7.6;;-1.8;-1.7;;;;;;;;;;1791.5;97;;;;;;;;;;;;;;;;
OTL;01.01.1914 00:00;10.7;6.9;;-2.2;-2.4;;;;;;;;;;2205.9;119;;;;;;;;;;;;;;;;
OTL;01.01.1915 00:00;10.5;7;;-2.4;-2.3;;;;;;;;;;1680.9;91;;;;;;;;;;;;;;;;
OTL;01.01.1916 00:00;10.8;7.3;;-2.1;-2;;;;;;;;;;2669.3;144;;;;;;;;;;;;;;;;
OTL;01.01.1917 00:00;10.6;7;;-2.3;-2.3;;;;;;;;;;1981.3;107;;;;;;;;;;;;;;;;
OTL;01.01.1918 00:00;11;7.4;;-1.9;-1.9;;;;;;;;;;2108.7;114;;;;;;;;;;;;;;;;
OTL;01.01.1919 00:00;11.1;7.3;;-1.8;-2;;;;;;;;;;1647;89;;;;;;;;;;;;;;;;
OTL;01.01.1920 00:00;11.8;8.5;;-1.1;-0.8;;;;;;;;;;2353.2;127;;;;;;;;;;;;;;;;
OTL;01.01.1921 00:00;12.3;8.3;;-0.6;-1;;;;;;;;;;909.5;49;;;;;;;;;;;;;;;;
OTL;01.01.1922 00:00;11;7.5;;-1.9;-1.8;;;;;;;;;;2088.6;113;;;;;;;;;;;;;;;;
OTL;01.01.1923 00:00;11.7;8.1;;-1.2;-1.2;;;;;;;;;;1900.4;102;;;;;;;;;;;;;;;;
OTL;01.01.1924 00:00;11.2;7.8;;-1.7;-1.5;;;;;;;;;;1859.3;100;;;;;;;;;;;;;;;;
OTL;01.01.1925 00:00;10.9;7.4;;-2;-1.9;;;;;;;;;;1853;100;;;;;;;;;;;;;;;;
OTL;01.01.1926 00:00;12;8.2;;-0.9;-1.1;;;;;;;;;;2383.9;129;;;;;;;;;;;;;;;;
OTL;01.01.1927 00:00;11.8;7.9;;-1.1;-1.4;;;;;;;;;;2190.1;118;;;;;;;;;;;;;;;;
OTL;01.01.1928 00:00;12;8.2;;-0.9;-1.1;;;;;;;;;;2224.3;120;;;;;;;;;;;;;;;;
OTL;01.01.1929 00:00;11.6;7.6;;-1.3;-1.7;;;;;;;;;;1592.1;86;;;;;;;;;;;;;;;;
OTL;01.01.1930 00:00;11.4;8;;-1.5;-1.3;;;;;;;;;;2023.5;109;;;;;;;;;;;;;;;;
OTL;01.01.1931 00:00;11;7.3;;-1.9;-2;;;;;;;;;;1962;106;;;;;;;;;;;;;;;;
OTL;01.01.1932 00:00;11;7.6;;-1.9;-1.7;;;;;;;;;;2178.2;117;;;;;;;;;;;;;;;;
OTL;01.01.1933 00:00;11.2;7.6;;-1.7;-1.7;;;;;;;;;;1828.5;99;;;;;;;;;;;;;;;;
OTL;01.01.1934 00:00;11.5;8;;-1.4;-1.3;;;;;;;;;;2227.3;120;;;;;;;;;;;;;;;;
OTL;01.01.1935 00:00;11.2;7.8;;-1.7;-1.5;;;;;;;;;;2500.8;135;;;;;;;;;;;;;;;;
OTL;01.01.1936 00:00;11.1;7.9;15.4;-1.8;-1.4;-1.8;;;;;;;;;1979;107;;;;;;;;;;;;;;;;
OTL;01.01.1937 00:00;11.3;8;15.8;-1.6;-1.3;-1.4;;;;;;;;;2159;116;;;;;;;;;;;;;;;;
OTL;01.01.1938 00:00;11.4;7.5;16;-1.5;-1.8;-1.2;;;;;;;;;1782.8;96;;;;;;;;;;;;;;;;
OTL;01.01.1939 00:00;10.8;7.4;15.2;-2.1;-1.9;-2;;;;;;;;;2634.9;142;;;;;;;;;;;;;;;;
OTL;01.01.1940 00:00;10.6;6.9;15.1;-2.3;-2.4;-2.1;;;;;;;;;1854.4;100;;;;;;;;;;;;;;;;
OTL;01.01.1941 00:00;10.5;6.8;14.9;-2.4;-2.5;-2.3;;;;;;;;;2206.9;119;;;;;;;;;;;;;;;;
OTL;01.01.1942 00:00;11.4;7.8;15.7;-1.5;-1.5;-1.5;;;;;;;;;1817.4;98;;;;;;;;;;;;;;;;
OTL;01.01.1943 00:00;12.5;8.8;17;-0.4;-0.5;-0.2;;;;;;;;;1379.8;74;;;;;;;;;;;;;;;;
OTL;01.01.1944 00:00;11.3;7.5;15.6;-1.6;-1.8;-1.6;;;;;;;;;1600.1;86;;;;;;;;;;;;;;;;
OTL;01.01.1945 00:00;12.3;8.2;17.1;-0.6;-1.1;-0.1;;;;;;;;;1736.4;94;;;;;;;;;;;;;;;;
OTL;01.01.1946 00:00;11.5;8;15.7;-1.4;-1.3;-1.5;;;;;;;;;1961.8;106;;;;;;;;;;;;;;;;
OTL;01.01.1947 00:00;11.9;8.4;16.2;-1;-0.9;-1;;;;;;;;;1916.4;103;;;;;;;;;;;;;;;;
OTL;01.01.1948 00:00;11.9;8.3;16.3;-1;-1;-0.9;;;;;;;;;1921.8;104;;;;;;;;;;;;;;;;
OTL;01.01.1949 00:00;12.4;8.6;17.1;-0.5;-0.7;-0.1;;;;;;;;;1424.1;77;;;;;;;;;;;;;;;;
OTL;01.01.1950 00:00;11.9;8.2;16.4;-1;-1.1;-0.8;;;;;;;;;1887.9;102;;;;;;;;;;;;;;;;
OTL;01.01.1951 00:00;11.2;7.8;15.5;-1.7;-1.5;-1.7;;;;;;;;;2956.6;159;;;;;;;;;;;;;;;;
OTL;01.01.1952 00:00;11.3;7.7;15.8;-1.6;-1.6;-1.4;;;;;;;;;1829.5;99;;;;;;;;;;;;;;;;
OTL;01.01.1953 00:00;11.9;8.3;16.3;-1;-1;-0.9;;;;;;;;;1779.6;96;;;;;;;;;;;;;;;;
OTL;01.01.1954 00:00;11;7.3;15.3;-1.9;-2;-1.9;;;;;;;;;1979.4;107;;;;;;;;;;;;;;;;
OTL;01.01.1955 00:00;11.4;7.8;15.9;-1.5;-1.5;-1.3;;;;;;;;;1327.1;72;;;;;;;;;;;;;;;;
OTL;01.01.1956 00:00;10.6;7.2;15;-2.3;-2.1;-2.2;;;;;;;;;2180.1;118;;;;;;;;;;;;;;;;
OTL;01.01.1957 00:00;11.5;8.1;15.9;-1.4;-1.2;-1.3;;;;;;;;;2228.9;120;;;;;;;;;;;;;;;;
OTL;01.01.1958 00:00;11.6;8.2;16;-1.3;-1.1;-1.2;;;;;;;;;2049.1;110;;;;;;;;;;;;;;;;
OTL;01.01.1959 00:00;12;8.6;16.1;-0.9;-0.7;-1.1;10.2;-0.2;28;971.2;-0.8;6;;;1701.2;92;;;136969;102;2494.4;212.3;;100;-5.1;30.8;30;51;0;4;1;
OTL;01.01.1960 00:00;10.9;7.6;14.9;-2;-1.7;-2.3;9.3;-1.1;20;968.7;-3.3;8;;;3034.4;164;;;120297;90;2805;88.2;;129;-8.1;27.9;39;21;2;0;0;
OTL;01.01.1961 00:00;12.2;8.7;16.6;-0.7;-0.6;-0.6;10.3;-0.1;24;971.5;-0.5;5;;;1422.4;77;;;146409;110;2406;209.2;1022;89;-4.6;29.3;41;55;3;2;0;
OTL;01.01.1962 00:00;11.2;7.8;15.5;-1.7;-1.5;-1.7;9.5;-0.9;24;970.2;-1.8;7;;;1203.7;65;;;143297;107;2892.4;270.2;1316.4;88;-6.1;30.5;46;72;2;7;4;
OTL;01.01.1963 00:00;10.6;7.6;14.7;-2.3;-1.7;-2.5;9.9;-0.5;23;969.4;-2.6;7;;;2564.1;138;;;122226;91;2916.7;143.1;1372.7;116;-8.1;29.4;55;38;11;3;0;
OTL;01.01.1964 00:00;11.8;8.5;16;-1.1;-0.8;-1.2;10.1;-0.3;31;971.6;-0.4;9;;;1335.5;72;;;132090;99;2678.2;223.9;1182.2;104;-4.4;32;34;63;0;4;6;
OTL;01.01.1965 00:00;11;7.5;15.4;-1.9;-1.8;-1.8;9.3;-1.1;33;969.2;-2.8;7;;;1717.1;93;;;133606;100;2801.8;155.6;1201.8;91;-4.9;32.9;60;37;0;2;3;
OTL;01.01.1966 00:00;11.4;8.1;15.8;-1.5;-1.2;-1.4;10.5;0.1;37;969;-3;6;;;2112.5;114;;;135819;102;2678.1;128;1182.1;109;-7.7;29.3;38;40;1;0;0;
OTL;01.01.1967 00:00;11.5;8.2;16;-1.4;-1.1;-1.2;9.5;-0.9;23;971.6;-0.4;7;;;1870.6;101;;;140897;105;2634.4;186;1138.4;100;-7.3;31;37;51;3;4;2;
OTL;01.01.1968 00:00;11;7.8;15.4;-1.9;-1.5;-1.8;10;-0.4;18;970.1;-1.9;10;;;2229.2;120;;;128750;96;2712.3;105;1208.3;127;-6.5;30.1;36;30;3;5;1;
OTL;01.01.1969 00:00;11;7.6;15.4;-1.9;-1.7;-1.8;9.4;-1;36;969.3;-2.7;5;;;1574.2;85;;;130749;98;2806;185.1;1326;104;-5.7;31.7;60;45;1;4;3;
OTL;01.01.1970 00:00;11;7.7;15.5;-1.9;-1.6;-1.7;9.1;-1.3;20;969.8;-2.2;7;;;1726.6;93;;;133606;100;2931.7;205.5;1339.7;98;-6.8;30.6;50;53;1;1;2;0
OTL;01.01.1971 00:00;11.4;7.9;15.9;-1.5;-1.4;-1.3;9.9;-0.5;26;971;-1;7;;;1682.6;91;;;138779;104;2738.2;195.6;1202.2;108;-8.8;29.7;37;55;2;5;0;0
OTL;01.01.1972 00:00;10.8;7.7;14.9;-2.1;-1.6;-2.3;9.7;-0.7;16;971;-1;13;;;1726.6;93;;;107485;80;2857.2;124.9;1193.2;136;-2.7;30.5;21;35;0;1;1;0
OTL;01.01.1973 00:00;11.5;7.9;16.1;-1.4;-1.4;-1.1;9.8;-0.6;32;971.5;-0.5;9;;;1443.2;78;;;134479;101;2804.4;229.3;1196.4;90;-7.9;30.1;45;68;0;2;2;0
OTL;01.01.1974 00:00;11.6;8.3;16.1;-1.3;-1;-1.1;9.5;-0.9;32;969.9;-2.1;6;;;1590.6;86;;;126438;95;2773;200.8;1085;112;-0.9;31.7;1;59;0;3;7;0
OTL;01.01.1975 00:00;11.5;8.3;15.9;-1.4;-1;-1.3;9.9;-0.5;23;971.7;-0.3;11;;;2053.6;111;;;129457;97;2751.6;205.4;1191.6;125;-1.8;29.8;16;53;0;4;0;0
OTL;01.01.1976 00:00;11.8;8.4;16.4;-1.1;-0.9;-0.8;9.3;-1.1;31;970.2;-1.8;8;;;2001.6;108;;;139861;105;2596.1;244.2;1108.1;92;-4.9;31.6;31;67;1;3;13;0
OTL;01.01.1977 00:00;11;8.1;15.1;-1.9;-1.2;-2.1;9.9;-0.5;17;970.8;-1.2;8;;;2747;148;;;122188;91;2651;90.8;1115;117;-4.6;28.1;25;32;0;0;0;0
OTL;01.01.1978 00:00;10.9;7.7;15.1;-2;-1.6;-2.1;9.3;-1.1;37;969.6;-2.4;6;;;1829.8;99;;;126761;95;2876.5;124.8;1244.5;101;-4;28.6;31;40;1;1;0;0
OTL;01.01.1979 00:00;11.3;8;15.3;-1.6;-1.3;-1.9;9.9;-0.5;21;969.5;-2.5;8;;;2007.9;108;;;116588;87;2810.6;167.3;1218.6;109;-7;29.1;37;53;3;1;0;0
OTL;01.01.1980 00:00;11.1;7.8;15.2;-1.8;-1.5;-2;9.5;-0.9;34;969.9;-2.1;6;;;1473.5;79;;;120268;90;2917.1;161;1237.1;81;-5.4;31.5;27;42;0;5;3;0
OTL;01.01.1981 00:00;11.6;8.1;15.9;-1.3;-1.2;-1.3;9.8;-0.6;42;970;-2;11;1.6;114;2203.1;119;155;98;123003;92;2623.6;198.5;1175.6;98;-6.1;31.3;54;55;1;4;2;0
OTL;01.01.1982 00:00;11.8;8.6;16;-1.1;-0.7;-1.2;10.2;-0.2;17;971.8;-0.2;7;1.4;100;1874.8;101;160;101;126297;94;2740.3;246.8;1156.3;102;-4.3;33.8;28;65;0;6;3;0
OTL;01.01.1983 00:00;11.8;8.5;16.1;-1.1;-0.8;-1.1;10;-0.4;23;972.3;0.3;13;1.5;107;1938.2;104;152;96;125457;94;2745.5;310.4;1137.5;94;-3;37.3;37;68;1;16;16;2
OTL;01.01.1984 00:00;11.1;7.8;15.3;-1.8;-1.5;-1.9;9.2;-1.2;22;970.3;-1.7;13;1.5;107;2131.9;115;154;97;122801;92;2989.8;229.7;1221.8;100;-3.6;32.2;33;59;0;3;11;0
OTL;01.01.1985 00:00;11.4;8;15.8;-1.5;-1.3;-1.4;9.5;-0.9;43;970.4;-1.6;7;1.5;107;1729.1;93;161;101;129701;97;2811.5;234.4;1315.5;103;-10;30.7;42;61;6;3;1;0
OTL;01.01.1986 00:00;11.8;8.6;16.2;-1.1;-0.7;-1;10.1;-0.3;26;971.1;-0.9;9;1.5;107;1763.3;95;148;93;121622;91;2733.9;281.8;1221.9;102;-7;31.6;35;71;2;10;8;0
OTL;01.01.1987 00:00;11.5;8.2;15.7;-1.4;-1.1;-1.5;10;-0.4;26;970.8;-1.2;10;1.5;107;2277.5;123;151;95;121662;91;2720.6;225.9;1192.6;101;-7.5;30;40;61;2;6;1;0
OTL;01.01.1988 00:00;12.1;8.9;16.4;-0.8;-0.4;-0.8;10.2;-0.2;31;970.9;-1.1;9;1.5;107;2127.1;115;149;94;123206;92;2437.3;212.4;1021.3;109;-3.3;30.3;12;55;0;5;2;0
OTL;01.01.1989 00:00;12.4;8.8;17.1;-0.5;-0.5;-0.1;9.8;-0.6;52;972.9;0.9;7;1.5;107;1478.1;80;161;101;140700;105;2358.1;248.5;950.1;85;-2.1;32.7;24;69;0;5;3;0
OTL;01.01.1990 00:00;12.7;9.1;17.3;-0.2;-0.2;0.1;10;-0.4;27;972.6;0.6;8;1.5;107;1474.3;79;162;102;134370;101;2264.7;278.1;976.7;91;-3.6;32.2;27;74;0;6;10;0
