station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
PAY;01.01.1965 00:00;7.7;3.7;12.3;-2.1;-1.6;-2.2;9.3;-0.7;;957.7;-2.1;;;;1101.3;129;;;90112;82;;;;;-15;;104;;;0;;
PAY;01.01.1966 00:00;8.8;4.6;13.7;-1;-0.7;-0.8;9.8;-0.2;;957.4;-2.4;;;;863;101;;;98998;90;;;;;-21.6;;92;;;0;;
PAY;01.01.1967 00:00;8.6;4;13.7;-1.2;-1.3;-0.8;9.6;-0.4;;960.2;0.4;;;;781.4;92;;;110579;101;;;;;-15.1;;105;;;0;;
PAY;01.01.1968 00:00;8.3;4.2;12.9;-1.5;-1.1;-1.6;9.5;-0.5;;958.3;-1.5;;;;1010.9;118;;;96796;88;;;;;-20.4;;110;;;0;;
PAY;01.01.1969 00:00;7.9;3.7;12.6;-1.9;-1.6;-1.9;9.4;-0.6;;957.7;-2.1;;;;712.7;83;;;98558;90;;;;;-13;;116;;;0;;
PAY;01.01.1970 00:00;8.1;3.9;12.6;-1.7;-1.4;-1.9;9.5;-0.5;;958.7;-1.1;;;;946;111;;;94288;86;;;;;-13.5;;115;;;0;;
PAY;01.01.1971 00:00;8.2;3.8;13.1;-1.6;-1.5;-1.4;9.2;-0.8;;959.5;-0.3;;;;698;82;;;110894;101;;;;;-20.7;;116;;;0;;
PAY;01.01.1972 00:00;8;3.8;12.6;-1.8;-1.5;-1.9;8.8;-1.2;;958.6;-1.2;;;;657.4;77;;;94082;86;;;;;-10.7;;107;;;0;;
PAY;01.01.1973 00:00;8.2;3.9;12.8;-1.6;-1.4;-1.7;9.4;-0.6;;960.7;0.9;;;;710.9;83;;;100296;91;;;;;-14.9;;136;;;0;;
PAY;01.01.1974 00:00;9;4.5;13.4;-0.8;-0.8;-1.1;9.7;-0.3;;958.6;-1.2;;;;816.8;96;;;90271;82;;;;;-5.7;;78;;;0;;
PAY;01.01.1975 00:00;8.7;4.8;12.9;-1.1;-0.5;-1.6;9.7;-0.3;;960;0.2;;;;709.4;83;;;90870;83;;;;;-10.1;;94;;;0;;
PAY;01.01.1976 00:00;8.7;4;13.4;-1.1;-1.3;-1.1;9;-1;;958.7;-1.1;;;;609;71;;;111977;102;;;;;-14.8;;107;;;0;;
PAY;01.01.1977 00:00;8.8;4.9;13.2;-1;-0.4;-1.3;9.7;-0.3;;958.6;-1.2;;;;1057.8;124;;;84985;77;;;;;-12.2;;81;;;0;;
PAY;01.01.1978 00:00;8;4;12.6;-1.8;-1.3;-1.9;9.1;-0.9;;958.1;-1.7;;;;863.2;101;;;76254;69;;;;;-9.6;;91;;;0;;
PAY;01.01.1979 00:00;8.6;4.4;13;-1.2;-0.9;-1.5;9.6;-0.4;;957.8;-2;;;;935.4;110;;;90882;83;;;;;-15;;86;;;0;;
PAY;01.01.1980 00:00;7.9;3.9;12.3;-1.9;-1.4;-2.2;9.2;-0.8;;958.8;-1;;;;930.8;109;;;88830;81;;;;;-13.3;;104;;;0;;
PAY;01.01.1981 00:00;8.7;3.9;13.2;-1.1;-1.4;-1.3;9.5;-0.5;;958.9;-0.9;;1.8;90;889.5;104;136;93;91103;83;;;;;-16.1;;103;;;0;;
PAY;01.01.1982 00:00;9.4;4.9;14;-0.4;-0.4;-0.5;9.8;-0.2;;959.9;0.1;;1.8;90;931.3;109;140;95;93648;85;;;;;-11.3;;94;;;0;;
PAY;01.01.1983 00:00;9.1;4.7;13.8;-0.7;-0.6;-0.7;10;0;;960.6;0.8;;2;100;884;104;141;96;93683;85;;;;;-10.3;;109;;;0;;
PAY;01.01.1984 00:00;8.5;4.2;12.9;-1.3;-1.1;-1.6;9.1;-0.9;;958.6;-1.2;;2.2;110;867.8;102;141;96;93129;85;;;;;-9.7;;95;;;0;;
PAY;01.01.1985 00:00;8.2;3.4;13.1;-1.6;-1.9;-1.4;9;-1;;959;-0.8;;2;100;848.8;99;148;101;105032;96;;;;;-22;;113;;;0;;
PAY;01.01.1986 00:00;8.7;4.3;13.1;-1.1;-1;-1.4;9.5;-0.5;;959.3;-0.5;;2.1;105;847.2;99;139;95;91635;83;;;;;-14.5;;100;;;0;;
PAY;01.01.1987 00:00;8.6;4.7;12.8;-1.2;-0.6;-1.7;9.6;-0.4;;959.3;-0.5;;2;100;1050.7;123;130;89;83477;76;;;;;-19.2;;91;;;0;;
PAY;01.01.1988 00:00;9.5;5.4;14;-0.3;0.1;-0.5;10;0;;959.2;-0.6;;2.2;110;932.6;109;138;94;97659;89;;;;;-7.2;;76;;;0;;
PAY;01.01.1989 00:00;9.4;5;14.3;-0.4;-0.3;-0.2;9.5;-0.5;;960.8;1;;1.9;95;607.6;71;143;98;107803;98;;;;;-7.2;;84;;;0;;
PAY;01.01.1990 00:00;9.7;5.3;14.5;-0.1;0;0;9.6;-0.4;;960.9;1.1;;2.1;105;896.4;105;147;100;112489;102;;;;;-9.1;;74;;;0;;
PAY;01.01.1991 00:00;9;4.7;13.6;-0.8;-0.6;-0.9;9.4;-0.6;;960.5;0.7;;2.1;105;749.8;88;144;98;107786;98;;;;;-13.8;;92;;;0;;
PAY;01.01.1992 00:00;9.5;5.1;13.9;-0.3;-0.2;-0.6;9.9;-0.1;;960.6;0.8;;2.1;105;891;104;137;93;95002;86;;;;;-13;;85;;;0;;
PAY;01.01.1993 00:00;9.3;5.2;13.5;-0.5;-0.1;-1;9.6;-0.4;;960.3;0.5;;2.1;105;893.9;105;137;93;92733;84;;;;;-10.6;;91;;;0;;
PAY;01.01.1994 00:00;10.5;6.4;14.9;0.7;1.1;0.4;10.7;0.7;;959.7;-0.1;;2;100;963.3;113;133;91;92981;85;;;;;-7.6;;52;;;0;;
PAY;01.01.1995 00:00;9.4;5;14.1;-0.4;-0.3;-0.4;9.8;-0.2;;959.5;-0.3;;2.2;110;1059.4;124;144;98;105692;96;;;;;-14.7;;90;;;0;;
PAY;01.01.1996 00:00;8.5;4.3;12.9;-1.3;-1;-1.6;9.3;-0.7;;957.8;-2;;2;100;860;101;140;95;99040;90;;;;;-11.4;;100;;;0;;
PAY;01.01.1997 00:00;9.5;5;14.2;-0.3;-0.3;-0.3;10;0;;960.4;0.6;;1.9;95;928.4;109;146;100;112329;102;;;;;-9.5;;103;;;0;;
PAY;01.01.1998 00:00;9.5;4.8;14.4;-0.3;-0.5;-0.1;9.3;-0.7;;960.3;0.5;;2.2;110;749.4;88;145;99;110519;101;;;;;-10.3;;105;;;0;;
PAY;01.01.1999 00:00;9.5;5.4;14;-0.3;0.1;-0.5;10.1;0.1;;959.2;-0.6;;2.2;110;983.4;115;138;94;97163;88;;;;;-11.9;;87;;;0;;
PAY;01.01.2000 00:00;10.1;5.7;14.9;0.3;0.4;0.4;10.1;0.1;;959.6;-0.2;;1.9;95;889.8;104;144;98;113261;103;;;;;-14;;68;;;0;;
PAY;01.01.2001 00:00;9.7;5.8;14.2;-0.1;0.5;-0.3;10;0;;959.4;-0.4;;2.2;110;1093.9;128;141;96;102900;94;;;;;-11.9;;79;;;0;;
PAY;01.01.2002 00:00;10.1;5.9;14.6;0.3;0.6;0.1;10;0;;959.3;-0.5;;1.9;95;979.2;115;141;96;103461;94;;;;;-10.5;;52;;;0;;
PAY;01.01.2003 00:00;10.1;5.2;15.3;0.3;-0.1;0.8;9.8;-0.2;;960.3;0.5;;1.9;95;612.9;72;158;108;129396;118;;;;;-12;;105;;;1;;
