station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
SAE;01.01.1864 00:00;-3;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1865 00:00;-1.8;;;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1866 00:00;-2;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1867 00:00;-2.6;;;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1868 00:00;-1.6;;;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1869 00:00;-2.7;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1870 00:00;-3.5;;;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1871 00:00;-3.1;;;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1872 00:00;-1.8;;;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1873 00:00;-2;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1874 00:00;-2.7;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1875 00:00;-2.8;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1876 00:00;-2.6;;;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1877 00:00;-2.9;;;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1878 00:00;-3.1;;;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1879 00:00;-3.6;;;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1880 00:00;-2.1;;;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1881 00:00;-2.5;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1882 00:00;-2.4;;;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1883 00:00;-3.6;;;-2.9;;;;;;;;;;;2536.1;89;;;;;;;;;;;;;;;;
SAE;01.01.1884 00:00;-2.7;;;-2;;;;;;;;;;;2485.1;88;;;;;;;;;;;;;;;;
SAE;01.01.1885 00:00;-2.2;;;-1.5;;;;;;;;;;;2142.5;75;;;;;;;;;;;;;;;;
SAE;01.01.1886 00:00;-2.5;;;-1.8;;;;;;;;;;;2508.1;88;;;;;;;;;;;;;;;;
SAE;01.01.1887 00:00;-3.2;;;-2.5;;;;;;;;;;;2069.2;73;;;;;;;;;;;;;;;;
SAE;01.01.1888 00:00;-3.3;;;-2.6;;;;;;;;;;;2631.4;93;;;112412;105;;;;;;;;;;;;
SAE;01.01.1889 00:00;-3.7;;;-3;;;;;;;;;;;2541;89;;;96072;89;;;;;;;;;;;;
SAE;01.01.1890 00:00;-2.8;;;-2.1;;;;;;;;;;;2351.1;83;;;116467;108;;;;;;;;;;;;
SAE;01.01.1891 00:00;-2.9;;;-2.2;;;;;;;;;;;2170.9;76;;;117998;110;;;;;;;;;;;;
SAE;01.01.1892 00:00;-2.5;-5.4;;-1.8;-2.3;;;;;;;;;;2508.3;88;;;111730;104;;;;;;;;;;;;
SAE;01.01.1893 00:00;-2.3;-5.3;;-1.6;-2.2;;;;;;;;;;2133.2;75;;;114373;106;;;;;;;;;;;;
SAE;01.01.1894 00:00;-2.7;-5.5;;-2;-2.4;;;;;;;;;;2742.5;97;;;104389;97;;;;;;;;;;;;
SAE;01.01.1895 00:00;-2.9;-6;;-2.2;-2.9;;;;;;;;;;2128.7;75;;;113977;106;;;;;;;;;;;;
SAE;01.01.1896 00:00;-2.9;-5.6;;-2.2;-2.5;;;;;;;;;;2575.6;91;;;101065;94;;;;;;;;;;;;
SAE;01.01.1897 00:00;-1.8;-4.5;;-1.1;-1.4;;;;;;;;;;2653.3;93;;;108971;101;;;;;;;;;;;;
SAE;01.01.1898 00:00;-1.5;-4.1;;-0.8;-1;;;;;;;;;;2314.3;81;;;117273;109;;;;;;;;;;;;
SAE;01.01.1899 00:00;-1.9;-4.5;;-1.2;-1.4;;;;;;;;;;2594.6;91;;;116447;108;;;;;;;;;;;;
SAE;01.01.1900 00:00;-2.2;-4.8;;-1.5;-1.7;;;;;;;;;;2454.3;86;;;97863;91;;;;;;;;;;;;
SAE;01.01.1901 00:00;-3.1;-5.6;-0.7;-2.4;-2.5;-2.5;;;;;;;;;2292.1;81;;;110844;103;;;;;;;;;;;;
SAE;01.01.1902 00:00;-2.4;-4.8;-0.1;-1.7;-1.7;-1.9;;;;;;;;;2743.7;97;;;110186;103;;;;;;;;;;;;
SAE;01.01.1903 00:00;-2.5;-4.9;-0.2;-1.8;-1.8;-2;;;;;;;;;2528.5;89;;;104045;97;;;;;;;;;;;;
SAE;01.01.1904 00:00;-1.9;-4.3;0.5;-1.2;-1.2;-1.3;;;;;;;;;2740.9;97;;;111930;104;;;;;;;;;;;;
SAE;01.01.1905 00:00;-3;-5.7;-0.5;-2.3;-2.6;-2.3;;;;;;;;;2725.7;96;;;110251;103;;;;;;;;;;;;
SAE;01.01.1906 00:00;-2.9;-5.4;-0.4;-2.2;-2.3;-2.2;;;;;;;;;2404.4;85;;;117271;109;;;;;;;;;;;;
SAE;01.01.1907 00:00;-2.6;-5;-0.2;-1.9;-1.9;-2;;;;;;;;;2335.4;82;;;110436;103;;;;;;;;;;;;
SAE;01.01.1908 00:00;-2.3;-4.7;0;-1.6;-1.6;-1.8;;;;;;;;;2330.5;82;;;116045;108;;;;;;;;;;;;
SAE;01.01.1909 00:00;-3.4;-6;-1.1;-2.7;-2.9;-2.9;;;;;;;;;2960;104;;;106381;99;;;;;;;;;;;;
SAE;01.01.1910 00:00;-3.1;-5.4;-0.9;-2.4;-2.3;-2.7;;;;;;;;;3607.5;127;;;95258;89;;;;;;;;;;;;
SAE;01.01.1911 00:00;-1.6;-4;0.8;-0.9;-0.9;-1;;;;;;;;;1653;58;;;125847;117;;;;;;;;;;;;
SAE;01.01.1912 00:00;-3;-5.4;-0.7;-2.3;-2.3;-2.5;;;;;;;;;3077.7;108;;;87375;81;;;;;;;;;;;;
SAE;01.01.1913 00:00;-2.3;-4.8;-0.2;-1.6;-1.7;-2;;;;;;;;;2812.8;99;;;98498;92;;;;;;;;;;;;
SAE;01.01.1914 00:00;-2.4;-4.9;-0.1;-1.7;-1.8;-1.9;;;;;;;;;3046.4;107;;;107141;100;;;;;;;;;;;;
SAE;01.01.1915 00:00;-3.1;-5.4;-0.9;-2.4;-2.3;-2.7;;;;;;;;;2557.2;90;;;103796;97;;;;;;;;;;;;
SAE;01.01.1916 00:00;-2.6;-5.1;-0.3;-1.9;-2;-2.1;;;;;;;;;3130.9;110;;;103443;96;;;;;;;;;;;;
SAE;01.01.1917 00:00;-3.1;-5.7;-0.6;-2.4;-2.6;-2.4;;;;;;;;;2009.6;71;;;121040;113;;;;;;;;;;;;
SAE;01.01.1918 00:00;-2;-4.5;0.6;-1.3;-1.4;-1.2;;;;;;;;;2242.4;79;;;112902;105;;;;;;;;;;;;
SAE;01.01.1919 00:00;-3.5;-6;-0.9;-2.8;-2.9;-2.7;;;;;;;;;2599.5;92;;;104537;97;;;;;;;;;;;;
SAE;01.01.1920 00:00;-0.7;-3.2;1.9;0;-0.1;0.1;;;;;;;;;2033.2;72;;;106153;99;;;;;;;;;;;;
SAE;01.01.1921 00:00;-1.1;-3.4;1.4;-0.4;-0.3;-0.4;;;;;;;;;2029.1;71;;;130374;121;;;;;;;;;;;;
SAE;01.01.1922 00:00;-2.9;-5.7;-0.3;-2.2;-2.6;-2.1;;;;;;;;;4172.9;147;;;104552;97;;;;;;;;;;;;
SAE;01.01.1923 00:00;-2.5;-5.1;0;-1.8;-2;-1.8;;;;;;;;;2908.1;102;;;101611;95;;;;;;;;;;;;
SAE;01.01.1924 00:00;-2;-4.6;0.4;-1.3;-1.5;-1.4;;;;;;;;;2538.8;89;;;109138;102;;;;;;;;;;;;
SAE;01.01.1925 00:00;-2.7;-5.3;-0.2;-2;-2.2;-2;;;;;;;;;2638.3;93;;;95672;89;;;;;;;;;;;;
SAE;01.01.1926 00:00;-1.8;-4.4;0.7;-1.1;-1.3;-1.1;;;;;;;;;2650.8;93;;;107075;100;;;;;;;;;;;;
SAE;01.01.1927 00:00;-1.8;-4.6;0.7;-1.1;-1.5;-1.1;;;;;;;;;2725.4;96;;;112771;105;;;;;;;;;;;;
SAE;01.01.1928 00:00;-1.9;-4.6;0.7;-1.2;-1.5;-1.1;;;;;;;;;2489.8;88;;;115876;108;;;;;;;;;;;;
SAE;01.01.1929 00:00;-2.3;-4.8;0.5;-1.6;-1.7;-1.3;;;;;;;;;1980.3;70;;;133234;124;;;;;;;;;;;;
SAE;01.01.1930 00:00;-1.6;-4.2;0.8;-0.9;-1.1;-1;;;;;;;;;2892.1;102;;;107076;100;;;;;;;;;;;;
SAE;01.01.1931 00:00;-2.8;-5.6;-0.2;-2.1;-2.5;-2;;;;;;;;;2105.1;74;;;114512;107;;;;;;;;;;;;
SAE;01.01.1932 00:00;-1.7;-4.2;0.9;-1;-1.1;-0.9;;;;;;;;;2140;75;;;117892;110;;;;;;;;;;;;
SAE;01.01.1933 00:00;-2.8;-5.3;-0.4;-2.1;-2.2;-2.2;;;;;;;;;2555.4;90;;;107163;100;;;;;;;;;;;;
SAE;01.01.1934 00:00;-1;-3.8;1.6;-0.3;-0.7;-0.2;;;;;;;;;1949;69;;;126703;118;;;;;;;;;;;;
SAE;01.01.1935 00:00;-2.7;-5.5;-0.1;-2;-2.4;-1.9;;;;;;;;;2509.3;88;;;106397;99;;;;;;;;;;;;
SAE;01.01.1936 00:00;-2.2;-4.7;0.3;-1.5;-1.6;-1.5;;;;;;;;;2578;91;;;99477;93;;;;;;;;;;;;
SAE;01.01.1937 00:00;-2.3;-4.8;0.2;-1.6;-1.7;-1.6;;;;;;;;;2477.7;87;;;93370;87;;;;;;;;;;;;
SAE;01.01.1938 00:00;-2;-4.6;0.7;-1.3;-1.5;-1.1;;;;;;;;;2018.7;71;;;119671;111;;;;;;;;;;;;
SAE;01.01.1939 00:00;-2.4;-4.9;0.1;-1.7;-1.8;-1.7;;;;;;;;;2848.1;100;;;93908;87;;;;;;;;;;;;
SAE;01.01.1940 00:00;-3.1;-5.7;-0.6;-2.4;-2.6;-2.4;;;;;;;;;3326.9;117;;;93167;87;;;;;;;;;;;;
SAE;01.01.1941 00:00;-3;-5.6;-0.5;-2.3;-2.5;-2.3;;;;;;;;;2669.4;94;;;101641;95;;;;;;;;;;;;
SAE;01.01.1942 00:00;-1.9;-4.5;0.7;-1.2;-1.4;-1.1;;;;;;;;;2325.2;82;;;116725;109;;;;;;;;;;;;
SAE;01.01.1943 00:00;-1.1;-3.6;1.5;-0.4;-0.5;-0.3;;;;;;;;;2320.5;82;;;117427;109;;;;;;;;;;;;
SAE;01.01.1944 00:00;-2.8;-5.4;-0.3;-2.1;-2.3;-2.1;;;;;;;;;3303.9;116;;;89903;84;;;;;;;;;;;;
SAE;01.01.1945 00:00;-1.6;-4.2;0.9;-0.9;-1.1;-0.9;;;;;;;;;2829.8;100;;;110053;102;;;;;;;;;;;;
SAE;01.01.1946 00:00;-1.5;-4.1;1.2;-0.8;-1;-0.6;;;;;;;;;2222.2;78;;;111630;104;;;;;;;;;;;;
SAE;01.01.1947 00:00;-0.9;-3.6;1.8;-0.2;-0.5;0;;;;;;;;;2416.3;85;;;116921;109;;;;;;;;;;;;
SAE;01.01.1948 00:00;-0.9;-3.4;1.7;-0.2;-0.3;-0.1;;;;;;;;;2651.9;93;;;127049;118;;;;;;;;;;;;
SAE;01.01.1949 00:00;-1.1;-3.6;1.6;-0.4;-0.5;-0.2;;;;;;;;;1916.5;67;;;130882;122;;;;;;;;;;;;
SAE;01.01.1950 00:00;-1.3;-4.1;1.4;-0.6;-1;-0.4;;;;;;;;;2275.3;80;;;115613;108;;;;;;;;;;;;
SAE;01.01.1951 00:00;-1.5;-4;1.2;-0.8;-0.9;-0.6;;;;;;;;;2017.3;71;;;109745;102;;;;;;;;;;;;
SAE;01.01.1952 00:00;-2.5;-5.1;0.1;-1.8;-2;-1.7;;;;;;;;;3117.5;110;;;91996;86;;;;;;;;;;;;
SAE;01.01.1953 00:00;-1;-3.4;1.6;-0.3;-0.3;-0.2;;;;;;;;;1736.8;61;;;126417;118;;;;;;;;;;;;
SAE;01.01.1954 00:00;-2.6;-5.1;0;-1.9;-2;-1.8;;;;;;;;;2700;95;;;93312;87;;;;;;;;;;;;
SAE;01.01.1955 00:00;-2.4;-4.9;0.1;-1.7;-1.8;-1.7;;;;;;;;;2733.4;96;;;98756;92;;;;;;;;;;;;
SAE;01.01.1956 00:00;-3.3;-5.9;-0.7;-2.6;-2.8;-2.5;;;;;;;;;2608.7;92;;;109543;102;;;;;;;;;;;;
