station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
SAM;01.01.1864 00:00;-0.1;;;-2.4;;;;;;;;;;;691.8;97;;;;;;;;;;;;;;;;
SAM;01.01.1865 00:00;0.9;;;-1.4;;;;;;;;;;;678.5;96;;;;;;;;;;;;;;;;
SAM;01.01.1866 00:00;1.5;;;-0.8;;;;;;;;;;;659.3;93;;;;;;;;;;;;;;;;
SAM;01.01.1867 00:00;1.5;;;-0.8;;;;;;;;;;;789.8;111;;;;;;;;;;;;;;;;
SAM;01.01.1868 00:00;1.5;;;-0.8;;;;;;;;;;;819.1;115;;;;;;;;;;;;;;;;
SAM;01.01.1869 00:00;1.1;-6.7;7.7;-1.2;-2.1;-1.3;;;;;;;;;622.5;88;;;;;;;;;;;;;;;;
SAM;01.01.1870 00:00;0.5;-7.3;7.2;-1.8;-2.7;-1.8;;;;;;;;;520.3;73;;;;;;;;;;;;;;;;
SAM;01.01.1871 00:00;-0.5;-8.5;6.3;-2.8;-3.9;-2.7;;;;;;;;;586.5;83;;;;;;;;;;;;;;;;
SAM;01.01.1872 00:00;1.5;-5.6;7.9;-0.8;-1;-1.1;;;;;;;;;1142.1;161;;;;;;;;;;;;;;;;
SAM;01.01.1873 00:00;1.1;-6.3;7.7;-1.2;-1.7;-1.3;;;;;;;;;677.7;95;;;;;;;;;;;;;;;;
SAM;01.01.1874 00:00;0.4;-7.2;7.5;-1.9;-2.6;-1.5;;;;;;;;;675.4;95;;;;;;;;;;;;;;;;
