station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
SBE;01.01.1864 00:00;2.2;;;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1865 00:00;3.2;;;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1866 00:00;3.2;;;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1867 00:00;2.6;;;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1868 00:00;3.3;;;-0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1869 00:00;2.6;;;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1870 00:00;2;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1871 00:00;2.1;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1872 00:00;3.1;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1873 00:00;3.2;;;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1874 00:00;2.5;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1875 00:00;2.6;;;-1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1876 00:00;2.8;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1877 00:00;2.3;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1878 00:00;2.1;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1879 00:00;1.7;;;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1880 00:00;3.3;;;-0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1881 00:00;2.7;;;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1882 00:00;2.8;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1883 00:00;2;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1884 00:00;2.8;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1885 00:00;3;;;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1886 00:00;2.5;;;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1887 00:00;1.8;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1888 00:00;2;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1889 00:00;1.7;;;-2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1890 00:00;1.8;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1891 00:00;2;;;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1892 00:00;2.4;;;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1893 00:00;2.8;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1894 00:00;2.7;;;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1895 00:00;2.2;;;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1896 00:00;2.3;;;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1897 00:00;3.2;;;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1898 00:00;3.7;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBE;01.01.1899 00:00;3.4;;;-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
