station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
SIA;01.01.1864 00:00;0.2;;;-2.3;;;;;;;;;;;923.1;93;;;;;;;;;;;;;;;;
SIA;01.01.1865 00:00;1.1;;;-1.4;;;;;;;;;;;1020.2;103;;;;;;;;;;;;;;;;
SIA;01.01.1866 00:00;1.5;;;-1;;;;;;;;;;;936.1;94;;;;;;;;;;;;;;;;
SIA;01.01.1867 00:00;1.4;;;-1.1;;;;;;;;;;;1125.1;113;;;;;;;;;;;;;;;;
SIA;01.01.1868 00:00;1.8;;;-0.7;;;;;;;;;;;1108.6;112;;;;;;;;;;;;;;;;
SIA;01.01.1869 00:00;1.3;;;-1.2;;;;;;;;;;;877.1;88;;;;;;;;;;;;;;;;
SIA;01.01.1870 00:00;0.6;-5.2;5.6;-1.9;-2.3;-2.1;;;;;;;;;702.6;71;;;;;;;;;;;;;;;;
SIA;01.01.1871 00:00;0.1;-6.1;4.9;-2.4;-3.2;-2.8;;;;;;;;;748.4;75;;;;;;;;;;;;;;;;
SIA;01.01.1872 00:00;1.5;-4;7;-1;-1.1;-0.7;;;;;;;;;1688.5;170;;;;;;;;;;;;;;;;
SIA;01.01.1873 00:00;1.4;-4.4;7;-1.1;-1.5;-0.7;;;;;;;;;1056.5;106;;;;;;;;;;;;;;;;
SIA;01.01.1874 00:00;0.7;-5.2;6.4;-1.8;-2.3;-1.3;;;;;;;;;964.8;97;;;;;;;;;;;;;;;;
SIA;01.01.1875 00:00;0.7;-5.3;6;-1.8;-2.4;-1.7;;;;;;;;;817.1;82;;;;;;;;;;;;;;;;
SIA;01.01.1876 00:00;1.3;-4.8;6.4;-1.2;-1.9;-1.3;;;;;;;;;1009.3;102;;;;;;;;;;;;;;;;
SIA;01.01.1877 00:00;1.1;-4.7;5.6;-1.4;-1.8;-2.1;;;;;;;;;1007.6;101;;;;;;;;;;;;;;;;
SIA;01.01.1878 00:00;0.7;-5.3;5.7;-1.8;-2.4;-2;;;;;;;;;1236.4;124;;;;;;;;;;;;;;;;
SIA;01.01.1879 00:00;0.3;-5.9;5.3;-2.2;-3;-2.4;;;;;;;;;940;95;;;;;;;;;;;;;;;;
SIA;01.01.1880 00:00;1.7;-4.2;6.3;-0.8;-1.3;-1.4;;;;;;;;;971.4;98;;;;;;;;;;;;;;;;
SIA;01.01.1881 00:00;1.2;-5;6;-1.3;-2.1;-1.7;;;;;;;;;601.7;61;;;;;;;;;;;;;;;;
SIA;01.01.1882 00:00;1.1;-4.8;5.9;-1.4;-1.9;-1.8;;;;;;;;;1189.2;120;;;;;;;;;;;;;;;;
SIA;01.01.1883 00:00;0.5;-5.7;5.2;-2;-2.8;-2.5;;;;;;;;;758.1;76;;;;;;;;;;;;;;;;
SIA;01.01.1884 00:00;1.3;-4.4;6.4;-1.2;-1.5;-1.3;;;;;;;;;561.8;57;;;;;;;;;;;;;;;;
SIA;01.01.1885 00:00;1.3;-4.9;6.6;-1.2;-2;-1.1;;;;;;;;;890.4;90;;;;;;;;;;;;;;;;
SIA;01.01.1886 00:00;1;-4.9;5.6;-1.5;-2;-2.1;;;;;;;;;838.7;84;;;;;;;;;;;;;;;;
SIA;01.01.1887 00:00;-0.1;-6.3;4.8;-2.6;-3.4;-2.9;;;;;;;;;768.4;77;;;;;;;;;;;;;;;;
SIA;01.01.1888 00:00;0.3;-5.7;5;-2.2;-2.8;-2.7;;;;;;;;;1217.8;123;;;;;;;;;;;;;;;;
SIA;01.01.1889 00:00;0.5;-5.5;5.1;-2;-2.6;-2.6;;;;;;;;;925.3;93;;;;;;;;;;;;;;;;
SIA;01.01.1890 00:00;0.3;-6;5;-2.2;-3.1;-2.7;;;;;;;;;1003.9;101;;;;;;;;;;;;;;;;
SIA;01.01.1891 00:00;0.2;-5.9;5.1;-2.3;-3;-2.6;;;;;;;;;1164.7;117;;;;;;;;;;;;;;;;
SIA;01.01.1892 00:00;0.7;-5.6;5.7;-1.8;-2.7;-2;;;;;;;;;904.2;91;;;;;;;;;;;;;;;;
SIA;01.01.1893 00:00;1.2;-4.9;6.5;-1.3;-2;-1.2;;;;;;;;;685.3;69;;;;;;;;;;;;;;;;
SIA;01.01.1894 00:00;0.9;-5.1;6.4;-1.6;-2.2;-1.3;;;;;;;;;837.8;84;;;;;;;;;;;;;;;;
SIA;01.01.1895 00:00;0.8;-5.3;5.9;-1.7;-2.4;-1.8;;;;;;;;;891.7;90;;;;;;;;;;;;;;;;
SIA;01.01.1896 00:00;0.5;-5.2;5.1;-2;-2.3;-2.6;;;;;;;;;1373;138;;;;;;;;;;;;;;;;
