station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
SIO;01.01.1864 00:00;7.9;;;-2.8;;;;;;;;;;;404.1;69;;;;;;;;;;;;;;;;
SIO;01.01.1865 00:00;9.2;;;-1.5;;;;;;;;;;;435.8;75;;;;;;;;;;;;;;;;
SIO;01.01.1866 00:00;9;;;-1.7;;;;;;;;;;;820.6;141;;;;;;;;;;;;;;;;
SIO;01.01.1867 00:00;8.6;;;-2.1;;;;;;;;;;;723;124;;;;;;;;;;;;;;;;
SIO;01.01.1868 00:00;9.2;;;-1.5;;;;;;;;;;;545.3;94;;;;;;;;;;;;;;;;
SIO;01.01.1869 00:00;8.6;;;-2.1;;;;;;;;;;;444.1;76;;;;;;;;;;;;;;;;
SIO;01.01.1870 00:00;8.1;;;-2.6;;;;;;;;;;;500.2;86;;;;;;;;;;;;;;;;
SIO;01.01.1871 00:00;7.5;;;-3.2;;;;;;;;;;;515.6;88;;;;;;;;;;;;;;;;
SIO;01.01.1872 00:00;9;;;-1.7;;;;;;;;;;;920.1;158;;;;;;;;;;;;;;;;
SIO;01.01.1873 00:00;8.7;;;-2;;;;;;;;;;;707.8;121;;;;;;;;;;;;;;;;
SIO;01.01.1874 00:00;8.5;;;-2.2;;;;;;;;;;;660.7;113;;;;;;;;;;;;;;;;
SIO;01.01.1875 00:00;8.3;;;-2.4;;;;;;;;;;;690.3;118;;;;;;;;;;;;;;;;
SIO;01.01.1876 00:00;8.8;;;-1.9;;;;;;;;;;;744.8;128;;;;;;;;;;;;;;;;
SIO;01.01.1877 00:00;8.7;;;-2;;;;;;;;;;;686.5;118;;;;;;;;;;;;;;;;
SIO;01.01.1878 00:00;7.9;;;-2.8;;;;;;;;;;;610.3;105;;;;;;;;;;;;;;;;
SIO;01.01.1879 00:00;7.3;;;-3.4;;;;;;;;;;;641.3;110;;;;;;;;;;;;;;;;
SIO;01.01.1880 00:00;8.9;;;-1.8;;;;;;;;;;;492.6;84;;;;;;;;;;;;;;;;
SIO;01.01.1881 00:00;8.6;;;-2.1;;;;;;;;;;;490.3;84;;;;;;;;;;;;;;;;
SIO;01.01.1882 00:00;8.4;;;-2.3;;;;;;;;;;;695.1;119;;;;;;;;;;;;;;;;
SIO;01.01.1883 00:00;8.2;;;-2.5;;;;;;;;;;;417.1;72;;;;;;;;;;;;;;;;
SIO;01.01.1884 00:00;8.8;;;-1.9;;;;;;;;;;;351.8;60;;;;;;;;;;;;;;;;
SIO;01.01.1885 00:00;8.2;;;-2.5;;;;;;;;;;;492.9;85;;;;;;;;;;;;;;;;
SIO;01.01.1886 00:00;8.4;;;-2.3;;;;;;;;;;;348.2;60;;;;;;;;;;;;;;;;
SIO;01.01.1887 00:00;7.3;;;-3.4;;;;;;;;;;;436.5;75;;;;;;;;;;;;;;;;
SIO;01.01.1888 00:00;7.6;;;-3.1;;;;;;;;;;;481.9;83;;;;;;;;;;;;;;;;
SIO;01.01.1889 00:00;7.2;;;-3.5;;;;;;;;;;;436.4;75;;;;;;;;;;;;;;;;
SIO;01.01.1890 00:00;7.5;;;-3.2;;;;;;;;;;;524.7;90;;;;;;;;;;;;;;;;
SIO;01.01.1891 00:00;7.5;;;-3.2;;;;;;;;;;;758.4;130;;;;;;;;;;;;;;;;
SIO;01.01.1892 00:00;8.5;;;-2.2;;;;;;;;;;;415.8;71;;;;;;;;;;;;;;;;
SIO;01.01.1893 00:00;8.7;;;-2;;;;;;;;;;;434.3;74;;;;;;;;;;;;;;;;
SIO;01.01.1894 00:00;8.6;;;-2.1;;;;;;;;;;;331;57;;;;;;;;;;;;;;;;
SIO;01.01.1895 00:00;8;;;-2.7;;;;;;;;;;;738.3;127;;;;;;;;;;;;;;;;
SIO;01.01.1896 00:00;7.5;;;-3.2;;;;;;;;;;;758.6;130;;;;;;;;;;;;;;;;
SIO;01.01.1897 00:00;8.6;;;-2.1;;;;;;;;;;;707.7;121;;;;;;;;;;;;;;;;
SIO;01.01.1898 00:00;9.1;;;-1.6;;;;;;;;;;;428.2;73;;;;;;;;;;;;;;;;
SIO;01.01.1899 00:00;9.1;;;-1.6;;;;;;;;;;;475.7;82;;;;;;;;;;;;;;;;
SIO;01.01.1900 00:00;9.1;;;-1.6;;;;;;;;;;;660.3;113;;;;;;;;;;;;;;;;
SIO;01.01.1901 00:00;7.9;;;-2.8;;;;;;;;;;;500.6;86;;;116515;90;;;;;;;;;;;;
SIO;01.01.1902 00:00;8.2;;;-2.5;;;;;;;;;;;544.2;93;;;118338;91;;;;;;;;;;;;
SIO;01.01.1903 00:00;8.4;;;-2.3;;;;;;;;;;;449.6;77;;;116942;90;;;;;;;;;;;;
SIO;01.01.1904 00:00;8.6;;;-2.1;;;;;;;;;;;520.3;89;;;117794;91;;;;;;;;;;;;
SIO;01.01.1905 00:00;7.9;;;-2.8;;;;;;;;;;;598.4;103;;;120907;93;;;;;;;;;;;;
SIO;01.01.1906 00:00;8.5;;;-2.2;;;;;;;;;;;342.3;59;;;123599;95;;;;;;;;;;;;
SIO;01.01.1907 00:00;8.1;;;-2.6;;;;;;;;;;;504.1;86;;;114539;88;;;;;;;;;;;;
SIO;01.01.1908 00:00;8.2;;;-2.5;;;;;;;;;;;414.4;71;;;129507;100;;;;;;;;;;;;
SIO;01.01.1909 00:00;7.8;;;-2.9;;;;;;;;;;;518;89;;;124726;96;;;;;;;;;;;;
SIO;01.01.1910 00:00;8.2;;;-2.5;;;;;;;;;;;691.9;119;;;114813;89;;;;;;;;;;;;
SIO;01.01.1911 00:00;9.3;;;-1.4;;;;;;;;;;;396.1;68;;;132196;102;;;;;;;;;;;;
SIO;01.01.1912 00:00;8.2;;;-2.5;;;;;;;;;;;585.7;100;;;106982;83;;;;;;;;;;;;
SIO;01.01.1913 00:00;8.9;;;-1.8;;;;;;;;;;;403.7;69;;;113882;88;;;;;;;;;;;;
SIO;01.01.1914 00:00;8.2;;;-2.5;;;;;;;;;;;738.6;127;;;117163;90;;;;;;;;;;;;
SIO;01.01.1915 00:00;8.2;;;-2.5;;;;;;;;;;;523;90;;;115384;89;;;;;;;;;;;;
SIO;01.01.1916 00:00;8.5;;;-2.2;;;;;;;;;;;611.2;105;;;111459;86;;;;;;;;;;;;
SIO;01.01.1917 00:00;7.7;;;-3;;;;;;;;;;;486.5;83;;;123358;95;;;;;;;;;;;;
SIO;01.01.1918 00:00;8.6;;;-2.1;;;;;;;;;;;659.9;113;;;130666;101;;;;;;;;;;;;
SIO;01.01.1919 00:00;8.2;;;-2.5;;;;;;;;;;;604.6;104;;;127607;99;;;;;;;;;;;;
SIO;01.01.1920 00:00;9.8;;;-0.9;;;;;;;;;;;379.9;65;;;122849;95;;;;;;;;;;;;
SIO;01.01.1921 00:00;9.9;;;-0.8;;;;;;;;;;;243.2;42;;;143674;111;;;;;;;;;;;;
SIO;01.01.1922 00:00;8;;;-2.7;;;;;;;;;;;887.9;152;;;110906;86;;;;;;;;;;;;
SIO;01.01.1923 00:00;8.9;;;-1.8;;;;;;;;;;;603.3;103;;;119136;92;;;;;;;;;;;;
SIO;01.01.1924 00:00;8.4;;;-2.3;;;;;;;;;;;464.2;80;;;127385;98;;;;;;;;;;;;
SIO;01.01.1925 00:00;8.5;;;-2.2;;;;;;;;;;;486.9;84;;;124845;96;;;;;;;;;;;;
SIO;01.01.1926 00:00;9.2;;;-1.5;;;;;;;;;;;645;111;;;123258;95;;;;;;;;;;;;
SIO;01.01.1927 00:00;8.8;;;-1.9;;;;;;;;;;;621.5;107;;;115594;89;;;;;;;;;;;;
SIO;01.01.1928 00:00;9.4;;;-1.3;;;;;;;;;;;651.2;112;;;123457;95;;;;;;;;;;;;
SIO;01.01.1929 00:00;8.7;;;-2;;;;;;;;;;;493.3;85;;;136260;105;;;;;;;;;;;;
SIO;01.01.1930 00:00;9.4;;;-1.3;;;;;;;;;;;710.1;122;;;109447;85;;;;;;;;;;;;
SIO;01.01.1931 00:00;8.1;;;-2.6;;;;;;;;;;;572.3;98;;;119426;92;;;;;;;;;;;;
SIO;01.01.1932 00:00;8.7;;;-2;;;;;;;;;;;497.3;85;;;116970;90;;;;;;;;;;;;
SIO;01.01.1933 00:00;8.8;;;-1.9;;;;;;;;;;;410.8;70;;;127345;98;;;;;;;;;;;;
SIO;01.01.1934 00:00;9.4;;;-1.3;;;;;;;;;;;485.1;83;;;132252;102;;;;;;;;;;;;
SIO;01.01.1935 00:00;8.9;;;-1.8;;;;;;;;;;;747.7;128;;;119811;93;;;;;;;;;;;;
SIO;01.01.1936 00:00;9.1;;;-1.6;;;;;;;;;;;572.2;98;;;108424;84;;;;;;;;;;;;
SIO;01.01.1937 00:00;9.5;;;-1.2;;;;;;;;;;;546.7;94;;;112034;87;;;;;;;;;;;;
SIO;01.01.1938 00:00;9.2;;;-1.5;;;;;;;;;;;462.2;79;;;127634;99;;;;;;;;;;;;
SIO;01.01.1939 00:00;8.9;;;-1.8;;;;;;;;;;;542.6;93;;;103443;80;;;;;;;;;;;;
SIO;01.01.1940 00:00;8.1;;;-2.6;;;;;;;;;;;718.4;123;;;117514;91;;;;;;;;;;;;
SIO;01.01.1941 00:00;8.2;;;-2.5;;;;;;;;;;;401.2;69;;;121986;94;;;;;;;;;;;;
SIO;01.01.1942 00:00;9;;;-1.7;;;;;;;;;;;447;77;;;123508;95;;;;;;;;;;;;
SIO;01.01.1943 00:00;9.9;;;-0.8;;;;;;;;;;;441.2;76;;;133806;103;;;;;;;;;;;;
SIO;01.01.1944 00:00;8.5;;;-2.2;;;;;;;;;;;733.2;126;;;124542;96;;;;;;;;;;;;
SIO;01.01.1945 00:00;9.4;;;-1.3;;;;;;;;;;;520;89;;;138954;107;;;;;;;;;;;;
SIO;01.01.1946 00:00;9.2;;;-1.5;;;;;;;;;;;566.2;97;;;120513;93;;;;;;;;;;;;
SIO;01.01.1947 00:00;10.3;;;-0.4;;;;;;;;;;;521.1;89;;;130468;101;;;;;;;;;;;;
SIO;01.01.1948 00:00;9.7;;;-1;;;;;;;;;;;487.6;84;;;129568;100;;;;;;;;;;;;
SIO;01.01.1949 00:00;10;;;-0.7;;;;;;;;;;;407.2;70;;;142409;110;;;;;;;;;;;;
SIO;01.01.1950 00:00;9.6;;;-1.1;;;;;;;;;;;627.9;108;;;128454;99;;;;;;;;;;;;
SIO;01.01.1951 00:00;9.4;;;-1.3;;;;;;;;;;;563.3;97;;;122081;94;;;;;;;;;;;;
SIO;01.01.1952 00:00;9.2;;;-1.5;;;;;;;;;;;829.9;142;;;126297;98;;;;;;;;;;;;
SIO;01.01.1953 00:00;9.1;;;-1.6;;;;;;;;;;;338.9;58;;;136342;105;;;;;;;;;;;;
SIO;01.01.1954 00:00;8.7;;;-2;;;;;;;;;;;677.4;116;;;119451;92;;;;;;;;;;;;
SIO;01.01.1955 00:00;9;;;-1.7;;;;;;;;;;;684.1;117;;;125143;97;;;;;;;;;;;;
SIO;01.01.1956 00:00;7.9;;;-2.8;;;;;;;;;;;491.9;84;;;119582;92;;;;;;;;;;;;
SIO;01.01.1957 00:00;9.1;;;-1.6;;;;;;;;;;;579.1;99;;;128048;99;;;;;;;;;;;;
SIO;01.01.1958 00:00;9;;14.4;-1.7;;-2.2;;;;;;;;;633.6;109;;;119543;92;;;;;;;;;;;;
SIO;01.01.1959 00:00;10.1;4.5;16.1;-0.6;-1.2;-0.5;9.4;0.3;41;960;-0.5;7;;;548.2;94;;;136459;105;3173.8;119;;80;-11.2;32;97;69;6;0;6;
SIO;01.01.1960 00:00;9.5;4.6;14.9;-1.2;-1.1;-1.7;8.9;-0.2;27;957.5;-3;5;;;618;106;;;119521;92;3308.3;48.5;;93;-13.3;30.2;82;31;11;0;2;
SIO;01.01.1961 00:00;10;4.7;15.9;-0.7;-1;-0.7;9;-0.1;30;960.7;0.2;7;;;610.6;105;;;132683;102;3171.6;108.7;1523.6;82;-12.7;31.4;96;53;10;0;7;
SIO;01.01.1962 00:00;8.7;3.5;14.5;-2;-2.2;-2.1;7.9;-1.2;25;959.9;-0.6;6;;;536.8;92;;;138248;107;3757.8;152.2;2013.8;68;-17.7;33.9;117;65;17;0;13;
SIO;01.01.1963 00:00;8.4;3.6;14;-2.3;-2.1;-2.6;8.3;-0.8;36;958.2;-2.3;5;;;547;94;;;121092;94;3728.3;83.8;1992.3;76;-18.1;32.7;94;46;36;0;9;
SIO;01.01.1964 00:00;9.2;4.2;15.1;-1.5;-1.5;-1.5;8.6;-0.5;29;960.6;0.1;7;;;431.5;74;;;124065;96;3512.3;151.6;1864.3;72;-13.5;35.2;113;65;16;0;16;
SIO;01.01.1965 00:00;8.3;3.9;13.8;-2.4;-1.8;-2.8;8.2;-0.9;36;958.4;-2.1;5;;;833.3;143;;;113205;87;3775.9;71.3;1879.9;100;-11.6;35.3;100;38;13;0;8;
SIO;01.01.1966 00:00;9.4;4.4;15;-1.3;-1.3;-1.6;9.1;0;20;958.1;-2.4;5;;;588.9;101;;;119711;92;3286.1;92.8;1702.1;94;-20.1;32.6;77;51;17;0;12;
SIO;01.01.1967 00:00;9.5;4.1;15.4;-1.2;-1.6;-1.2;8.8;-0.3;22;960.8;0.3;4;;;527.6;90;;;128718;99;3415.2;139.3;1687.2;80;-13.1;34.3;103;61;17;0;12;
SIO;01.01.1968 00:00;9.3;4.3;14.9;-1.4;-1.4;-1.7;8.8;-0.3;21;959;-1.5;7;;;671.1;115;;;123116;95;3308.3;87.7;1684.3;90;-20.2;36.3;95;38;14;0;10;
SIO;01.01.1969 00:00;8.8;3.8;14.4;-1.9;-1.9;-2.2;8.7;-0.4;23;958.4;-2.1;7;;;525.3;90;;;121734;94;3580.1;119.7;1868.1;82;-14.6;31.8;111;48;27;0;9;
SIO;01.01.1970 00:00;9;4;14.5;-1.7;-1.7;-2.1;8.7;-0.4;24;959.4;-1.1;5;;;669.7;115;;;120677;93;3572.6;121.6;1868.6;93;-12.9;32;106;57;17;0;11;0
SIO;01.01.1971 00:00;9.1;4.1;15;-1.6;-1.6;-1.6;8.8;-0.3;29;960.1;-0.4;5;;;539.3;93;;;134920;104;3502.4;152.4;1854.4;66;-15.2;34.1;116;53;14;0;17;0
SIO;01.01.1972 00:00;9.2;4.5;15;-1.5;-1.2;-1.6;8.4;-0.7;41;959.3;-1.2;8;;;427.2;73;;;117705;91;3515.9;85;1619.9;66;-10.1;32.6;71;37;4;0;10;0
SIO;01.01.1973 00:00;8.8;4.2;14.7;-1.9;-1.5;-1.9;8.7;-0.4;23;961.2;0.7;6;;;505.1;87;;;125828;97;3762.6;139.4;1962.6;74;-17.4;32.2;122;66;10;0;8;0
SIO;01.01.1974 00:00;9.3;4.8;15.1;-1.4;-0.9;-1.5;8.7;-0.4;23;959.3;-1.2;4;;;717.2;123;;;114904;89;3459.3;105.9;1667.3;97;-9.3;34.6;71;53;2;0;7;0
SIO;01.01.1975 00:00;9.3;4.8;15.2;-1.4;-0.9;-1.4;9;-0.1;31;960.5;0;9;;;431.9;74;;;124313;96;3485.6;132;1757.6;74;-7.7;33.1;96;55;5;0;12;0
SIO;01.01.1976 00:00;9.4;4.6;15.6;-1.3;-1.1;-1;8.5;-0.6;24;959.2;-1.3;8;;;487.8;84;;;131715;102;3418.5;142.7;1746.5;71;-11.9;33;104;69;15;0;19;0
SIO;01.01.1977 00:00;9.4;5;14.9;-1.3;-0.7;-1.7;8.7;-0.4;15;959.4;-1.1;7;;;686.8;118;;;108266;84;3351.5;50.4;1583.5;103;-10.1;30.5;75;38;3;0;1;0
SIO;01.01.1978 00:00;8.2;3.8;14.4;-2.5;-1.9;-2.2;8.6;-0.5;51;958.6;-1.9;5;;;613;105;;;113428;88;3795.2;38.8;1891.2;80;-13.6;30.3;97;37;6;0;1;0
SIO;01.01.1979 00:00;9;4.7;15;-1.7;-1;-1.6;8.8;-0.3;23;958.5;-2;6;;;697;120;;;119653;92;3571.7;72.1;1755.7;90;-19.6;30.9;88;53;8;0;4;0
SIO;01.01.1980 00:00;8.2;4.1;14.1;-2.5;-1.6;-2.5;8.6;-0.5;31;959.4;-1.1;7;;;647.6;111;;;109823;85;3762.4;59.1;1946.4;86;-13.2;30.9;106;40;18;0;1;0
SIO;01.01.1981 00:00;9.2;4.4;15.1;-1.5;-1.3;-1.5;8.7;-0.4;27;959.5;-1;7;2.2;100;704.1;121;154;93;108661;84;3397.5;91.3;1757.5;101;-14;32.3;94;55;8;0;11;0
SIO;01.01.1982 00:00;9.8;4.4;15.7;-0.9;-1.3;-0.9;8.8;-0.3;20;960.6;0.1;7;2.1;95;595.6;102;164;99;122616;95;3315.9;117.7;1587.9;93;-8.1;31.1;94;63;2;0;8;0
SIO;01.01.1983 00:00;9.5;4.2;15.5;-1.2;-1.5;-1.1;8.8;-0.3;39;961.3;0.8;5;2.3;105;580.4;100;159;96;114887;89;3414.6;179.1;1726.6;70;-13.6;37;109;65;6;0;18;3
SIO;01.01.1984 00:00;8.9;4;15.2;-1.8;-1.7;-1.4;8.3;-0.8;24;959.2;-1.3;5;2.4;109;493.9;85;164;99;120071;93;3672.6;69.8;1760.6;83;-9.5;34.6;97;57;4;0;10;0
SIO;01.01.1985 00:00;8.7;3.7;14.9;-2;-2;-1.7;8.6;-0.5;46;959.6;-0.9;5;2.5;114;649;111;168;102;128265;99;3627.4;99.5;1947.4;72;-18.8;33.2;112;71;19;0;10;0
