station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
STG;01.01.1864 00:00;5.5;;;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.01.1865 00:00;7.3;;;-1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.01.1866 00:00;7.4;;;-1.3;;;;;;;;;;;1395.7;97;;;;;;;;;;;;;;;;
STG;01.01.1867 00:00;6.7;;;-2;;;;;;;;;;;1541.8;108;;;;;;;;;;;;;;;;
STG;01.01.1868 00:00;7.5;;;-1.2;;;;;;;;;;;1076.6;75;;;;;;;;;;;;;;;;
STG;01.01.1869 00:00;6.7;;;-2;;;;;;;;;;;1267.6;88;;;;;;;;;;;;;;;;
STG;01.01.1870 00:00;5.6;;;-3.1;;;;;;;;;;;1099.9;77;;;;;;;;;;;;;;;;
STG;01.01.1871 00:00;5.2;;;-3.5;;;;;;;;;;;1222.9;85;;;;;;;;;;;;;;;;
STG;01.01.1872 00:00;7.6;;;-1.1;;;;;;;;;;;1415.7;99;;;;;;;;;;;;;;;;
STG;01.01.1873 00:00;6.9;;;-1.8;;;;;;;;;;;1365.8;95;;;;;;;;;;;;;;;;
STG;01.01.1874 00:00;6.4;;;-2.3;;;;;;;;;;;1279.2;89;;;;;;;;;;;;;;;;
STG;01.01.1875 00:00;6.3;;;-2.4;;;;;;;;;;;1312;92;;;;;;;;;;;;;;;;
STG;01.01.1876 00:00;6.9;;;-1.8;;;;;;;;;;;1762.9;123;;;;;;;;;;;;;;;;
STG;01.01.1877 00:00;7.1;;;-1.6;;;;;;;;;;;1591.6;111;;;;;;;;;;;;;;;;
STG;01.01.1878 00:00;6.4;;;-2.3;;;;;;;;;;;1662.4;116;;;;;;;;;;;;;;;;
