station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ABG;01.01.1931 00:00;6;;
ABG;02.01.1931 00:00;6.8;;
ABG;03.01.1931 00:00;2.2;;
ABG;04.01.1931 00:00;2;;
ABG;05.01.1931 00:00;2.3;;
ABG;06.01.1931 00:00;0;;
ABG;07.01.1931 00:00;0;;
ABG;08.01.1931 00:00;0;;
ABG;09.01.1931 00:00;0;;
ABG;10.01.1931 00:00;0;;
ABG;11.01.1931 00:00;0;;
ABG;12.01.1931 00:00;0;;
ABG;13.01.1931 00:00;0;;
ABG;14.01.1931 00:00;0;;
ABG;15.01.1931 00:00;2.8;;
ABG;16.01.1931 00:00;4.3;;
ABG;17.01.1931 00:00;0;;
ABG;18.01.1931 00:00;23.3;;
ABG;19.01.1931 00:00;12.1;;
ABG;20.01.1931 00:00;1.1;;
ABG;21.01.1931 00:00;0;;
ABG;22.01.1931 00:00;0;;
ABG;23.01.1931 00:00;0;;
ABG;24.01.1931 00:00;6.1;;
ABG;25.01.1931 00:00;42.1;;
ABG;26.01.1931 00:00;8;;
ABG;27.01.1931 00:00;8.1;;
ABG;28.01.1931 00:00;9.1;;
ABG;29.01.1931 00:00;3.5;;
ABG;30.01.1931 00:00;4.6;;
ABG;31.01.1931 00:00;2.4;;
ABG;01.02.1931 00:00;2.4;;
ABG;02.02.1931 00:00;0.3;;
ABG;03.02.1931 00:00;0;;
ABG;04.02.1931 00:00;0.5;;
ABG;05.02.1931 00:00;0;;
ABG;06.02.1931 00:00;0.2;;
ABG;07.02.1931 00:00;0;;
ABG;08.02.1931 00:00;0.3;;
ABG;09.02.1931 00:00;0;;
ABG;10.02.1931 00:00;0;;
ABG;11.02.1931 00:00;0.6;;
ABG;12.02.1931 00:00;8;;
ABG;13.02.1931 00:00;7;;
ABG;14.02.1931 00:00;9;;
ABG;15.02.1931 00:00;0;;
ABG;16.02.1931 00:00;0;;
ABG;17.02.1931 00:00;0.5;;
ABG;18.02.1931 00:00;0;;
ABG;19.02.1931 00:00;0;;
ABG;20.02.1931 00:00;0.9;;
ABG;21.02.1931 00:00;0;;
ABG;22.02.1931 00:00;0.4;;
ABG;23.02.1931 00:00;0;;
ABG;24.02.1931 00:00;0;;
ABG;25.02.1931 00:00;0;;
ABG;26.02.1931 00:00;0;;
ABG;27.02.1931 00:00;14;;
ABG;28.02.1931 00:00;12.5;;
ABG;01.03.1931 00:00;6.1;;
ABG;02.03.1931 00:00;15.5;;
ABG;03.03.1931 00:00;0.8;;
