station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ABO;01.01.1901 00:00;0.6;;
ABO;02.01.1901 00:00;1.8;;
ABO;03.01.1901 00:00;0.2;;
ABO;04.01.1901 00:00;0;;
ABO;05.01.1901 00:00;0;;
ABO;06.01.1901 00:00;0;;
ABO;07.01.1901 00:00;0;;
ABO;08.01.1901 00:00;0;;
ABO;09.01.1901 00:00;0;;
ABO;10.01.1901 00:00;0;;
ABO;11.01.1901 00:00;0;;
ABO;12.01.1901 00:00;0;;
ABO;13.01.1901 00:00;0;;
ABO;14.01.1901 00:00;0;;
ABO;15.01.1901 00:00;0;;
ABO;16.01.1901 00:00;0;;
ABO;17.01.1901 00:00;0;;
ABO;18.01.1901 00:00;0;;
ABO;19.01.1901 00:00;0;;
ABO;20.01.1901 00:00;5.6;;
ABO;21.01.1901 00:00;10;;
ABO;22.01.1901 00:00;0;;
ABO;23.01.1901 00:00;0;;
ABO;24.01.1901 00:00;0;;
ABO;25.01.1901 00:00;0.8;;
ABO;26.01.1901 00:00;8.7;;
ABO;27.01.1901 00:00;8.8;;
ABO;28.01.1901 00:00;6.8;;
ABO;29.01.1901 00:00;11.9;;
ABO;30.01.1901 00:00;0;;
ABO;31.01.1901 00:00;0;;
ABO;01.02.1901 00:00;3.2;;
ABO;02.02.1901 00:00;1.6;;
ABO;03.02.1901 00:00;0;;
ABO;04.02.1901 00:00;0;;
ABO;05.02.1901 00:00;0.2;;
ABO;06.02.1901 00:00;0.6;;
ABO;07.02.1901 00:00;2.8;;
ABO;08.02.1901 00:00;1.5;;
ABO;09.02.1901 00:00;0;;
ABO;10.02.1901 00:00;0;;
ABO;11.02.1901 00:00;1.2;;
ABO;12.02.1901 00:00;0.1;;
ABO;13.02.1901 00:00;4.4;;
ABO;14.02.1901 00:00;0.3;;
ABO;15.02.1901 00:00;0;;
ABO;16.02.1901 00:00;3;;
ABO;17.02.1901 00:00;5;;
ABO;18.02.1901 00:00;0.9;;
ABO;19.02.1901 00:00;0;;
ABO;20.02.1901 00:00;0;;
ABO;21.02.1901 00:00;0;;
ABO;22.02.1901 00:00;0;;
ABO;23.02.1901 00:00;0;;
ABO;24.02.1901 00:00;0;;
ABO;25.02.1901 00:00;0;;
