station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
AFT;01.01.1900 00:00;0;;
AFT;02.01.1900 00:00;0;;
AFT;03.01.1900 00:00;29.2;;
AFT;04.01.1900 00:00;11.2;;
AFT;05.01.1900 00:00;0;;
AFT;06.01.1900 00:00;0;;
AFT;07.01.1900 00:00;0;;
AFT;08.01.1900 00:00;0;;
AFT;09.01.1900 00:00;26.4;;
AFT;10.01.1900 00:00;8.3;;
AFT;11.01.1900 00:00;5.7;;
AFT;12.01.1900 00:00;0;;
AFT;13.01.1900 00:00;0;;
AFT;14.01.1900 00:00;10.1;;
AFT;15.01.1900 00:00;12.2;;
AFT;16.01.1900 00:00;13.8;;
AFT;17.01.1900 00:00;0;;
AFT;18.01.1900 00:00;0;;
AFT;19.01.1900 00:00;0;;
AFT;20.01.1900 00:00;7.2;;
AFT;21.01.1900 00:00;13.4;;
AFT;22.01.1900 00:00;0;;
AFT;23.01.1900 00:00;0;;
AFT;24.01.1900 00:00;7.3;;
AFT;25.01.1900 00:00;0;;
AFT;26.01.1900 00:00;4.3;;
AFT;27.01.1900 00:00;7.2;;
AFT;28.01.1900 00:00;5.3;;
AFT;29.01.1900 00:00;0;;
AFT;30.01.1900 00:00;0;;
AFT;31.01.1900 00:00;0;;
AFT;01.02.1900 00:00;0;;
AFT;02.02.1900 00:00;2.7;;
AFT;03.02.1900 00:00;0;;
AFT;04.02.1900 00:00;0;;
AFT;05.02.1900 00:00;15.1;;
AFT;06.02.1900 00:00;2.2;;
AFT;07.02.1900 00:00;0;;
AFT;08.02.1900 00:00;0;;
AFT;09.02.1900 00:00;2.3;;
AFT;10.02.1900 00:00;5.4;;
AFT;11.02.1900 00:00;22.6;;
AFT;12.02.1900 00:00;0.7;;
AFT;13.02.1900 00:00;0;;
AFT;14.02.1900 00:00;5.9;;
AFT;15.02.1900 00:00;0;;
AFT;16.02.1900 00:00;0;;
AFT;17.02.1900 00:00;0;;
AFT;18.02.1900 00:00;3.5;;
AFT;19.02.1900 00:00;3.1;;
AFT;20.02.1900 00:00;2.1;;
AFT;21.02.1900 00:00;0;;
AFT;22.02.1900 00:00;0.3;;
AFT;23.02.1900 00:00;0;;
AFT;24.02.1900 00:00;0;;
AFT;25.02.1900 00:00;0;;
AFT;26.02.1900 00:00;5.9;;
AFT;27.02.1900 00:00;4.1;;
AFT;28.02.1900 00:00;3.4;;
AFT;01.03.1900 00:00;8.8;;
AFT;02.03.1900 00:00;4.2;;
AFT;03.03.1900 00:00;3.7;;
AFT;04.03.1900 00:00;6.3;;
AFT;05.03.1900 00:00;0;;
AFT;06.03.1900 00:00;0;;
AFT;07.03.1900 00:00;0;;
AFT;08.03.1900 00:00;0;;
AFT;09.03.1900 00:00;0;;
AFT;10.03.1900 00:00;0;;
AFT;11.03.1900 00:00;3.7;;
AFT;12.03.1900 00:00;0;;
AFT;13.03.1900 00:00;0;;
AFT;14.03.1900 00:00;0;;
AFT;15.03.1900 00:00;0;;
AFT;16.03.1900 00:00;2.4;;
AFT;17.03.1900 00:00;0;;
AFT;18.03.1900 00:00;0;;
AFT;19.03.1900 00:00;0;;
AFT;20.03.1900 00:00;4.1;;
AFT;21.03.1900 00:00;1.8;;
AFT;22.03.1900 00:00;0;;
AFT;23.03.1900 00:00;0;;
AFT;24.03.1900 00:00;0;;
AFT;25.03.1900 00:00;8.1;;
AFT;26.03.1900 00:00;2.5;;
AFT;27.03.1900 00:00;1.3;;
AFT;28.03.1900 00:00;5.1;;
AFT;29.03.1900 00:00;6.7;;
AFT;30.03.1900 00:00;9.6;;
AFT;31.03.1900 00:00;2.3;;
AFT;01.04.1900 00:00;0;;
AFT;02.04.1900 00:00;3.6;;
AFT;03.04.1900 00:00;0;;
AFT;04.04.1900 00:00;2.3;;
AFT;05.04.1900 00:00;0.9;;
AFT;06.04.1900 00:00;0.8;;
AFT;07.04.1900 00:00;4.1;;
AFT;08.04.1900 00:00;5.8;;
AFT;09.04.1900 00:00;0;;
AFT;10.04.1900 00:00;0;;
AFT;11.04.1900 00:00;0;;
AFT;12.04.1900 00:00;2.5;;
AFT;13.04.1900 00:00;0;;
AFT;14.04.1900 00:00;5.5;;
AFT;15.04.1900 00:00;0;;
AFT;16.04.1900 00:00;6.7;;
AFT;17.04.1900 00:00;0;;
AFT;18.04.1900 00:00;0;;
AFT;19.04.1900 00:00;0;;
AFT;20.04.1900 00:00;0;;
AFT;21.04.1900 00:00;0;;
AFT;22.04.1900 00:00;0;;
AFT;23.04.1900 00:00;1.2;;
AFT;24.04.1900 00:00;5.3;;
AFT;25.04.1900 00:00;6.7;;
AFT;26.04.1900 00:00;0;;
AFT;27.04.1900 00:00;0;;
AFT;28.04.1900 00:00;0;;
AFT;29.04.1900 00:00;0;;
AFT;30.04.1900 00:00;8.4;;
AFT;01.05.1900 00:00;0;;
AFT;02.05.1900 00:00;0;;
AFT;03.05.1900 00:00;2.1;;
AFT;04.05.1900 00:00;0;;
AFT;05.05.1900 00:00;0;;
AFT;06.05.1900 00:00;0;;
AFT;07.05.1900 00:00;1.2;;
AFT;08.05.1900 00:00;5.1;;
AFT;09.05.1900 00:00;6.7;;
AFT;10.05.1900 00:00;3.1;;
AFT;11.05.1900 00:00;1.2;;
AFT;12.05.1900 00:00;0;;
AFT;13.05.1900 00:00;0;;
AFT;14.05.1900 00:00;9.5;;
AFT;15.05.1900 00:00;8.4;;
AFT;16.05.1900 00:00;1.7;;
AFT;17.05.1900 00:00;0;;
AFT;18.05.1900 00:00;3.6;;
AFT;19.05.1900 00:00;2.3;;
AFT;20.05.1900 00:00;0;;
AFT;21.05.1900 00:00;0;;
AFT;22.05.1900 00:00;0;;
AFT;23.05.1900 00:00;8.9;;
AFT;24.05.1900 00:00;19.6;;
AFT;25.05.1900 00:00;2.3;;
AFT;26.05.1900 00:00;2.7;;
AFT;27.05.1900 00:00;4.3;;
AFT;28.05.1900 00:00;2.4;;
AFT;29.05.1900 00:00;2.7;;
AFT;30.05.1900 00:00;1.4;;
AFT;31.05.1900 00:00;2.3;;
AFT;01.06.1900 00:00;0;;
AFT;02.06.1900 00:00;0;;
AFT;03.06.1900 00:00;0;;
AFT;04.06.1900 00:00;0;;
AFT;05.06.1900 00:00;0;;
AFT;06.06.1900 00:00;15.8;;
AFT;07.06.1900 00:00;0;;
AFT;08.06.1900 00:00;0;;
AFT;09.06.1900 00:00;0;;
AFT;10.06.1900 00:00;0;;
AFT;11.06.1900 00:00;0;;
AFT;12.06.1900 00:00;1.4;;
AFT;13.06.1900 00:00;20.7;;
AFT;14.06.1900 00:00;0;;
AFT;15.06.1900 00:00;1.3;;
AFT;16.06.1900 00:00;0;;
AFT;17.06.1900 00:00;0;;
AFT;18.06.1900 00:00;5.1;;
AFT;19.06.1900 00:00;0;;
AFT;20.06.1900 00:00;13.4;;
AFT;21.06.1900 00:00;0.8;;
AFT;22.06.1900 00:00;14.2;;
AFT;23.06.1900 00:00;0;;
AFT;24.06.1900 00:00;0;;
AFT;25.06.1900 00:00;0;;
AFT;26.06.1900 00:00;3.9;;
AFT;27.06.1900 00:00;0;;
AFT;28.06.1900 00:00;0;;
AFT;29.06.1900 00:00;0;;
AFT;30.06.1900 00:00;0;;
AFT;01.07.1900 00:00;0;;
AFT;02.07.1900 00:00;0;;
AFT;03.07.1900 00:00;26.7;;
AFT;04.07.1900 00:00;17.5;;
AFT;05.07.1900 00:00;0.4;;
AFT;06.07.1900 00:00;3.4;;
AFT;07.07.1900 00:00;26.5;;
AFT;08.07.1900 00:00;4.7;;
AFT;09.07.1900 00:00;6.5;;
AFT;10.07.1900 00:00;4.1;;
AFT;11.07.1900 00:00;0;;
AFT;12.07.1900 00:00;2.3;;
AFT;13.07.1900 00:00;0;;
AFT;14.07.1900 00:00;0;;
AFT;15.07.1900 00:00;0;;
AFT;16.07.1900 00:00;0;;
AFT;17.07.1900 00:00;0;;
AFT;18.07.1900 00:00;0;;
AFT;19.07.1900 00:00;0;;
AFT;20.07.1900 00:00;0;;
AFT;21.07.1900 00:00;0;;
AFT;22.07.1900 00:00;0;;
