station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
AIR;17.10.1883 00:00;4.4;;
AIR;18.10.1883 00:00;0;;
AIR;19.10.1883 00:00;0;;
AIR;20.10.1883 00:00;4.6;;
AIR;21.10.1883 00:00;45;;
AIR;22.10.1883 00:00;30.4;;
AIR;23.10.1883 00:00;0;;
AIR;24.10.1883 00:00;0;;
AIR;25.10.1883 00:00;0;;
AIR;26.10.1883 00:00;0;;
AIR;27.10.1883 00:00;0;;
AIR;28.10.1883 00:00;0;;
AIR;29.10.1883 00:00;0;;
AIR;30.10.1883 00:00;0;;
AIR;31.10.1883 00:00;0;;
AIR;01.11.1883 00:00;0;;
AIR;02.11.1883 00:00;0;;
AIR;03.11.1883 00:00;0;;
AIR;04.11.1883 00:00;0;;
AIR;05.11.1883 00:00;0;;
AIR;06.11.1883 00:00;0;;
AIR;07.11.1883 00:00;3;;
AIR;08.11.1883 00:00;8;;
AIR;09.11.1883 00:00;0;;
AIR;10.11.1883 00:00;6;;
AIR;11.11.1883 00:00;1.1;;
AIR;12.11.1883 00:00;0;;
AIR;13.11.1883 00:00;0;;
AIR;14.11.1883 00:00;0;;
AIR;15.11.1883 00:00;0;;
AIR;16.11.1883 00:00;0;;
AIR;17.11.1883 00:00;0;;
AIR;18.11.1883 00:00;0;;
AIR;19.11.1883 00:00;0;;
AIR;20.11.1883 00:00;0;;
AIR;21.11.1883 00:00;0;;
AIR;22.11.1883 00:00;0;;
AIR;23.11.1883 00:00;0;;
AIR;24.11.1883 00:00;0;;
AIR;25.11.1883 00:00;0;;
AIR;26.11.1883 00:00;7.9;;
AIR;27.11.1883 00:00;0;;
AIR;28.11.1883 00:00;0;;
AIR;29.11.1883 00:00;0;;
AIR;30.11.1883 00:00;0;;
AIR;01.12.1883 00:00;0;;
AIR;02.12.1883 00:00;0;;
AIR;03.12.1883 00:00;13.9;;
AIR;04.12.1883 00:00;13.5;;
AIR;05.12.1883 00:00;0;;
AIR;06.12.1883 00:00;0;;
AIR;07.12.1883 00:00;0;;
AIR;08.12.1883 00:00;0;;
AIR;09.12.1883 00:00;0;;
AIR;10.12.1883 00:00;0;;
AIR;11.12.1883 00:00;4.2;;
AIR;12.12.1883 00:00;6.2;;
AIR;13.12.1883 00:00;3;;
AIR;14.12.1883 00:00;0;;
AIR;15.12.1883 00:00;0;;
AIR;16.12.1883 00:00;0.7;;
AIR;17.12.1883 00:00;0;;
AIR;18.12.1883 00:00;0;;
AIR;19.12.1883 00:00;0;;
AIR;20.12.1883 00:00;0;;
AIR;21.12.1883 00:00;0;;
AIR;22.12.1883 00:00;0;;
AIR;23.12.1883 00:00;0;;
AIR;24.12.1883 00:00;0;;
AIR;25.12.1883 00:00;0;;
AIR;26.12.1883 00:00;0;;
AIR;27.12.1883 00:00;0;;
AIR;28.12.1883 00:00;0;;
AIR;29.12.1883 00:00;0;;
AIR;30.12.1883 00:00;0;;
AIR;31.12.1883 00:00;0;;
AIR;01.01.1884 00:00;0;;
AIR;02.01.1884 00:00;0;;
AIR;03.01.1884 00:00;0;;
AIR;04.01.1884 00:00;0;;
AIR;05.01.1884 00:00;0;;
AIR;06.01.1884 00:00;1.5;;
AIR;07.01.1884 00:00;0;;
AIR;08.01.1884 00:00;0;;
AIR;09.01.1884 00:00;0;;
AIR;10.01.1884 00:00;0;;
AIR;11.01.1884 00:00;0;;
AIR;12.01.1884 00:00;0;;
AIR;13.01.1884 00:00;0;;
AIR;14.01.1884 00:00;0;;
AIR;15.01.1884 00:00;0;;
AIR;16.01.1884 00:00;0;;
AIR;17.01.1884 00:00;0;;
AIR;18.01.1884 00:00;0;;
AIR;19.01.1884 00:00;0;;
AIR;20.01.1884 00:00;0;;
AIR;21.01.1884 00:00;0;;
AIR;22.01.1884 00:00;0;;
AIR;23.01.1884 00:00;2.2;;
AIR;24.01.1884 00:00;0;;
AIR;25.01.1884 00:00;0;;
AIR;26.01.1884 00:00;0;;
AIR;27.01.1884 00:00;17.3;;
AIR;28.01.1884 00:00;7.6;;
AIR;29.01.1884 00:00;6.6;;
AIR;30.01.1884 00:00;0;;
AIR;31.01.1884 00:00;0;;
AIR;01.02.1884 00:00;1.2;;
AIR;02.02.1884 00:00;0;;
AIR;03.02.1884 00:00;0;;
AIR;04.02.1884 00:00;0;;
AIR;05.02.1884 00:00;0;;
AIR;06.02.1884 00:00;0;;
AIR;07.02.1884 00:00;0;;
AIR;08.02.1884 00:00;0;;
AIR;09.02.1884 00:00;0;;
AIR;10.02.1884 00:00;0;;
AIR;11.02.1884 00:00;3.3;;
AIR;12.02.1884 00:00;0;;
AIR;13.02.1884 00:00;0;;
AIR;14.02.1884 00:00;0;;
AIR;15.02.1884 00:00;3.2;;
AIR;16.02.1884 00:00;0;;
AIR;17.02.1884 00:00;5.4;;
AIR;18.02.1884 00:00;1.2;;
AIR;19.02.1884 00:00;0;;
AIR;20.02.1884 00:00;0;;
AIR;21.02.1884 00:00;0;;
AIR;22.02.1884 00:00;0;;
AIR;23.02.1884 00:00;0;;
AIR;24.02.1884 00:00;1.4;;
AIR;25.02.1884 00:00;0;;
AIR;26.02.1884 00:00;0;;
AIR;27.02.1884 00:00;0;;
AIR;28.02.1884 00:00;0;;
AIR;29.02.1884 00:00;0;;
AIR;01.03.1884 00:00;0;;
AIR;02.03.1884 00:00;0;;
AIR;03.03.1884 00:00;0;;
AIR;04.03.1884 00:00;0;;
AIR;05.03.1884 00:00;0;;
AIR;06.03.1884 00:00;0;;
AIR;07.03.1884 00:00;0;;
AIR;08.03.1884 00:00;0;;
AIR;09.03.1884 00:00;0;;
AIR;10.03.1884 00:00;0;;
AIR;11.03.1884 00:00;0;;
AIR;12.03.1884 00:00;0;;
AIR;13.03.1884 00:00;0;;
AIR;14.03.1884 00:00;0;;
AIR;15.03.1884 00:00;0;;
AIR;16.03.1884 00:00;0;;
AIR;17.03.1884 00:00;0;;
AIR;18.03.1884 00:00;0;;
AIR;19.03.1884 00:00;0;;
AIR;20.03.1884 00:00;0;;
AIR;21.03.1884 00:00;0;;
AIR;22.03.1884 00:00;0;;
AIR;23.03.1884 00:00;0;;
AIR;24.03.1884 00:00;0;;
AIR;25.03.1884 00:00;0;;
AIR;26.03.1884 00:00;0;;
AIR;27.03.1884 00:00;0;;
AIR;28.03.1884 00:00;0;;
AIR;29.03.1884 00:00;0;;
AIR;30.03.1884 00:00;0;;
AIR;31.03.1884 00:00;0;;
AIR;01.04.1884 00:00;0;;
AIR;02.04.1884 00:00;0;;
AIR;03.04.1884 00:00;2.2;;
AIR;04.04.1884 00:00;0;;
AIR;05.04.1884 00:00;0;;
AIR;06.04.1884 00:00;12.2;;
AIR;07.04.1884 00:00;8;;
AIR;08.04.1884 00:00;0;;
AIR;09.04.1884 00:00;10.6;;
AIR;10.04.1884 00:00;8.9;;
AIR;11.04.1884 00:00;0;;
AIR;12.04.1884 00:00;0;;
AIR;13.04.1884 00:00;0;;
AIR;14.04.1884 00:00;5.4;;
AIR;15.04.1884 00:00;4.1;;
AIR;16.04.1884 00:00;9.6;;
AIR;17.04.1884 00:00;7.6;;
AIR;18.04.1884 00:00;10.9;;
AIR;19.04.1884 00:00;0;;
AIR;20.04.1884 00:00;0;;
AIR;21.04.1884 00:00;0;;
AIR;22.04.1884 00:00;0;;
AIR;23.04.1884 00:00;0;;
AIR;24.04.1884 00:00;0;;
AIR;25.04.1884 00:00;0;;
AIR;26.04.1884 00:00;0;;
AIR;27.04.1884 00:00;0;;
AIR;28.04.1884 00:00;0;;
AIR;29.04.1884 00:00;0;;
AIR;30.04.1884 00:00;0;;
AIR;01.05.1884 00:00;0;;
AIR;02.05.1884 00:00;0;;
AIR;03.05.1884 00:00;6.9;;
AIR;04.05.1884 00:00;27.3;;
AIR;05.05.1884 00:00;8.7;;
AIR;06.05.1884 00:00;0;;
AIR;07.05.1884 00:00;0;;
AIR;08.05.1884 00:00;0;;
AIR;09.05.1884 00:00;0;;
AIR;10.05.1884 00:00;0;;
AIR;11.05.1884 00:00;0;;
AIR;12.05.1884 00:00;0;;
AIR;13.05.1884 00:00;0;;
AIR;14.05.1884 00:00;8.4;;
AIR;15.05.1884 00:00;0;;
AIR;16.05.1884 00:00;0;;
AIR;17.05.1884 00:00;4.9;;
AIR;18.05.1884 00:00;13.9;;
AIR;19.05.1884 00:00;22.9;;
AIR;20.05.1884 00:00;7.1;;
AIR;21.05.1884 00:00;0;;
AIR;22.05.1884 00:00;0;;
AIR;23.05.1884 00:00;0;;
AIR;24.05.1884 00:00;0;;
AIR;25.05.1884 00:00;0;;
AIR;26.05.1884 00:00;0;;
AIR;27.05.1884 00:00;0;;
AIR;28.05.1884 00:00;0;;
AIR;29.05.1884 00:00;0;;
AIR;30.05.1884 00:00;10.7;;
AIR;31.05.1884 00:00;8.5;;
AIR;01.06.1884 00:00;0;;
AIR;02.06.1884 00:00;18.5;;
AIR;03.06.1884 00:00;0;;
AIR;04.06.1884 00:00;0;;
AIR;05.06.1884 00:00;0;;
AIR;06.06.1884 00:00;0;;
AIR;07.06.1884 00:00;36.4;;
AIR;08.06.1884 00:00;0;;
AIR;09.06.1884 00:00;0;;
AIR;10.06.1884 00:00;0;;
AIR;11.06.1884 00:00;0;;
AIR;12.06.1884 00:00;0;;
AIR;13.06.1884 00:00;0;;
AIR;14.06.1884 00:00;0;;
AIR;15.06.1884 00:00;0;;
AIR;16.06.1884 00:00;0;;
AIR;17.06.1884 00:00;0;;
AIR;18.06.1884 00:00;15;;
AIR;19.06.1884 00:00;0;;
AIR;20.06.1884 00:00;0;;
AIR;21.06.1884 00:00;0;;
AIR;22.06.1884 00:00;0;;
AIR;23.06.1884 00:00;3;;
AIR;24.06.1884 00:00;4.7;;
AIR;25.06.1884 00:00;0;;
AIR;26.06.1884 00:00;0;;
AIR;27.06.1884 00:00;0;;
AIR;28.06.1884 00:00;0;;
AIR;29.06.1884 00:00;0;;
AIR;30.06.1884 00:00;0;;
AIR;01.07.1884 00:00;0;;
AIR;02.07.1884 00:00;0;;
AIR;03.07.1884 00:00;0;;
AIR;04.07.1884 00:00;0;;
AIR;05.07.1884 00:00;0;;
AIR;06.07.1884 00:00;0;;
AIR;07.07.1884 00:00;0;;
AIR;08.07.1884 00:00;0;;
AIR;09.07.1884 00:00;7.1;;
AIR;10.07.1884 00:00;0;;
AIR;11.07.1884 00:00;0;;
AIR;12.07.1884 00:00;0;;
AIR;13.07.1884 00:00;0;;
AIR;14.07.1884 00:00;0;;
AIR;15.07.1884 00:00;0;;
AIR;16.07.1884 00:00;5;;
AIR;17.07.1884 00:00;0;;
AIR;18.07.1884 00:00;1;;
AIR;19.07.1884 00:00;7;;
AIR;20.07.1884 00:00;0;;
AIR;21.07.1884 00:00;0;;
AIR;22.07.1884 00:00;0;;
AIR;23.07.1884 00:00;0;;
AIR;24.07.1884 00:00;8;;
AIR;25.07.1884 00:00;7.5;;
AIR;26.07.1884 00:00;0;;
AIR;27.07.1884 00:00;5;;
AIR;28.07.1884 00:00;0;;
AIR;29.07.1884 00:00;0;;
AIR;30.07.1884 00:00;0;;
AIR;31.07.1884 00:00;0;;
AIR;01.08.1884 00:00;0;;
AIR;02.08.1884 00:00;0;;
AIR;03.08.1884 00:00;0;;
AIR;04.08.1884 00:00;0;;
AIR;05.08.1884 00:00;0;;
AIR;06.08.1884 00:00;0;;
AIR;07.08.1884 00:00;0;;
AIR;08.08.1884 00:00;0;;
AIR;09.08.1884 00:00;0;;
AIR;10.08.1884 00:00;0;;
AIR;11.08.1884 00:00;0;;
AIR;12.08.1884 00:00;2;;
AIR;13.08.1884 00:00;0;;
AIR;14.08.1884 00:00;0;;
AIR;15.08.1884 00:00;0;;
AIR;16.08.1884 00:00;0;;
AIR;17.08.1884 00:00;0;;
AIR;18.08.1884 00:00;0;;
AIR;19.08.1884 00:00;0;;
AIR;20.08.1884 00:00;14;;
AIR;21.08.1884 00:00;0;;
AIR;22.08.1884 00:00;5;;
AIR;23.08.1884 00:00;0;;
AIR;24.08.1884 00:00;0;;
AIR;25.08.1884 00:00;0;;
AIR;26.08.1884 00:00;6;;
AIR;27.08.1884 00:00;0;;
