station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ALM;01.10.1972 00:00;;0;
ALM;02.10.1972 00:00;;0;
ALM;03.10.1972 00:00;;0;
ALM;04.10.1972 00:00;;0;
ALM;05.10.1972 00:00;;0;
ALM;06.10.1972 00:00;;0;
ALM;07.10.1972 00:00;;0;
ALM;08.10.1972 00:00;;0;
ALM;09.10.1972 00:00;;0;
ALM;10.10.1972 00:00;;0;
ALM;11.10.1972 00:00;;0;
ALM;12.10.1972 00:00;;0;
ALM;13.10.1972 00:00;;0;
ALM;14.10.1972 00:00;;0;
ALM;15.10.1972 00:00;;0;
ALM;16.10.1972 00:00;;0;
ALM;17.10.1972 00:00;;0;
ALM;18.10.1972 00:00;;0;
ALM;19.10.1972 00:00;;0;
ALM;22.10.1972 00:00;;25;
ALM;23.10.1972 00:00;;10;
ALM;24.10.1972 00:00;;0;
ALM;25.10.1972 00:00;;0;
ALM;26.10.1972 00:00;;0;
ALM;27.10.1972 00:00;;0;
ALM;29.10.1972 00:00;;0;
ALM;30.10.1972 00:00;;0;
ALM;31.10.1972 00:00;;0;
ALM;01.11.1972 00:00;;0;
ALM;02.11.1972 00:00;;0;
ALM;03.11.1972 00:00;;0;
ALM;04.11.1972 00:00;;0;
ALM;05.11.1972 00:00;;0;
ALM;06.11.1972 00:00;;0;
ALM;07.11.1972 00:00;;0;
ALM;08.11.1972 00:00;;0;
ALM;09.11.1972 00:00;;0;
ALM;10.11.1972 00:00;;0;
ALM;15.11.1972 00:00;;6;
ALM;17.11.1972 00:00;;0;
ALM;18.11.1972 00:00;;10;
ALM;19.11.1972 00:00;;0;
ALM;20.11.1972 00:00;;0;
ALM;23.11.1972 00:00;;4;
ALM;24.11.1972 00:00;;20;
ALM;25.11.1972 00:00;;5;
ALM;26.11.1972 00:00;;0;
ALM;27.11.1972 00:00;;0;
ALM;28.11.1972 00:00;;0;
ALM;29.11.1972 00:00;;0;
ALM;30.11.1972 00:00;;0;
ALM;01.12.1972 00:00;;0;
ALM;02.12.1972 00:00;;0;
ALM;03.12.1972 00:00;;0;
ALM;04.12.1972 00:00;;0;
ALM;06.12.1972 00:00;;0;
ALM;07.12.1972 00:00;;0;
ALM;08.12.1972 00:00;;0;
ALM;09.12.1972 00:00;;5;
ALM;10.12.1972 00:00;;0;
ALM;11.12.1972 00:00;;0;
ALM;12.12.1972 00:00;;0;
ALM;13.12.1972 00:00;;0;
ALM;14.12.1972 00:00;;0;
ALM;15.12.1972 00:00;;0;
ALM;16.12.1972 00:00;;0;
ALM;17.12.1972 00:00;;0;
ALM;18.12.1972 00:00;;0;
ALM;19.12.1972 00:00;;0;
ALM;20.12.1972 00:00;;0;
ALM;21.12.1972 00:00;;0;
ALM;22.12.1972 00:00;;0;
ALM;23.12.1972 00:00;;0;
ALM;24.12.1972 00:00;;0;
ALM;25.12.1972 00:00;;0;
ALM;26.12.1972 00:00;;0;
ALM;27.12.1972 00:00;;0;
ALM;28.12.1972 00:00;;0;
ALM;29.12.1972 00:00;;0;
ALM;30.12.1972 00:00;;0;
ALM;31.12.1972 00:00;;0;
ALM;01.01.1973 00:00;0;0;
ALM;02.01.1973 00:00;0;0;
ALM;03.01.1973 00:00;0;0;
ALM;04.01.1973 00:00;0;0;
ALM;05.01.1973 00:00;0;0;
ALM;06.01.1973 00:00;0;0;
ALM;07.01.1973 00:00;0;0;
ALM;08.01.1973 00:00;0;0;
ALM;09.01.1973 00:00;0;0;
ALM;10.01.1973 00:00;0;0;
ALM;11.01.1973 00:00;0;0;
ALM;12.01.1973 00:00;0;0;
ALM;13.01.1973 00:00;0;0;
ALM;14.01.1973 00:00;0;0;
ALM;15.01.1973 00:00;7;;
ALM;16.01.1973 00:00;5.1;7;
ALM;17.01.1973 00:00;0;0;
ALM;18.01.1973 00:00;1.5;;
ALM;19.01.1973 00:00;1;;
ALM;20.01.1973 00:00;0;0;
ALM;21.01.1973 00:00;1.1;;
ALM;22.01.1973 00:00;0;0;
ALM;23.01.1973 00:00;0;0;
ALM;24.01.1973 00:00;0;0;
ALM;25.01.1973 00:00;0;0;
ALM;26.01.1973 00:00;2;;
ALM;27.01.1973 00:00;33.1;30;
ALM;28.01.1973 00:00;9.4;15;
ALM;29.01.1973 00:00;3;;
ALM;30.01.1973 00:00;0;0;
ALM;31.01.1973 00:00;12.3;10;
ALM;01.02.1973 00:00;0.9;;
ALM;02.02.1973 00:00;1;;
ALM;03.02.1973 00:00;0;0;
ALM;04.02.1973 00:00;0;0;
ALM;05.02.1973 00:00;0;0;
ALM;06.02.1973 00:00;0;0;
ALM;07.02.1973 00:00;0;0;
ALM;08.02.1973 00:00;0;0;
ALM;09.02.1973 00:00;8;;
ALM;10.02.1973 00:00;17.2;30;
ALM;11.02.1973 00:00;9.7;10;
ALM;12.02.1973 00:00;10;;
ALM;13.02.1973 00:00;13;20;
ALM;14.02.1973 00:00;0;0;
ALM;15.02.1973 00:00;0;0;
ALM;16.02.1973 00:00;0;0;
ALM;17.02.1973 00:00;1;;
ALM;18.02.1973 00:00;6.5;20;
ALM;19.02.1973 00:00;2;;
ALM;20.02.1973 00:00;0;0;
ALM;21.02.1973 00:00;8;;
ALM;22.02.1973 00:00;16.3;20;
ALM;23.02.1973 00:00;5.7;20;
ALM;24.02.1973 00:00;7.7;10;
ALM;25.02.1973 00:00;4.9;10;
ALM;26.02.1973 00:00;6.7;0;
ALM;27.02.1973 00:00;0;10;
ALM;28.02.1973 00:00;0;0;
ALM;01.03.1973 00:00;0;0;
ALM;02.03.1973 00:00;4.7;8;
ALM;03.03.1973 00:00;0;0;
ALM;04.03.1973 00:00;0;0;
ALM;05.03.1973 00:00;0;0;
ALM;06.03.1973 00:00;9.9;10;
ALM;07.03.1973 00:00;1.9;;
ALM;08.03.1973 00:00;0;0;
ALM;09.03.1973 00:00;6;10;
ALM;10.03.1973 00:00;0;0;
ALM;11.03.1973 00:00;0;0;
ALM;12.03.1973 00:00;0;0;
ALM;13.03.1973 00:00;2.3;5;
ALM;14.03.1973 00:00;0;0;
ALM;15.03.1973 00:00;0;0;
ALM;16.03.1973 00:00;0;0;
ALM;17.03.1973 00:00;0;0;
ALM;18.03.1973 00:00;6.7;5;
ALM;19.03.1973 00:00;3.6;10;
ALM;20.03.1973 00:00;0;0;
ALM;21.03.1973 00:00;0;0;
ALM;22.03.1973 00:00;0;0;
ALM;23.03.1973 00:00;0;0;
ALM;24.03.1973 00:00;0;0;
ALM;25.03.1973 00:00;0;0;
ALM;26.03.1973 00:00;0;0;
ALM;27.03.1973 00:00;0;0;
ALM;28.03.1973 00:00;0;0;
ALM;29.03.1973 00:00;2.1;;
ALM;30.03.1973 00:00;0;0;
ALM;31.03.1973 00:00;3.2;;
ALM;01.04.1973 00:00;0;0;
ALM;02.04.1973 00:00;12.7;10;
ALM;03.04.1973 00:00;4.6;;
ALM;04.04.1973 00:00;0;0;
ALM;05.04.1973 00:00;0;0;
ALM;06.04.1973 00:00;0;0;
ALM;07.04.1973 00:00;7.6;;
ALM;08.04.1973 00:00;0;0;
ALM;09.04.1973 00:00;12.5;10;
ALM;10.04.1973 00:00;11.3;20;
ALM;11.04.1973 00:00;8.9;10;
ALM;12.04.1973 00:00;16.6;20;
ALM;13.04.1973 00:00;1.4;;
ALM;14.04.1973 00:00;0;0;
ALM;15.04.1973 00:00;0;0;
ALM;16.04.1973 00:00;0;0;
ALM;17.04.1973 00:00;12.9;;
ALM;18.04.1973 00:00;8.7;;
ALM;19.04.1973 00:00;22.4;20;
ALM;20.04.1973 00:00;14.3;20;
ALM;21.04.1973 00:00;1.2;;
ALM;22.04.1973 00:00;0;0;
ALM;23.04.1973 00:00;0;0;
ALM;24.04.1973 00:00;1.4;;
ALM;25.04.1973 00:00;1.2;;
ALM;26.04.1973 00:00;0;0;
ALM;27.04.1973 00:00;0;0;
ALM;28.04.1973 00:00;0;0;
ALM;29.04.1973 00:00;0;0;
ALM;30.04.1973 00:00;0;0;
ALM;01.05.1973 00:00;1.2;;
ALM;02.05.1973 00:00;0;0;
ALM;03.05.1973 00:00;0;0;
ALM;04.05.1973 00:00;0;0;
ALM;05.05.1973 00:00;0;0;
ALM;06.05.1973 00:00;7.9;;
ALM;07.05.1973 00:00;21.5;;
ALM;08.05.1973 00:00;21;;
ALM;09.05.1973 00:00;2.2;;
ALM;10.05.1973 00:00;15.8;;
ALM;11.05.1973 00:00;2.5;;
ALM;12.05.1973 00:00;0;0;
ALM;13.05.1973 00:00;0;0;
