station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ALT;01.01.1864 00:00;0;;
ALT;02.01.1864 00:00;4;;
ALT;03.01.1864 00:00;0;;
ALT;04.01.1864 00:00;0;;
ALT;05.01.1864 00:00;0;;
ALT;06.01.1864 00:00;0;;
ALT;07.01.1864 00:00;0;;
ALT;08.01.1864 00:00;0;;
ALT;09.01.1864 00:00;0;;
ALT;10.01.1864 00:00;0;;
ALT;11.01.1864 00:00;0;;
ALT;12.01.1864 00:00;0;;
ALT;13.01.1864 00:00;0;;
ALT;14.01.1864 00:00;0;;
ALT;15.01.1864 00:00;0;;
ALT;16.01.1864 00:00;0;;
ALT;17.01.1864 00:00;0;;
ALT;18.01.1864 00:00;0;;
ALT;19.01.1864 00:00;0;;
ALT;20.01.1864 00:00;0;;
ALT;21.01.1864 00:00;0;;
ALT;22.01.1864 00:00;0;;
ALT;23.01.1864 00:00;0;;
ALT;24.01.1864 00:00;0;;
ALT;25.01.1864 00:00;12.2;;
ALT;26.01.1864 00:00;0;;
ALT;27.01.1864 00:00;0;;
ALT;28.01.1864 00:00;0;;
ALT;29.01.1864 00:00;31.5;;
ALT;30.01.1864 00:00;3.6;;
ALT;31.01.1864 00:00;0;;
ALT;01.02.1864 00:00;0;;
ALT;02.02.1864 00:00;0;;
ALT;03.02.1864 00:00;0;;
ALT;04.02.1864 00:00;0;;
ALT;05.02.1864 00:00;2.4;;
ALT;06.02.1864 00:00;0.6;;
ALT;07.02.1864 00:00;1.4;;
ALT;08.02.1864 00:00;0.7;;
ALT;09.02.1864 00:00;0.4;;
ALT;10.02.1864 00:00;0;;
ALT;11.02.1864 00:00;0;;
ALT;12.02.1864 00:00;0;;
ALT;13.02.1864 00:00;0;;
ALT;14.02.1864 00:00;0;;
ALT;15.02.1864 00:00;0;;
ALT;16.02.1864 00:00;0;;
ALT;17.02.1864 00:00;30.5;;
ALT;18.02.1864 00:00;6;;
ALT;19.02.1864 00:00;0;;
ALT;20.02.1864 00:00;0;;
ALT;21.02.1864 00:00;4.7;;
ALT;22.02.1864 00:00;0;;
ALT;23.02.1864 00:00;0;;
ALT;24.02.1864 00:00;0;;
ALT;25.02.1864 00:00;0;;
ALT;26.02.1864 00:00;0;;
ALT;27.02.1864 00:00;0;;
ALT;28.02.1864 00:00;0;;
ALT;29.02.1864 00:00;0;;
ALT;01.03.1864 00:00;9.3;;
ALT;02.03.1864 00:00;0;;
ALT;03.03.1864 00:00;0;;
ALT;04.03.1864 00:00;0;;
ALT;05.03.1864 00:00;0;;
ALT;06.03.1864 00:00;0;;
ALT;07.03.1864 00:00;0.7;;
ALT;08.03.1864 00:00;0;;
ALT;09.03.1864 00:00;0;;
ALT;10.03.1864 00:00;5.8;;
ALT;11.03.1864 00:00;0;;
ALT;12.03.1864 00:00;0;;
ALT;13.03.1864 00:00;5;;
ALT;14.03.1864 00:00;0;;
ALT;15.03.1864 00:00;0;;
ALT;16.03.1864 00:00;0;;
ALT;17.03.1864 00:00;0;;
ALT;18.03.1864 00:00;0;;
ALT;19.03.1864 00:00;0;;
ALT;20.03.1864 00:00;0;;
ALT;21.03.1864 00:00;0;;
ALT;22.03.1864 00:00;0.3;;
ALT;23.03.1864 00:00;14.1;;
ALT;24.03.1864 00:00;0.3;;
ALT;25.03.1864 00:00;0;;
ALT;26.03.1864 00:00;0;;
ALT;27.03.1864 00:00;0;;
ALT;28.03.1864 00:00;2.5;;
ALT;29.03.1864 00:00;0.7;;
ALT;30.03.1864 00:00;0.3;;
ALT;31.03.1864 00:00;0;;
ALT;01.04.1864 00:00;0;;
ALT;02.04.1864 00:00;23.5;;
ALT;03.04.1864 00:00;4.8;;
ALT;04.04.1864 00:00;2.4;;
ALT;05.04.1864 00:00;57;;
ALT;06.04.1864 00:00;14.5;;
ALT;07.04.1864 00:00;0;;
ALT;08.04.1864 00:00;0;;
ALT;09.04.1864 00:00;0;;
ALT;10.04.1864 00:00;0;;
ALT;11.04.1864 00:00;0;;
ALT;12.04.1864 00:00;0;;
ALT;13.04.1864 00:00;0;;
ALT;14.04.1864 00:00;0;;
ALT;15.04.1864 00:00;0;;
ALT;16.04.1864 00:00;16.1;;
ALT;17.04.1864 00:00;52.2;;
ALT;18.04.1864 00:00;1.3;;
ALT;19.04.1864 00:00;0;;
ALT;20.04.1864 00:00;0;;
ALT;21.04.1864 00:00;0;;
ALT;22.04.1864 00:00;0;;
ALT;23.04.1864 00:00;0;;
ALT;24.04.1864 00:00;0;;
ALT;25.04.1864 00:00;0;;
ALT;26.04.1864 00:00;0;;
ALT;27.04.1864 00:00;0;;
ALT;28.04.1864 00:00;3.2;;
ALT;29.04.1864 00:00;17.1;;
ALT;30.04.1864 00:00;2.2;;
ALT;01.05.1864 00:00;0;;
ALT;02.05.1864 00:00;0;;
ALT;03.05.1864 00:00;0;;
ALT;04.05.1864 00:00;24.7;;
ALT;05.05.1864 00:00;25.4;;
ALT;06.05.1864 00:00;2.8;;
ALT;07.05.1864 00:00;0;;
ALT;08.05.1864 00:00;0;;
ALT;09.05.1864 00:00;0;;
ALT;10.05.1864 00:00;0.6;;
ALT;11.05.1864 00:00;0;;
ALT;12.05.1864 00:00;5.9;;
ALT;13.05.1864 00:00;7.3;;
ALT;14.05.1864 00:00;33.7;;
ALT;15.05.1864 00:00;6.6;;
ALT;16.05.1864 00:00;0;;
ALT;17.05.1864 00:00;0;;
ALT;18.05.1864 00:00;0;;
ALT;19.05.1864 00:00;0.3;;
ALT;20.05.1864 00:00;1.3;;
ALT;21.05.1864 00:00;0;;
ALT;22.05.1864 00:00;0;;
ALT;23.05.1864 00:00;0;;
ALT;24.05.1864 00:00;15.8;;
ALT;25.05.1864 00:00;0;;
ALT;26.05.1864 00:00;0;;
ALT;27.05.1864 00:00;2.1;;
ALT;28.05.1864 00:00;0;;
ALT;29.05.1864 00:00;0;;
ALT;30.05.1864 00:00;1.5;;
ALT;31.05.1864 00:00;0;;
ALT;01.06.1864 00:00;0;;
ALT;02.06.1864 00:00;0;;
