station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ALV;01.11.1972 00:00;;0;
ALV;02.11.1972 00:00;;0;0
ALV;03.11.1972 00:00;;0;0
ALV;04.11.1972 00:00;;0;0
ALV;05.11.1972 00:00;;0;0
ALV;06.11.1972 00:00;;0;0
ALV;07.11.1972 00:00;;0;0
ALV;08.11.1972 00:00;;0;0
ALV;09.11.1972 00:00;;0;0
ALV;10.11.1972 00:00;;0;0
ALV;11.11.1972 00:00;;0;0
ALV;12.11.1972 00:00;;8;0
ALV;13.11.1972 00:00;;1;8
ALV;14.11.1972 00:00;;0;5
ALV;15.11.1972 00:00;;0;0
ALV;16.11.1972 00:00;;0;0
ALV;17.11.1972 00:00;;0;0
ALV;18.11.1972 00:00;;0;2
ALV;19.11.1972 00:00;;2;0
ALV;20.11.1972 00:00;;0;2
ALV;21.11.1972 00:00;;3;2
ALV;22.11.1972 00:00;;1;5
ALV;23.11.1972 00:00;;0;4
ALV;24.11.1972 00:00;;1;2
ALV;25.11.1972 00:00;;10;4
ALV;26.11.1972 00:00;;0;12
ALV;27.11.1972 00:00;;0;12
ALV;28.11.1972 00:00;;0;10
ALV;29.11.1972 00:00;;0;8
ALV;30.11.1972 00:00;;0;6
ALV;01.12.1972 00:00;;0;6
ALV;02.12.1972 00:00;;0;5
ALV;03.12.1972 00:00;;0;4
ALV;04.12.1972 00:00;;0;4
ALV;05.12.1972 00:00;;0;4
ALV;06.12.1972 00:00;;0;0
ALV;07.12.1972 00:00;;0;0
ALV;08.12.1972 00:00;;0;0
ALV;09.12.1972 00:00;;0;0
ALV;10.12.1972 00:00;;10;0
ALV;11.12.1972 00:00;;0;10
ALV;12.12.1972 00:00;;0;7
ALV;13.12.1972 00:00;;0;6
ALV;14.12.1972 00:00;;0;5
ALV;15.12.1972 00:00;;0;5
ALV;16.12.1972 00:00;;0;4
ALV;17.12.1972 00:00;;0;4
ALV;18.12.1972 00:00;;0;4
ALV;19.12.1972 00:00;;0;4
ALV;20.12.1972 00:00;;0;4
ALV;21.12.1972 00:00;;0;4
ALV;22.12.1972 00:00;;0;4
ALV;23.12.1972 00:00;;0;3
ALV;24.12.1972 00:00;;0;3
ALV;25.12.1972 00:00;;0;3
ALV;26.12.1972 00:00;;0;3
ALV;27.12.1972 00:00;;0;3
ALV;28.12.1972 00:00;;0;2
ALV;29.12.1972 00:00;;0;2
ALV;30.12.1972 00:00;;0;2
ALV;31.12.1972 00:00;;0;2
ALV;01.01.1973 00:00;0;0;0
ALV;02.01.1973 00:00;0;0;0
ALV;03.01.1973 00:00;2.4;0;0
ALV;04.01.1973 00:00;0;0;0
ALV;05.01.1973 00:00;0;0;0
ALV;06.01.1973 00:00;0;0;0
ALV;07.01.1973 00:00;0;0;0
ALV;08.01.1973 00:00;0;0;0
ALV;09.01.1973 00:00;0;0;0
ALV;10.01.1973 00:00;0;0;0
ALV;11.01.1973 00:00;0;0;0
ALV;12.01.1973 00:00;0;0;0
ALV;13.01.1973 00:00;0;0;0
ALV;14.01.1973 00:00;0;0;0
ALV;15.01.1973 00:00;7.2;8;0
ALV;16.01.1973 00:00;2.6;5;8
ALV;17.01.1973 00:00;0;0;13
ALV;18.01.1973 00:00;0;0;11
ALV;19.01.1973 00:00;0;0;8
ALV;20.01.1973 00:00;0;0;8
ALV;21.01.1973 00:00;8.9;10;8
ALV;22.01.1973 00:00;5.4;6;18
ALV;23.01.1973 00:00;0;0;24
ALV;24.01.1973 00:00;0;0;20
ALV;25.01.1973 00:00;0;0;18
ALV;26.01.1973 00:00;0;0;18
ALV;27.01.1973 00:00;8.9;12;16
ALV;28.01.1973 00:00;6.7;11;28
ALV;29.01.1973 00:00;0;0;37
ALV;30.01.1973 00:00;0;0;30
ALV;31.01.1973 00:00;2.7;5;22
ALV;01.02.1973 00:00;0.6;1;23
ALV;02.02.1973 00:00;0.1;0;23
ALV;03.02.1973 00:00;0;0;22
ALV;04.02.1973 00:00;0;0;21
ALV;05.02.1973 00:00;0;0;21
ALV;06.02.1973 00:00;0;0;20
ALV;07.02.1973 00:00;0;0;20
ALV;08.02.1973 00:00;0;0;18
ALV;09.02.1973 00:00;0;0;18
ALV;10.02.1973 00:00;4.3;6;16
ALV;11.02.1973 00:00;9.9;12;22
ALV;12.02.1973 00:00;0;0;32
ALV;13.02.1973 00:00;3.8;5;30
ALV;14.02.1973 00:00;0;0;35
ALV;15.02.1973 00:00;0;0;32
ALV;16.02.1973 00:00;0;0;30
ALV;17.02.1973 00:00;0;0;30
ALV;18.02.1973 00:00;0;0;30
ALV;19.02.1973 00:00;0;0;28
ALV;20.02.1973 00:00;0;0;28
ALV;21.02.1973 00:00;0;0;28
ALV;22.02.1973 00:00;4.1;6;28
ALV;23.02.1973 00:00;15.4;17;34
ALV;24.02.1973 00:00;5.1;5;48
ALV;25.02.1973 00:00;1.1;1;50
ALV;26.02.1973 00:00;1.4;2;51
ALV;27.02.1973 00:00;0;0;47
ALV;28.02.1973 00:00;0;0;43
ALV;01.03.1973 00:00;0;0;43
ALV;02.03.1973 00:00;0.7;2;43
ALV;03.03.1973 00:00;0.9;1;44
ALV;04.03.1973 00:00;0;0;42
ALV;05.03.1973 00:00;0;0;39
ALV;06.03.1973 00:00;2;4;37
ALV;07.03.1973 00:00;0;0;39
ALV;08.03.1973 00:00;0.2;0;39
ALV;09.03.1973 00:00;3.6;6;37
ALV;10.03.1973 00:00;0;0;43
ALV;11.03.1973 00:00;0;0;40
ALV;12.03.1973 00:00;4.9;4;39
ALV;13.03.1973 00:00;0;0;43
ALV;14.03.1973 00:00;0;0;42
ALV;15.03.1973 00:00;0;0;39
ALV;16.03.1973 00:00;0;0;38
ALV;17.03.1973 00:00;0;0;36
ALV;18.03.1973 00:00;4.4;10;35
ALV;19.03.1973 00:00;0;0;44
ALV;20.03.1973 00:00;0;0;36
ALV;21.03.1973 00:00;0;0;34
ALV;22.03.1973 00:00;0;0;30
ALV;23.03.1973 00:00;0;0;27
ALV;24.03.1973 00:00;0;0;25
ALV;25.03.1973 00:00;0;0;20
ALV;26.03.1973 00:00;0;0;16
ALV;27.03.1973 00:00;0;0;14
ALV;28.03.1973 00:00;0;0;8
ALV;29.03.1973 00:00;2.5;0;0
ALV;30.03.1973 00:00;1.4;0;0
ALV;31.03.1973 00:00;0.3;0;0
ALV;01.04.1973 00:00;0;0;0
ALV;02.04.1973 00:00;7.1;3;0
ALV;03.04.1973 00:00;3.3;5;3
ALV;04.04.1973 00:00;0;0;6
ALV;05.04.1973 00:00;0;0;0
ALV;06.04.1973 00:00;0;0;0
ALV;07.04.1973 00:00;1;0;0
ALV;08.04.1973 00:00;10;10;0
ALV;09.04.1973 00:00;31.2;34;10
ALV;10.04.1973 00:00;4.3;8;39
ALV;11.04.1973 00:00;0.5;0;28
ALV;12.04.1973 00:00;2.8;2;12
ALV;13.04.1973 00:00;1.5;1;12
ALV;14.04.1973 00:00;0;0;13
ALV;15.04.1973 00:00;0;0;9
ALV;16.04.1973 00:00;0;0;5
ALV;17.04.1973 00:00;0.3;0;3
ALV;18.04.1973 00:00;0;0;0
ALV;19.04.1973 00:00;1.2;2;0
ALV;20.04.1973 00:00;1.6;3;2
ALV;21.04.1973 00:00;0.2;0;3
ALV;22.04.1973 00:00;0;0;0
ALV;23.04.1973 00:00;0;0;0
ALV;24.04.1973 00:00;0.4;0;0
ALV;25.04.1973 00:00;0.7;0;0
ALV;26.04.1973 00:00;0;0;0
ALV;27.04.1973 00:00;0;0;0
ALV;28.04.1973 00:00;0;0;0
ALV;29.04.1973 00:00;0;0;0
ALV;30.04.1973 00:00;0;0;0
ALV;01.05.1973 00:00;1.1;0;0
ALV;02.05.1973 00:00;0.8;0;0
