station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ALW;01.01.1973 00:00;0;;
ALW;02.01.1973 00:00;0;;
ALW;03.01.1973 00:00;0;;
ALW;04.01.1973 00:00;0;;
ALW;05.01.1973 00:00;0;;
ALW;06.01.1973 00:00;0;;
ALW;07.01.1973 00:00;0;;
ALW;08.01.1973 00:00;0;;
ALW;09.01.1973 00:00;0.2;;
ALW;10.01.1973 00:00;0;;
ALW;11.01.1973 00:00;0;;
ALW;12.01.1973 00:00;0;;
ALW;13.01.1973 00:00;0;;
ALW;14.01.1973 00:00;0;;
ALW;15.01.1973 00:00;3.6;;
ALW;16.01.1973 00:00;2;;
ALW;17.01.1973 00:00;0;;
ALW;18.01.1973 00:00;2.3;;
ALW;19.01.1973 00:00;1.6;;
ALW;20.01.1973 00:00;0.1;;
ALW;21.01.1973 00:00;0.4;;
ALW;22.01.1973 00:00;0;;
ALW;23.01.1973 00:00;0;;
ALW;24.01.1973 00:00;0;;
ALW;25.01.1973 00:00;0;;
ALW;26.01.1973 00:00;0.8;;
ALW;27.01.1973 00:00;4;;
ALW;28.01.1973 00:00;3.3;;
ALW;29.01.1973 00:00;0.9;;
ALW;30.01.1973 00:00;0.4;;
ALW;31.01.1973 00:00;6;;
ALW;01.02.1973 00:00;3.6;;
ALW;02.02.1973 00:00;1.3;;
ALW;03.02.1973 00:00;0;;
ALW;04.02.1973 00:00;0;;
ALW;05.02.1973 00:00;0;;
ALW;06.02.1973 00:00;0;;
ALW;07.02.1973 00:00;0;;
ALW;08.02.1973 00:00;0;;
ALW;09.02.1973 00:00;4.1;;
ALW;10.02.1973 00:00;5.4;;
ALW;11.02.1973 00:00;4.2;;
ALW;12.02.1973 00:00;5.4;;
ALW;13.02.1973 00:00;6;;
ALW;14.02.1973 00:00;0;;
ALW;15.02.1973 00:00;0;;
ALW;16.02.1973 00:00;0;;
ALW;17.02.1973 00:00;0.5;;
ALW;18.02.1973 00:00;1.4;;
ALW;19.02.1973 00:00;1.3;;
ALW;20.02.1973 00:00;0;;
ALW;21.02.1973 00:00;7;;
ALW;22.02.1973 00:00;3.6;;
ALW;23.02.1973 00:00;3.7;;
ALW;24.02.1973 00:00;0.2;;
ALW;25.02.1973 00:00;0.8;;
ALW;26.02.1973 00:00;2.4;;
ALW;27.02.1973 00:00;0.2;;
ALW;28.02.1973 00:00;0;;
ALW;01.03.1973 00:00;0;;
ALW;02.03.1973 00:00;1.9;;
ALW;03.03.1973 00:00;0;;
ALW;04.03.1973 00:00;0;;
ALW;05.03.1973 00:00;0;;
ALW;06.03.1973 00:00;2.5;;
ALW;07.03.1973 00:00;1.4;;
ALW;08.03.1973 00:00;1.6;;
ALW;09.03.1973 00:00;5.7;;
ALW;10.03.1973 00:00;0;;
ALW;11.03.1973 00:00;0;;
ALW;12.03.1973 00:00;2.7;;
ALW;13.03.1973 00:00;3.6;;
ALW;14.03.1973 00:00;2;;
ALW;15.03.1973 00:00;0;;
ALW;16.03.1973 00:00;0;;
ALW;17.03.1973 00:00;0;;
ALW;18.03.1973 00:00;1.6;;
ALW;19.03.1973 00:00;1.3;;
ALW;20.03.1973 00:00;0;;
ALW;21.03.1973 00:00;0;;
ALW;22.03.1973 00:00;0;;
ALW;23.03.1973 00:00;0;;
ALW;24.03.1973 00:00;0;;
ALW;25.03.1973 00:00;0;;
ALW;26.03.1973 00:00;0;;
ALW;27.03.1973 00:00;0;;
ALW;28.03.1973 00:00;0;;
ALW;29.03.1973 00:00;1.3;;
ALW;30.03.1973 00:00;3.4;;
ALW;31.03.1973 00:00;2.6;;
ALW;01.04.1973 00:00;0;;
ALW;02.04.1973 00:00;2.4;;
ALW;03.04.1973 00:00;1.8;;
ALW;04.04.1973 00:00;0;;
ALW;05.04.1973 00:00;0;;
ALW;06.04.1973 00:00;1.7;;
ALW;07.04.1973 00:00;0.9;;
ALW;08.04.1973 00:00;6.3;;
ALW;09.04.1973 00:00;23.6;;
ALW;10.04.1973 00:00;14.5;;
ALW;11.04.1973 00:00;2.8;;
ALW;12.04.1973 00:00;8.7;;
ALW;13.04.1973 00:00;0;;
ALW;14.04.1973 00:00;0;;
ALW;15.04.1973 00:00;3;;
ALW;16.04.1973 00:00;0;;
ALW;17.04.1973 00:00;2.7;;
ALW;18.04.1973 00:00;4.8;;
ALW;19.04.1973 00:00;13.4;;
ALW;20.04.1973 00:00;1.3;;
ALW;21.04.1973 00:00;0.3;;
ALW;22.04.1973 00:00;0;;
ALW;23.04.1973 00:00;0;;
ALW;24.04.1973 00:00;3.4;;
ALW;25.04.1973 00:00;2.5;;
ALW;26.04.1973 00:00;0;;
ALW;27.04.1973 00:00;0;;
ALW;28.04.1973 00:00;0;;
ALW;29.04.1973 00:00;1.7;;
ALW;30.04.1973 00:00;0;;
ALW;01.05.1973 00:00;1.1;;
ALW;02.05.1973 00:00;3.8;;
ALW;03.05.1973 00:00;0.3;;
ALW;04.05.1973 00:00;0;;
ALW;05.05.1973 00:00;2;;
ALW;06.05.1973 00:00;5.5;;
ALW;07.05.1973 00:00;18.5;;
ALW;08.05.1973 00:00;15.3;;
ALW;09.05.1973 00:00;1;;
ALW;10.05.1973 00:00;15;;
