station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ANC;10.09.2021 00:00;;0;0
ANC;11.09.2021 00:00;;0;0
ANC;12.09.2021 00:00;;0;0
ANC;13.09.2021 00:00;;0;0
ANC;14.09.2021 00:00;;0;0
ANC;15.09.2021 00:00;;0;0
ANC;16.09.2021 00:00;;0;0
ANC;17.09.2021 00:00;;0;0
ANC;18.09.2021 00:00;;0;0
ANC;19.09.2021 00:00;;0;0
ANC;20.09.2021 00:00;;0;0
ANC;21.09.2021 00:00;;0;0
ANC;22.09.2021 00:00;;0;0
ANC;23.09.2021 00:00;;0;0
ANC;24.09.2021 00:00;;0;0
ANC;25.09.2021 00:00;;0;0
ANC;26.09.2021 00:00;;0;0
ANC;27.09.2021 00:00;;0;0
ANC;28.09.2021 00:00;;0;0
ANC;29.09.2021 00:00;;0;0
ANC;30.09.2021 00:00;;0;0
ANC;01.10.2021 00:00;;0;0
ANC;02.10.2021 00:00;;0;0
ANC;03.10.2021 00:00;;0;0
ANC;04.10.2021 00:00;;0;0
ANC;05.10.2021 00:00;;0;0
ANC;06.10.2021 00:00;;0;0
ANC;07.10.2021 00:00;;0;0
ANC;08.10.2021 00:00;;0;0
ANC;09.10.2021 00:00;;0;0
ANC;10.10.2021 00:00;;0;0
ANC;11.10.2021 00:00;;0;0
ANC;12.10.2021 00:00;;0;0
ANC;13.10.2021 00:00;;0;0
ANC;14.10.2021 00:00;;0;0
ANC;15.10.2021 00:00;;0;0
ANC;16.10.2021 00:00;;0;0
ANC;17.10.2021 00:00;;0;0
ANC;18.10.2021 00:00;;0;0
ANC;19.10.2021 00:00;;0;0
ANC;20.10.2021 00:00;;0;0
ANC;21.10.2021 00:00;;0;0
ANC;22.10.2021 00:00;;0;0
ANC;23.10.2021 00:00;;0;0
ANC;24.10.2021 00:00;;0;0
ANC;25.10.2021 00:00;;0;0
ANC;26.10.2021 00:00;;0;0
ANC;27.10.2021 00:00;;0;0
ANC;28.10.2021 00:00;;0;0
ANC;29.10.2021 00:00;;0;0
ANC;30.10.2021 00:00;;0;0
ANC;31.10.2021 00:00;;0;0
ANC;01.11.2021 00:00;;0;0
ANC;02.11.2021 00:00;;0;0
ANC;03.11.2021 00:00;;12;0
ANC;04.11.2021 00:00;;0;12
ANC;05.11.2021 00:00;;0;5
ANC;06.11.2021 00:00;;0;1
ANC;07.11.2021 00:00;;0;0
ANC;08.11.2021 00:00;;0;0
ANC;09.11.2021 00:00;;0;0
ANC;10.11.2021 00:00;;0;0
ANC;11.11.2021 00:00;;0;0
ANC;12.11.2021 00:00;;0;0
ANC;13.11.2021 00:00;;0;0
ANC;14.11.2021 00:00;;0;0
ANC;15.11.2021 00:00;;0;0
ANC;16.11.2021 00:00;;0;0
ANC;17.11.2021 00:00;;0;0
ANC;18.11.2021 00:00;;0;0
ANC;19.11.2021 00:00;;0;0
ANC;20.11.2021 00:00;;0;0
ANC;21.11.2021 00:00;;0;0
ANC;22.11.2021 00:00;;0;0
ANC;23.11.2021 00:00;;0;0
ANC;24.11.2021 00:00;;0;0
ANC;25.11.2021 00:00;;1;0
ANC;26.11.2021 00:00;;0;1
ANC;27.11.2021 00:00;;7;0
ANC;28.11.2021 00:00;;2;7
ANC;29.11.2021 00:00;;0;7
ANC;30.11.2021 00:00;;0;5
ANC;01.12.2021 00:00;;4;2
ANC;02.12.2021 00:00;;0;5
ANC;03.12.2021 00:00;;0;2
