station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ANT;01.02.1881 00:00;0;;
ANT;02.02.1881 00:00;5.7;;
ANT;03.02.1881 00:00;0;;
ANT;04.02.1881 00:00;0;;
ANT;05.02.1881 00:00;0;;
ANT;06.02.1881 00:00;1.2;;
ANT;07.02.1881 00:00;2;;
ANT;08.02.1881 00:00;7;;
ANT;09.02.1881 00:00;15.5;;
ANT;10.02.1881 00:00;20.4;;
ANT;11.02.1881 00:00;9;;
ANT;12.02.1881 00:00;20.2;;
ANT;13.02.1881 00:00;3.7;;
ANT;14.02.1881 00:00;0;;
ANT;15.02.1881 00:00;0;;
ANT;16.02.1881 00:00;0;;
ANT;17.02.1881 00:00;0;;
ANT;18.02.1881 00:00;0;;
ANT;19.02.1881 00:00;0;;
ANT;20.02.1881 00:00;0;;
ANT;21.02.1881 00:00;0;;
ANT;22.02.1881 00:00;0;;
ANT;23.02.1881 00:00;0;;
ANT;24.02.1881 00:00;0;;
ANT;25.02.1881 00:00;0;;
ANT;26.02.1881 00:00;0;;
ANT;27.02.1881 00:00;0;;
ANT;28.02.1881 00:00;0.9;;
ANT;01.03.1881 00:00;0.8;;
ANT;02.03.1881 00:00;0;;
ANT;03.03.1881 00:00;0;;
ANT;04.03.1881 00:00;0;;
ANT;05.03.1881 00:00;6.2;;
ANT;06.03.1881 00:00;4;;
ANT;07.03.1881 00:00;0;;
ANT;08.03.1881 00:00;0;;
ANT;09.03.1881 00:00;27;;
ANT;10.03.1881 00:00;3;;
ANT;11.03.1881 00:00;21.5;;
ANT;12.03.1881 00:00;0;;
ANT;13.03.1881 00:00;0;;
ANT;14.03.1881 00:00;0;;
ANT;15.03.1881 00:00;0;;
ANT;16.03.1881 00:00;0;;
ANT;17.03.1881 00:00;0;;
ANT;18.03.1881 00:00;0;;
ANT;19.03.1881 00:00;0;;
ANT;20.03.1881 00:00;0;;
ANT;21.03.1881 00:00;0;;
ANT;22.03.1881 00:00;2.3;;
ANT;23.03.1881 00:00;6;;
ANT;24.03.1881 00:00;0;;
ANT;25.03.1881 00:00;0;;
ANT;26.03.1881 00:00;2.5;;
ANT;27.03.1881 00:00;0;;
ANT;28.03.1881 00:00;0;;
ANT;29.03.1881 00:00;0;;
ANT;30.03.1881 00:00;2.5;;
ANT;31.03.1881 00:00;0;;
ANT;01.04.1881 00:00;10.6;;
ANT;02.04.1881 00:00;0;;
ANT;03.04.1881 00:00;0.2;;
ANT;04.04.1881 00:00;0;;
ANT;05.04.1881 00:00;0;;
ANT;06.04.1881 00:00;0;;
ANT;07.04.1881 00:00;2.1;;
ANT;08.04.1881 00:00;2.2;;
ANT;09.04.1881 00:00;0;;
ANT;10.04.1881 00:00;4;;
ANT;11.04.1881 00:00;0;;
ANT;12.04.1881 00:00;0;;
ANT;13.04.1881 00:00;1;;
ANT;14.04.1881 00:00;0;;
ANT;15.04.1881 00:00;0;;
ANT;16.04.1881 00:00;0;;
ANT;17.04.1881 00:00;0;;
ANT;18.04.1881 00:00;0;;
ANT;19.04.1881 00:00;5.3;;
ANT;20.04.1881 00:00;4;;
ANT;21.04.1881 00:00;0.5;;
ANT;22.04.1881 00:00;0;;
ANT;23.04.1881 00:00;25;;
ANT;24.04.1881 00:00;0;;
ANT;25.04.1881 00:00;0.6;;
ANT;26.04.1881 00:00;0;;
ANT;27.04.1881 00:00;11.3;;
ANT;28.04.1881 00:00;5;;
ANT;29.04.1881 00:00;2.1;;
ANT;30.04.1881 00:00;0;;
ANT;01.05.1881 00:00;0;;
ANT;02.05.1881 00:00;0;;
ANT;03.05.1881 00:00;25;;
ANT;04.05.1881 00:00;0;;
ANT;05.05.1881 00:00;0;;
ANT;06.05.1881 00:00;0;;
ANT;07.05.1881 00:00;0;;
ANT;08.05.1881 00:00;0;;
