station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ARB;01.06.1879 00:00;5;;
ARB;02.06.1879 00:00;0;;
ARB;03.06.1879 00:00;2;;
ARB;04.06.1879 00:00;0;;
ARB;05.06.1879 00:00;0;;
ARB;06.06.1879 00:00;3;;
ARB;07.06.1879 00:00;0;;
ARB;08.06.1879 00:00;1;;
ARB;09.06.1879 00:00;0;;
ARB;10.06.1879 00:00;7.5;;
ARB;11.06.1879 00:00;0;;
ARB;12.06.1879 00:00;0;;
ARB;13.06.1879 00:00;0;;
ARB;14.06.1879 00:00;0;;
ARB;15.06.1879 00:00;3;;
ARB;16.06.1879 00:00;0;;
ARB;17.06.1879 00:00;0;;
ARB;18.06.1879 00:00;0;;
ARB;19.06.1879 00:00;0;;
ARB;20.06.1879 00:00;0;;
ARB;21.06.1879 00:00;1.5;;
ARB;22.06.1879 00:00;2.5;;
ARB;23.06.1879 00:00;0;;
ARB;24.06.1879 00:00;18.5;;
ARB;25.06.1879 00:00;16;;
ARB;26.06.1879 00:00;0;;
ARB;27.06.1879 00:00;0;;
ARB;28.06.1879 00:00;0;;
ARB;29.06.1879 00:00;0;;
ARB;30.06.1879 00:00;22;;
ARB;01.07.1879 00:00;3.5;;
ARB;02.07.1879 00:00;23;;
ARB;03.07.1879 00:00;0;;
ARB;04.07.1879 00:00;15;;
ARB;05.07.1879 00:00;0;;
ARB;06.07.1879 00:00;16;;
ARB;07.07.1879 00:00;1.5;;
ARB;08.07.1879 00:00;1.5;;
ARB;09.07.1879 00:00;1.5;;
ARB;10.07.1879 00:00;1.5;;
ARB;11.07.1879 00:00;10;;
ARB;12.07.1879 00:00;0;;
ARB;13.07.1879 00:00;6;;
ARB;14.07.1879 00:00;5.5;;
ARB;15.07.1879 00:00;11.5;;
ARB;16.07.1879 00:00;0;;
ARB;17.07.1879 00:00;0.5;;
ARB;18.07.1879 00:00;8;;
ARB;19.07.1879 00:00;0;;
ARB;20.07.1879 00:00;0;;
ARB;21.07.1879 00:00;2;;
ARB;22.07.1879 00:00;8.5;;
ARB;23.07.1879 00:00;0;;
ARB;24.07.1879 00:00;0;;
ARB;25.07.1879 00:00;0;;
ARB;26.07.1879 00:00;2;;
ARB;27.07.1879 00:00;12;;
ARB;28.07.1879 00:00;0;;
ARB;29.07.1879 00:00;0;;
ARB;30.07.1879 00:00;0;;
ARB;31.07.1879 00:00;0;;
ARB;01.08.1879 00:00;0;;
ARB;02.08.1879 00:00;0;;
ARB;03.08.1879 00:00;0;;
ARB;04.08.1879 00:00;9.5;;
ARB;05.08.1879 00:00;19.5;;
ARB;06.08.1879 00:00;14.5;;
ARB;07.08.1879 00:00;0;;
ARB;08.08.1879 00:00;0;;
ARB;09.08.1879 00:00;8.5;;
ARB;10.08.1879 00:00;0;;
ARB;11.08.1879 00:00;0;;
ARB;12.08.1879 00:00;0;;
ARB;13.08.1879 00:00;0;;
ARB;14.08.1879 00:00;0;;
ARB;15.08.1879 00:00;0;;
ARB;16.08.1879 00:00;8;;
ARB;17.08.1879 00:00;0;;
ARB;18.08.1879 00:00;11.5;;
ARB;19.08.1879 00:00;1;;
ARB;20.08.1879 00:00;0;;
ARB;21.08.1879 00:00;2;;
ARB;22.08.1879 00:00;23.5;;
ARB;23.08.1879 00:00;1.5;;
ARB;24.08.1879 00:00;0;;
ARB;25.08.1879 00:00;0;;
ARB;26.08.1879 00:00;4.5;;
ARB;27.08.1879 00:00;0;;
ARB;28.08.1879 00:00;0;;
ARB;29.08.1879 00:00;0;;
ARB;30.08.1879 00:00;0;;
ARB;31.08.1879 00:00;1.5;;
ARB;01.09.1879 00:00;0;;
ARB;02.09.1879 00:00;0;;
ARB;03.09.1879 00:00;0;;
ARB;04.09.1879 00:00;0;;
ARB;05.09.1879 00:00;0;;
ARB;06.09.1879 00:00;7;;
ARB;07.09.1879 00:00;2;;
ARB;08.09.1879 00:00;0;;
ARB;09.09.1879 00:00;31.5;;
ARB;10.09.1879 00:00;1;;
ARB;11.09.1879 00:00;0;;
ARB;12.09.1879 00:00;0;;
ARB;13.09.1879 00:00;0;;
ARB;14.09.1879 00:00;0;;
ARB;15.09.1879 00:00;0;;
ARB;16.09.1879 00:00;0;;
ARB;17.09.1879 00:00;3;;
ARB;18.09.1879 00:00;0;;
ARB;19.09.1879 00:00;0;;
ARB;20.09.1879 00:00;37.5;;
ARB;21.09.1879 00:00;3.5;;
ARB;22.09.1879 00:00;0;;
ARB;23.09.1879 00:00;0;;
ARB;24.09.1879 00:00;0;;
ARB;25.09.1879 00:00;20.5;;
ARB;26.09.1879 00:00;14.5;;
ARB;27.09.1879 00:00;15;;
ARB;28.09.1879 00:00;0;;
ARB;29.09.1879 00:00;0;;
ARB;30.09.1879 00:00;0;;
ARB;01.10.1879 00:00;0;;
ARB;02.10.1879 00:00;5;;
ARB;03.10.1879 00:00;0;;
ARB;04.10.1879 00:00;0;;
ARB;05.10.1879 00:00;0;;
ARB;06.10.1879 00:00;0;;
ARB;07.10.1879 00:00;0;;
