station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ARI;01.01.1900 00:00;2;;
ARI;02.01.1900 00:00;2.6;;
ARI;03.01.1900 00:00;9.5;;
ARI;04.01.1900 00:00;11;;
ARI;05.01.1900 00:00;5.8;;
ARI;06.01.1900 00:00;0;;
ARI;07.01.1900 00:00;0;;
ARI;08.01.1900 00:00;2.5;;
ARI;09.01.1900 00:00;6.2;;
ARI;10.01.1900 00:00;7.8;;
ARI;11.01.1900 00:00;4.2;;
ARI;12.01.1900 00:00;1.5;;
ARI;13.01.1900 00:00;0;;
ARI;14.01.1900 00:00;0;;
ARI;15.01.1900 00:00;1.2;;
ARI;16.01.1900 00:00;11.4;;
ARI;17.01.1900 00:00;20;;
ARI;18.01.1900 00:00;8.7;;
ARI;19.01.1900 00:00;0.3;;
ARI;20.01.1900 00:00;8.4;;
ARI;21.01.1900 00:00;8.5;;
ARI;22.01.1900 00:00;9.2;;
ARI;23.01.1900 00:00;0;;
ARI;24.01.1900 00:00;5.8;;
ARI;25.01.1900 00:00;4.2;;
ARI;26.01.1900 00:00;0;;
ARI;27.01.1900 00:00;7.6;;
ARI;28.01.1900 00:00;4;;
ARI;29.01.1900 00:00;7.5;;
ARI;30.01.1900 00:00;2.5;;
ARI;31.01.1900 00:00;0.2;;
ARI;01.02.1900 00:00;0;;
ARI;02.02.1900 00:00;0;;
ARI;03.02.1900 00:00;0;;
ARI;04.02.1900 00:00;0;;
ARI;05.02.1900 00:00;0;;
ARI;06.02.1900 00:00;9;;
ARI;07.02.1900 00:00;0;;
ARI;08.02.1900 00:00;0;;
ARI;09.02.1900 00:00;1.2;;
ARI;10.02.1900 00:00;1.8;;
ARI;11.02.1900 00:00;3.2;;
ARI;12.02.1900 00:00;20;;
ARI;13.02.1900 00:00;13.9;;
ARI;14.02.1900 00:00;2.5;;
ARI;15.02.1900 00:00;0;;
ARI;16.02.1900 00:00;1;;
ARI;17.02.1900 00:00;0;;
ARI;18.02.1900 00:00;1.5;;
ARI;19.02.1900 00:00;3;;
ARI;20.02.1900 00:00;0.6;;
ARI;21.02.1900 00:00;2.5;;
ARI;22.02.1900 00:00;1.6;;
ARI;23.02.1900 00:00;1.8;;
ARI;24.02.1900 00:00;0;;
ARI;25.02.1900 00:00;0;;
ARI;26.02.1900 00:00;8.5;;
ARI;27.02.1900 00:00;0.2;;
ARI;28.02.1900 00:00;8;;
ARI;01.03.1900 00:00;8;;
ARI;02.03.1900 00:00;2;;
ARI;03.03.1900 00:00;5.5;;
ARI;04.03.1900 00:00;6.5;;
ARI;05.03.1900 00:00;0;;
ARI;06.03.1900 00:00;0;;
ARI;07.03.1900 00:00;0;;
ARI;08.03.1900 00:00;0;;
ARI;09.03.1900 00:00;0;;
ARI;10.03.1900 00:00;0;;
ARI;11.03.1900 00:00;0;;
ARI;12.03.1900 00:00;0;;
ARI;13.03.1900 00:00;0.7;;
ARI;14.03.1900 00:00;1.3;;
ARI;15.03.1900 00:00;0;;
ARI;16.03.1900 00:00;0;;
ARI;17.03.1900 00:00;5.7;;
ARI;18.03.1900 00:00;0;;
ARI;19.03.1900 00:00;0;;
ARI;20.03.1900 00:00;0;;
ARI;21.03.1900 00:00;0;;
ARI;22.03.1900 00:00;1;;
ARI;23.03.1900 00:00;4;;
ARI;24.03.1900 00:00;8.1;;
ARI;25.03.1900 00:00;0.7;;
