station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ARO;01.01.1890 00:00;;0;
ARO;02.01.1890 00:00;;1;
ARO;03.01.1890 00:00;;0;
ARO;04.01.1890 00:00;;0;
ARO;05.01.1890 00:00;;0;
ARO;06.01.1890 00:00;;0;
ARO;07.01.1890 00:00;;0;
ARO;08.01.1890 00:00;;0;
ARO;09.01.1890 00:00;;0;
ARO;10.01.1890 00:00;;10;
ARO;11.01.1890 00:00;;0;
ARO;12.01.1890 00:00;;19;
ARO;13.01.1890 00:00;;0;
ARO;14.01.1890 00:00;;0;
ARO;15.01.1890 00:00;;0;
ARO;16.01.1890 00:00;;0;
ARO;17.01.1890 00:00;;0;
ARO;18.01.1890 00:00;;0;
ARO;19.01.1890 00:00;;0;
ARO;20.01.1890 00:00;;7;
ARO;21.01.1890 00:00;;3;
ARO;22.01.1890 00:00;;3;
ARO;23.01.1890 00:00;;15;
ARO;24.01.1890 00:00;;30;
ARO;25.01.1890 00:00;;0;
ARO;26.01.1890 00:00;;0;
ARO;27.01.1890 00:00;;0;
ARO;28.01.1890 00:00;;0;
ARO;29.01.1890 00:00;;6;
ARO;30.01.1890 00:00;;0;
ARO;31.01.1890 00:00;;0;
ARO;01.02.1890 00:00;;0;
ARO;02.02.1890 00:00;;0;
ARO;03.02.1890 00:00;;0;
ARO;04.02.1890 00:00;;0;
ARO;05.02.1890 00:00;;0;
ARO;06.02.1890 00:00;;0;
ARO;07.02.1890 00:00;;0;
ARO;08.02.1890 00:00;;0;
ARO;09.02.1890 00:00;;0;
ARO;10.02.1890 00:00;;0;
ARO;11.02.1890 00:00;;0;
ARO;12.02.1890 00:00;;0;
ARO;13.02.1890 00:00;;0;
ARO;14.02.1890 00:00;;0;
ARO;15.02.1890 00:00;;0;
ARO;16.02.1890 00:00;;0;
ARO;17.02.1890 00:00;;0;
ARO;18.02.1890 00:00;;0;
ARO;19.02.1890 00:00;;0;
ARO;20.02.1890 00:00;;0;
ARO;21.02.1890 00:00;;0;
ARO;22.02.1890 00:00;;0;
ARO;23.02.1890 00:00;;0;
ARO;24.02.1890 00:00;;0;
ARO;25.02.1890 00:00;;0;
ARO;26.02.1890 00:00;;0;
ARO;27.02.1890 00:00;;3;
ARO;28.02.1890 00:00;;1;
ARO;01.03.1890 00:00;;0;
ARO;02.03.1890 00:00;;1;
ARO;03.03.1890 00:00;;0;
ARO;04.03.1890 00:00;;0;
ARO;05.03.1890 00:00;;8;
ARO;06.03.1890 00:00;;30;
ARO;07.03.1890 00:00;;0;
ARO;08.03.1890 00:00;;0;
ARO;09.03.1890 00:00;;8;
ARO;10.03.1890 00:00;;0;
ARO;11.03.1890 00:00;;0;
ARO;12.03.1890 00:00;;0;
ARO;13.03.1890 00:00;;0;
ARO;14.03.1890 00:00;;0;
ARO;15.03.1890 00:00;;0;
ARO;16.03.1890 00:00;;0;
ARO;17.03.1890 00:00;;0;
ARO;18.03.1890 00:00;;20;
ARO;19.03.1890 00:00;;7;
ARO;20.03.1890 00:00;;0;
ARO;21.03.1890 00:00;;0;
ARO;22.03.1890 00:00;;7;
ARO;23.03.1890 00:00;;0;
ARO;24.03.1890 00:00;;0;
ARO;25.03.1890 00:00;;0;
ARO;26.03.1890 00:00;;0;
