station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
AST;01.01.1961 00:00;3.5;;
AST;02.01.1961 00:00;0.2;;
AST;03.01.1961 00:00;1.6;;
AST;04.01.1961 00:00;0;;
AST;05.01.1961 00:00;1.2;;
AST;06.01.1961 00:00;0;;
AST;07.01.1961 00:00;0;;
AST;08.01.1961 00:00;0.3;;
AST;09.01.1961 00:00;0.7;;
AST;10.01.1961 00:00;0;;
AST;11.01.1961 00:00;0;;
AST;12.01.1961 00:00;0;;
AST;13.01.1961 00:00;0;;
AST;14.01.1961 00:00;0;;
AST;15.01.1961 00:00;0;;
AST;16.01.1961 00:00;0;;
AST;17.01.1961 00:00;0;;
AST;18.01.1961 00:00;0;;
AST;19.01.1961 00:00;0;;
AST;20.01.1961 00:00;0;;
AST;21.01.1961 00:00;0;;
AST;22.01.1961 00:00;0;;
AST;23.01.1961 00:00;0.4;;
AST;24.01.1961 00:00;0.2;;
AST;25.01.1961 00:00;0;;
AST;26.01.1961 00:00;0;;
AST;27.01.1961 00:00;0;;
AST;28.01.1961 00:00;0;;
AST;29.01.1961 00:00;0;;
AST;30.01.1961 00:00;2.1;;
AST;31.01.1961 00:00;16.5;;
AST;01.02.1961 00:00;3;;
AST;02.02.1961 00:00;5.7;;
AST;03.02.1961 00:00;1.3;;
AST;04.02.1961 00:00;9.2;;
AST;05.02.1961 00:00;2.4;;
AST;06.02.1961 00:00;0;;
AST;07.02.1961 00:00;0;;
AST;08.02.1961 00:00;0;;
AST;09.02.1961 00:00;1.5;;
AST;10.02.1961 00:00;0;;
AST;11.02.1961 00:00;3.5;;
AST;12.02.1961 00:00;0.5;;
AST;13.02.1961 00:00;0;;
AST;14.02.1961 00:00;0;;
AST;15.02.1961 00:00;0;;
AST;16.02.1961 00:00;0;;
AST;17.02.1961 00:00;0;;
AST;18.02.1961 00:00;0;;
AST;19.02.1961 00:00;0;;
AST;20.02.1961 00:00;0;;
AST;21.02.1961 00:00;0;;
AST;22.02.1961 00:00;0;;
AST;23.02.1961 00:00;0;;
AST;24.02.1961 00:00;0;;
AST;25.02.1961 00:00;0;;
AST;26.02.1961 00:00;0;;
AST;27.02.1961 00:00;0;;
AST;28.02.1961 00:00;1.9;;
AST;01.03.1961 00:00;0;;
AST;02.03.1961 00:00;0;;
AST;03.03.1961 00:00;0;;
AST;04.03.1961 00:00;0;;
AST;05.03.1961 00:00;0;;
AST;06.03.1961 00:00;0;;
AST;07.03.1961 00:00;0;;
AST;08.03.1961 00:00;0;;
AST;09.03.1961 00:00;0;;
AST;10.03.1961 00:00;0;;
AST;11.03.1961 00:00;0;;
AST;12.03.1961 00:00;0;;
AST;13.03.1961 00:00;0;;
AST;14.03.1961 00:00;0;;
AST;15.03.1961 00:00;0;;
AST;16.03.1961 00:00;0;;
AST;17.03.1961 00:00;0;;
AST;18.03.1961 00:00;1.7;;
AST;19.03.1961 00:00;0;;
AST;20.03.1961 00:00;0;;
AST;21.03.1961 00:00;0;;
AST;22.03.1961 00:00;0;;
AST;23.03.1961 00:00;0;;
AST;24.03.1961 00:00;0;;
