station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
AUB;01.01.1915 00:00;2;;
AUB;02.01.1915 00:00;2.1;;
AUB;03.01.1915 00:00;10.4;;
AUB;04.01.1915 00:00;5.2;;
AUB;05.01.1915 00:00;10;;
AUB;06.01.1915 00:00;6.2;;
AUB;07.01.1915 00:00;8.6;;
AUB;08.01.1915 00:00;0;;
AUB;09.01.1915 00:00;12.6;;
AUB;10.01.1915 00:00;14.2;;
AUB;11.01.1915 00:00;27.4;;
AUB;12.01.1915 00:00;13.1;;
AUB;13.01.1915 00:00;0;;
AUB;14.01.1915 00:00;0;;
AUB;15.01.1915 00:00;15.8;;
AUB;16.01.1915 00:00;15.6;;
AUB;17.01.1915 00:00;9.8;;
AUB;18.01.1915 00:00;4.2;;
AUB;19.01.1915 00:00;0;;
AUB;20.01.1915 00:00;0;;
AUB;21.01.1915 00:00;3;;
AUB;22.01.1915 00:00;0;;
AUB;23.01.1915 00:00;2;;
AUB;24.01.1915 00:00;0;;
AUB;25.01.1915 00:00;3.4;;
AUB;26.01.1915 00:00;0;;
AUB;27.01.1915 00:00;0;;
AUB;28.01.1915 00:00;8.2;;
AUB;29.01.1915 00:00;0.8;;
AUB;30.01.1915 00:00;0;;
AUB;31.01.1915 00:00;8.4;;
AUB;01.02.1915 00:00;2.1;;
AUB;02.02.1915 00:00;4.3;;
AUB;03.02.1915 00:00;0;;
AUB;04.02.1915 00:00;0;;
AUB;05.02.1915 00:00;0;;
AUB;06.02.1915 00:00;1;;
AUB;07.02.1915 00:00;1.6;;
AUB;08.02.1915 00:00;3.7;;
AUB;09.02.1915 00:00;9.2;;
AUB;10.02.1915 00:00;0;;
AUB;11.02.1915 00:00;0;;
AUB;12.02.1915 00:00;0;;
AUB;13.02.1915 00:00;30.6;;
AUB;14.02.1915 00:00;3.7;;
AUB;15.02.1915 00:00;5.4;;
AUB;16.02.1915 00:00;0;;
AUB;17.02.1915 00:00;0;;
AUB;18.02.1915 00:00;3.6;;
AUB;19.02.1915 00:00;2;;
AUB;20.02.1915 00:00;10.3;;
AUB;21.02.1915 00:00;0;;
AUB;22.02.1915 00:00;17.1;;
AUB;23.02.1915 00:00;6.7;;
AUB;24.02.1915 00:00;0;;
AUB;25.02.1915 00:00;0;;
AUB;26.02.1915 00:00;0;;
AUB;27.02.1915 00:00;0;;
AUB;28.02.1915 00:00;4.7;;
AUB;01.03.1915 00:00;14.5;;
AUB;02.03.1915 00:00;2.6;;
AUB;03.03.1915 00:00;0;;
AUB;04.03.1915 00:00;0;;
AUB;05.03.1915 00:00;0;;
AUB;06.03.1915 00:00;12.1;;
AUB;07.03.1915 00:00;19.7;;
AUB;08.03.1915 00:00;2.4;;
AUB;09.03.1915 00:00;0;;
AUB;10.03.1915 00:00;0;;
AUB;11.03.1915 00:00;0;;
AUB;12.03.1915 00:00;0;;
AUB;13.03.1915 00:00;0;;
AUB;14.03.1915 00:00;3.1;;
AUB;15.03.1915 00:00;0;;
AUB;16.03.1915 00:00;0;;
AUB;17.03.1915 00:00;0;;
AUB;18.03.1915 00:00;5.8;;
AUB;19.03.1915 00:00;0;;
AUB;20.03.1915 00:00;0;;
AUB;21.03.1915 00:00;0;;
AUB;22.03.1915 00:00;0;;
AUB;23.03.1915 00:00;0;;
AUB;24.03.1915 00:00;3.3;;
AUB;25.03.1915 00:00;10.5;;
AUB;26.03.1915 00:00;2;;
AUB;27.03.1915 00:00;14.8;;
AUB;28.03.1915 00:00;3.6;;
AUB;29.03.1915 00:00;1.8;;
AUB;30.03.1915 00:00;6.8;;
AUB;31.03.1915 00:00;0;;
AUB;01.04.1915 00:00;0;;
AUB;02.04.1915 00:00;0;;
AUB;03.04.1915 00:00;3.8;;
AUB;04.04.1915 00:00;9.2;;
AUB;05.04.1915 00:00;3.4;;
AUB;06.04.1915 00:00;13.8;;
AUB;07.04.1915 00:00;36.1;;
AUB;08.04.1915 00:00;15.8;;
AUB;09.04.1915 00:00;13;;
AUB;10.04.1915 00:00;3;;
AUB;11.04.1915 00:00;0;;
AUB;12.04.1915 00:00;0;;
AUB;13.04.1915 00:00;0;;
AUB;14.04.1915 00:00;0;;
AUB;15.04.1915 00:00;0;;
AUB;16.04.1915 00:00;0;;
AUB;17.04.1915 00:00;0;;
AUB;18.04.1915 00:00;0;;
AUB;19.04.1915 00:00;0;;
AUB;20.04.1915 00:00;0;;
AUB;21.04.1915 00:00;1;;
AUB;22.04.1915 00:00;3.3;;
AUB;23.04.1915 00:00;10.9;;
AUB;24.04.1915 00:00;2.8;;
AUB;25.04.1915 00:00;0;;
AUB;26.04.1915 00:00;0;;
AUB;27.04.1915 00:00;0;;
AUB;28.04.1915 00:00;0;;
AUB;29.04.1915 00:00;0;;
AUB;30.04.1915 00:00;0;;
AUB;01.05.1915 00:00;0;;
AUB;02.05.1915 00:00;0;;
AUB;03.05.1915 00:00;0;;
AUB;04.05.1915 00:00;0;;
AUB;05.05.1915 00:00;0;;
AUB;06.05.1915 00:00;2;;
AUB;07.05.1915 00:00;3.2;;
AUB;08.05.1915 00:00;0;;
AUB;09.05.1915 00:00;0;;
AUB;10.05.1915 00:00;2;;
AUB;11.05.1915 00:00;12.7;;
AUB;12.05.1915 00:00;3.8;;
AUB;13.05.1915 00:00;0;;
AUB;14.05.1915 00:00;4;;
AUB;15.05.1915 00:00;0;;
AUB;16.05.1915 00:00;3.3;;
AUB;17.05.1915 00:00;18.2;;
AUB;18.05.1915 00:00;26.4;;
AUB;19.05.1915 00:00;4.3;;
AUB;20.05.1915 00:00;0;;
AUB;21.05.1915 00:00;4.8;;
AUB;22.05.1915 00:00;0;;
AUB;23.05.1915 00:00;0;;
AUB;24.05.1915 00:00;0;;
AUB;25.05.1915 00:00;0;;
AUB;26.05.1915 00:00;1.6;;
AUB;27.05.1915 00:00;34.8;;
AUB;28.05.1915 00:00;16.4;;
AUB;29.05.1915 00:00;8.6;;
AUB;30.05.1915 00:00;0;;
AUB;31.05.1915 00:00;0;;
AUB;01.06.1915 00:00;7.2;;
AUB;02.06.1915 00:00;1.3;;
AUB;03.06.1915 00:00;22.5;;
AUB;04.06.1915 00:00;0;;
AUB;05.06.1915 00:00;0;;
AUB;06.06.1915 00:00;0;;
AUB;07.06.1915 00:00;0;;
AUB;08.06.1915 00:00;0;;
AUB;09.06.1915 00:00;0;;
AUB;10.06.1915 00:00;0;;
AUB;11.06.1915 00:00;1.8;;
AUB;12.06.1915 00:00;0;;
AUB;13.06.1915 00:00;3.6;;
AUB;14.06.1915 00:00;1.6;;
AUB;15.06.1915 00:00;0;;
AUB;16.06.1915 00:00;0;;
AUB;17.06.1915 00:00;0;;
AUB;18.06.1915 00:00;0;;
AUB;19.06.1915 00:00;5.2;;
AUB;20.06.1915 00:00;0;;
AUB;21.06.1915 00:00;0;;
AUB;22.06.1915 00:00;6.4;;
AUB;23.06.1915 00:00;8.6;;
