station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
AVB;01.01.1961 00:00;10.5;;
AVB;02.01.1961 00:00;0;;
AVB;03.01.1961 00:00;27.1;;
AVB;04.01.1961 00:00;0;;
AVB;05.01.1961 00:00;0;;
AVB;06.01.1961 00:00;0;;
AVB;07.01.1961 00:00;0;;
AVB;08.01.1961 00:00;0;;
AVB;09.01.1961 00:00;0;;
AVB;10.01.1961 00:00;2.9;;
AVB;11.01.1961 00:00;7.1;;
AVB;12.01.1961 00:00;0;;
AVB;13.01.1961 00:00;0;;
AVB;14.01.1961 00:00;0;;
AVB;15.01.1961 00:00;0;;
AVB;16.01.1961 00:00;0;;
AVB;17.01.1961 00:00;0;;
AVB;18.01.1961 00:00;0;;
AVB;19.01.1961 00:00;0;;
AVB;20.01.1961 00:00;0;;
AVB;21.01.1961 00:00;0;;
AVB;22.01.1961 00:00;0;;
AVB;23.01.1961 00:00;0;;
AVB;24.01.1961 00:00;0;;
AVB;25.01.1961 00:00;0;;
AVB;26.01.1961 00:00;0;;
AVB;27.01.1961 00:00;0;;
AVB;28.01.1961 00:00;0;;
AVB;29.01.1961 00:00;0;;
AVB;30.01.1961 00:00;0;;
AVB;31.01.1961 00:00;0;;
AVB;01.02.1961 00:00;0;;
AVB;02.02.1961 00:00;10;;
AVB;03.02.1961 00:00;0;;
AVB;04.02.1961 00:00;12.1;;
AVB;05.02.1961 00:00;5.5;;
AVB;06.02.1961 00:00;0;;
AVB;07.02.1961 00:00;0;;
AVB;08.02.1961 00:00;0;;
AVB;09.02.1961 00:00;8.8;;
AVB;10.02.1961 00:00;0;;
AVB;11.02.1961 00:00;6;;
AVB;12.02.1961 00:00;8.5;;
AVB;13.02.1961 00:00;0;;
AVB;14.02.1961 00:00;0;;
AVB;15.02.1961 00:00;0;;
AVB;16.02.1961 00:00;0;;
AVB;17.02.1961 00:00;0;;
AVB;18.02.1961 00:00;0;;
AVB;19.02.1961 00:00;0;;
AVB;20.02.1961 00:00;0;;
AVB;21.02.1961 00:00;6.1;;
AVB;22.02.1961 00:00;0;;
AVB;23.02.1961 00:00;0;;
AVB;24.02.1961 00:00;0;;
AVB;25.02.1961 00:00;0;;
AVB;26.02.1961 00:00;0;;
AVB;27.02.1961 00:00;0;;
AVB;28.02.1961 00:00;4.1;;
AVB;01.03.1961 00:00;9.4;;
AVB;02.03.1961 00:00;0;;
AVB;03.03.1961 00:00;2.1;;
AVB;04.03.1961 00:00;0;;
AVB;05.03.1961 00:00;0;;
AVB;06.03.1961 00:00;0;;
AVB;07.03.1961 00:00;0;;
AVB;08.03.1961 00:00;0;;
AVB;09.03.1961 00:00;0;;
AVB;10.03.1961 00:00;0;;
AVB;11.03.1961 00:00;0;;
AVB;12.03.1961 00:00;0;;
AVB;13.03.1961 00:00;0;;
AVB;14.03.1961 00:00;0;;
AVB;15.03.1961 00:00;0;;
AVB;16.03.1961 00:00;0;;
AVB;17.03.1961 00:00;0;;
AVB;18.03.1961 00:00;8.8;;
AVB;19.03.1961 00:00;0;;
AVB;20.03.1961 00:00;0;;
AVB;21.03.1961 00:00;1.6;;
AVB;22.03.1961 00:00;0;;
AVB;23.03.1961 00:00;0;;
AVB;24.03.1961 00:00;0;;
AVB;25.03.1961 00:00;0;;
AVB;26.03.1961 00:00;0;;
AVB;27.03.1961 00:00;0;;
AVB;28.03.1961 00:00;0;;
AVB;29.03.1961 00:00;0;;
AVB;30.03.1961 00:00;0;;
AVB;31.03.1961 00:00;0;;
AVB;01.04.1961 00:00;2.6;;
AVB;02.04.1961 00:00;0;;
