station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BAM;01.01.1900 00:00;0;;
BAM;02.01.1900 00:00;0;;
BAM;03.01.1900 00:00;0;;
BAM;04.01.1900 00:00;9.2;;
BAM;05.01.1900 00:00;13.4;;
BAM;06.01.1900 00:00;0;;
BAM;07.01.1900 00:00;0;;
BAM;08.01.1900 00:00;0.6;;
BAM;09.01.1900 00:00;0;;
BAM;10.01.1900 00:00;10.2;;
BAM;11.01.1900 00:00;13.3;;
BAM;12.01.1900 00:00;3.8;;
BAM;13.01.1900 00:00;0;;
BAM;14.01.1900 00:00;0;;
BAM;15.01.1900 00:00;3.4;;
BAM;16.01.1900 00:00;31;;
BAM;17.01.1900 00:00;20;;
BAM;18.01.1900 00:00;17;;
BAM;19.01.1900 00:00;0;;
BAM;20.01.1900 00:00;0;;
BAM;21.01.1900 00:00;17.2;;
BAM;22.01.1900 00:00;18.5;;
BAM;23.01.1900 00:00;0;;
BAM;24.01.1900 00:00;13.5;;
BAM;25.01.1900 00:00;3.9;;
BAM;26.01.1900 00:00;0;;
BAM;27.01.1900 00:00;3.2;;
BAM;28.01.1900 00:00;14.8;;
BAM;29.01.1900 00:00;5.6;;
BAM;30.01.1900 00:00;0;;
BAM;31.01.1900 00:00;0;;
BAM;01.02.1900 00:00;0;;
BAM;02.02.1900 00:00;0;;
BAM;03.02.1900 00:00;0;;
BAM;04.02.1900 00:00;0;;
BAM;05.02.1900 00:00;0;;
BAM;06.02.1900 00:00;16.6;;
BAM;07.02.1900 00:00;0;;
BAM;08.02.1900 00:00;0;;
BAM;09.02.1900 00:00;0.1;;
BAM;10.02.1900 00:00;0.2;;
BAM;11.02.1900 00:00;3.4;;
BAM;12.02.1900 00:00;16.8;;
BAM;13.02.1900 00:00;9.2;;
BAM;14.02.1900 00:00;5.6;;
BAM;15.02.1900 00:00;0;;
BAM;16.02.1900 00:00;6.7;;
BAM;17.02.1900 00:00;0;;
BAM;18.02.1900 00:00;0.6;;
BAM;19.02.1900 00:00;5.1;;
BAM;20.02.1900 00:00;4.3;;
BAM;21.02.1900 00:00;6.2;;
BAM;22.02.1900 00:00;0;;
BAM;23.02.1900 00:00;0;;
BAM;24.02.1900 00:00;0;;
BAM;25.02.1900 00:00;0;;
BAM;26.02.1900 00:00;18.4;;
BAM;27.02.1900 00:00;1.8;;
BAM;28.02.1900 00:00;19.5;;
BAM;01.03.1900 00:00;8.6;;
BAM;02.03.1900 00:00;5.7;;
BAM;03.03.1900 00:00;4.9;;
BAM;04.03.1900 00:00;2.1;;
BAM;05.03.1900 00:00;0;;
BAM;06.03.1900 00:00;0;;
BAM;07.03.1900 00:00;0;;
BAM;08.03.1900 00:00;0;;
BAM;09.03.1900 00:00;0;;
BAM;10.03.1900 00:00;0;;
BAM;11.03.1900 00:00;0;;
BAM;12.03.1900 00:00;0;;
BAM;13.03.1900 00:00;5.4;;
BAM;14.03.1900 00:00;0.9;;
BAM;15.03.1900 00:00;0;;
BAM;16.03.1900 00:00;0;;
BAM;17.03.1900 00:00;1.2;;
BAM;18.03.1900 00:00;11.6;;
BAM;19.03.1900 00:00;0;;
BAM;20.03.1900 00:00;0;;
BAM;21.03.1900 00:00;0;;
BAM;22.03.1900 00:00;6.4;;
BAM;23.03.1900 00:00;7.1;;
BAM;24.03.1900 00:00;2.3;;
BAM;25.03.1900 00:00;10.6;;
BAM;26.03.1900 00:00;0.6;;
BAM;27.03.1900 00:00;6.4;;
BAM;28.03.1900 00:00;0;;
BAM;29.03.1900 00:00;5;;
BAM;30.03.1900 00:00;4.6;;
BAM;31.03.1900 00:00;1.4;;
BAM;01.04.1900 00:00;0;;
BAM;02.04.1900 00:00;0;;
BAM;03.04.1900 00:00;1.6;;
BAM;04.04.1900 00:00;7.8;;
BAM;05.04.1900 00:00;6.5;;
BAM;06.04.1900 00:00;5.9;;
BAM;07.04.1900 00:00;8.8;;
BAM;08.04.1900 00:00;17.6;;
BAM;09.04.1900 00:00;2;;
BAM;10.04.1900 00:00;0;;
BAM;11.04.1900 00:00;1.1;;
