station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BAT;01.01.1901 00:00;0.8;;
BAT;02.01.1901 00:00;0.3;;
BAT;03.01.1901 00:00;0;;
BAT;04.01.1901 00:00;0;;
BAT;05.01.1901 00:00;0.5;;
BAT;06.01.1901 00:00;0;;
BAT;07.01.1901 00:00;0;;
BAT;08.01.1901 00:00;0;;
BAT;09.01.1901 00:00;0;;
BAT;10.01.1901 00:00;0;;
BAT;11.01.1901 00:00;0;;
BAT;12.01.1901 00:00;0;;
BAT;13.01.1901 00:00;0;;
BAT;14.01.1901 00:00;0;;
BAT;15.01.1901 00:00;0;;
BAT;16.01.1901 00:00;0;;
BAT;17.01.1901 00:00;0;;
BAT;18.01.1901 00:00;0;;
BAT;19.01.1901 00:00;0;;
BAT;20.01.1901 00:00;3.5;;
BAT;21.01.1901 00:00;8.3;;
BAT;22.01.1901 00:00;0.3;;
BAT;23.01.1901 00:00;0;;
BAT;24.01.1901 00:00;0;;
BAT;25.01.1901 00:00;0;;
BAT;26.01.1901 00:00;12.1;;
BAT;27.01.1901 00:00;32;;
BAT;28.01.1901 00:00;15;;
BAT;29.01.1901 00:00;4.2;;
BAT;30.01.1901 00:00;1;;
BAT;31.01.1901 00:00;0;;
BAT;01.02.1901 00:00;5.5;;
BAT;02.02.1901 00:00;0.5;;
BAT;03.02.1901 00:00;0;;
BAT;04.02.1901 00:00;5;;
BAT;05.02.1901 00:00;3.5;;
BAT;06.02.1901 00:00;1.2;;
BAT;07.02.1901 00:00;1.31;;
BAT;08.02.1901 00:00;1;;
BAT;09.02.1901 00:00;0;;
BAT;10.02.1901 00:00;0;;
BAT;11.02.1901 00:00;1;;
BAT;12.02.1901 00:00;3.8;;
BAT;13.02.1901 00:00;3.7;;
BAT;14.02.1901 00:00;0;;
BAT;15.02.1901 00:00;0;;
BAT;16.02.1901 00:00;3;;
BAT;17.02.1901 00:00;5.6;;
BAT;18.02.1901 00:00;0.5;;
BAT;19.02.1901 00:00;0;;
BAT;20.02.1901 00:00;0;;
BAT;21.02.1901 00:00;0;;
BAT;22.02.1901 00:00;0;;
BAT;23.02.1901 00:00;0;;
BAT;24.02.1901 00:00;0;;
BAT;25.02.1901 00:00;0;;
BAT;26.02.1901 00:00;0;;
BAT;27.02.1901 00:00;0;;
BAT;28.02.1901 00:00;8.5;;
BAT;01.03.1901 00:00;5;;
BAT;02.03.1901 00:00;5.5;;
BAT;03.03.1901 00:00;9.2;;
BAT;04.03.1901 00:00;3;;
BAT;05.03.1901 00:00;5;;
BAT;06.03.1901 00:00;4.2;;
