station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BAU;01.01.1904 00:00;0;;
BAU;02.01.1904 00:00;0;;
BAU;03.01.1904 00:00;0;;
BAU;04.01.1904 00:00;0;;
BAU;05.01.1904 00:00;0;;
BAU;06.01.1904 00:00;0;;
BAU;07.01.1904 00:00;0;;
BAU;08.01.1904 00:00;4.1;;
BAU;09.01.1904 00:00;0;;
BAU;10.01.1904 00:00;0;;
BAU;11.01.1904 00:00;0;;
BAU;12.01.1904 00:00;0;;
BAU;13.01.1904 00:00;2.5;;
BAU;14.01.1904 00:00;13.8;;
BAU;15.01.1904 00:00;3;;
BAU;16.01.1904 00:00;7.3;;
BAU;17.01.1904 00:00;0;;
BAU;18.01.1904 00:00;0.3;;
BAU;19.01.1904 00:00;0;;
BAU;20.01.1904 00:00;0;;
BAU;21.01.1904 00:00;0;;
BAU;22.01.1904 00:00;0;;
BAU;23.01.1904 00:00;0;;
BAU;24.01.1904 00:00;0;;
BAU;25.01.1904 00:00;0;;
BAU;26.01.1904 00:00;0;;
BAU;27.01.1904 00:00;0;;
BAU;28.01.1904 00:00;0;;
BAU;29.01.1904 00:00;0;;
BAU;30.01.1904 00:00;1.9;;
BAU;31.01.1904 00:00;5.9;;
BAU;01.02.1904 00:00;0;;
BAU;02.02.1904 00:00;49.3;;
BAU;03.02.1904 00:00;21;;
BAU;04.02.1904 00:00;9.9;;
BAU;05.02.1904 00:00;1.4;;
BAU;06.02.1904 00:00;0;;
BAU;07.02.1904 00:00;1.5;;
BAU;08.02.1904 00:00;15;;
BAU;09.02.1904 00:00;8.3;;
BAU;10.02.1904 00:00;25.2;;
BAU;11.02.1904 00:00;25.2;;
BAU;12.02.1904 00:00;0;;
BAU;13.02.1904 00:00;13.3;;
BAU;14.02.1904 00:00;12.3;;
BAU;15.02.1904 00:00;5.6;;
BAU;16.02.1904 00:00;6.1;;
BAU;17.02.1904 00:00;12.2;;
BAU;18.02.1904 00:00;2.1;;
BAU;19.02.1904 00:00;0;;
BAU;20.02.1904 00:00;6.7;;
BAU;21.02.1904 00:00;0.1;;
BAU;22.02.1904 00:00;2.8;;
BAU;23.02.1904 00:00;0.1;;
BAU;24.02.1904 00:00;0;;
BAU;25.02.1904 00:00;0;;
BAU;26.02.1904 00:00;0;;
BAU;27.02.1904 00:00;0;;
BAU;28.02.1904 00:00;0;;
BAU;29.02.1904 00:00;0;;
BAU;01.03.1904 00:00;1.2;;
BAU;02.03.1904 00:00;0;;
BAU;03.03.1904 00:00;0;;
BAU;04.03.1904 00:00;0;;
BAU;05.03.1904 00:00;0;;
BAU;06.03.1904 00:00;0;;
BAU;07.03.1904 00:00;0;;
BAU;08.03.1904 00:00;0;;
BAU;09.03.1904 00:00;0.8;;
BAU;10.03.1904 00:00;0;;
BAU;11.03.1904 00:00;0.5;;
BAU;12.03.1904 00:00;0;;
BAU;13.03.1904 00:00;0;;
BAU;14.03.1904 00:00;0;;
BAU;15.03.1904 00:00;1;;
BAU;16.03.1904 00:00;3.1;;
BAU;17.03.1904 00:00;0;;
BAU;18.03.1904 00:00;0;;
BAU;19.03.1904 00:00;0;;
BAU;20.03.1904 00:00;0;;
BAU;21.03.1904 00:00;0;;
BAU;22.03.1904 00:00;0;;
BAU;23.03.1904 00:00;6.4;;
BAU;24.03.1904 00:00;0;;
BAU;25.03.1904 00:00;0.5;;
