station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BIA;01.01.1900 00:00;13.5;;
BIA;02.01.1900 00:00;27.1;;
BIA;03.01.1900 00:00;51.2;;
BIA;04.01.1900 00:00;25.1;;
BIA;05.01.1900 00:00;7.7;;
BIA;06.01.1900 00:00;8.1;;
BIA;07.01.1900 00:00;5.5;;
BIA;08.01.1900 00:00;0;;
BIA;09.01.1900 00:00;0;;
BIA;10.01.1900 00:00;0;;
BIA;11.01.1900 00:00;0;;
BIA;12.01.1900 00:00;0;;
BIA;13.01.1900 00:00;0;;
BIA;14.01.1900 00:00;0;;
BIA;15.01.1900 00:00;0;;
BIA;16.01.1900 00:00;1.6;;
BIA;17.01.1900 00:00;0;;
BIA;18.01.1900 00:00;0.6;;
BIA;19.01.1900 00:00;0;;
BIA;20.01.1900 00:00;0;;
BIA;21.01.1900 00:00;0;;
BIA;22.01.1900 00:00;0;;
BIA;23.01.1900 00:00;0;;
BIA;24.01.1900 00:00;0;;
BIA;25.01.1900 00:00;1.1;;
BIA;26.01.1900 00:00;0;;
BIA;27.01.1900 00:00;0;;
BIA;28.01.1900 00:00;0;;
BIA;29.01.1900 00:00;0;;
BIA;30.01.1900 00:00;0;;
BIA;31.01.1900 00:00;0;;
BIA;01.02.1900 00:00;23.3;;
BIA;02.02.1900 00:00;18.2;;
BIA;03.02.1900 00:00;6.5;;
BIA;04.02.1900 00:00;0;;
BIA;05.02.1900 00:00;0;;
BIA;06.02.1900 00:00;6.9;;
BIA;07.02.1900 00:00;0;;
BIA;08.02.1900 00:00;0;;
BIA;09.02.1900 00:00;0;;
BIA;10.02.1900 00:00;0;;
BIA;11.02.1900 00:00;1.3;;
BIA;12.02.1900 00:00;6.8;;
BIA;13.02.1900 00:00;7.3;;
BIA;14.02.1900 00:00;1.2;;
BIA;15.02.1900 00:00;0;;
BIA;16.02.1900 00:00;0;;
BIA;17.02.1900 00:00;0;;
BIA;18.02.1900 00:00;0;;
BIA;19.02.1900 00:00;36;;
BIA;20.02.1900 00:00;29.8;;
BIA;21.02.1900 00:00;0;;
BIA;22.02.1900 00:00;0;;
BIA;23.02.1900 00:00;0;;
BIA;24.02.1900 00:00;0;;
BIA;25.02.1900 00:00;0;;
BIA;26.02.1900 00:00;15.8;;
BIA;27.02.1900 00:00;0;;
BIA;28.02.1900 00:00;0;;
BIA;01.03.1900 00:00;0;;
BIA;02.03.1900 00:00;0;;
BIA;03.03.1900 00:00;0;;
BIA;04.03.1900 00:00;0;;
BIA;05.03.1900 00:00;0;;
BIA;06.03.1900 00:00;0;;
BIA;07.03.1900 00:00;0;;
BIA;08.03.1900 00:00;0;;
BIA;09.03.1900 00:00;0;;
BIA;10.03.1900 00:00;0;;
BIA;11.03.1900 00:00;0;;
BIA;12.03.1900 00:00;0;;
BIA;13.03.1900 00:00;0;;
BIA;14.03.1900 00:00;0;;
BIA;15.03.1900 00:00;0;;
BIA;16.03.1900 00:00;0.3;;
BIA;17.03.1900 00:00;19.5;;
BIA;18.03.1900 00:00;1.6;;
BIA;19.03.1900 00:00;0.3;;
BIA;20.03.1900 00:00;22.4;;
BIA;21.03.1900 00:00;11.3;;
BIA;22.03.1900 00:00;19.9;;
BIA;23.03.1900 00:00;0.1;;
BIA;24.03.1900 00:00;6.4;;
BIA;25.03.1900 00:00;0.2;;
BIA;26.03.1900 00:00;1.8;;
BIA;27.03.1900 00:00;22.6;;
BIA;28.03.1900 00:00;4.4;;
BIA;29.03.1900 00:00;0.1;;
BIA;30.03.1900 00:00;0;;
BIA;31.03.1900 00:00;0;;
