station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BIO;01.07.1996 00:00;3.3;;
BIO;02.07.1996 00:00;0.2;;
BIO;03.07.1996 00:00;0;;
BIO;04.07.1996 00:00;6.9;;
BIO;05.07.1996 00:00;49.8;;
BIO;06.07.1996 00:00;0.7;;
BIO;07.07.1996 00:00;60.5;;
BIO;08.07.1996 00:00;11.7;;
BIO;09.07.1996 00:00;0;;
BIO;10.07.1996 00:00;1.4;;
BIO;11.07.1996 00:00;0;;
BIO;12.07.1996 00:00;0;;
BIO;13.07.1996 00:00;0;;
BIO;14.07.1996 00:00;0;;
BIO;15.07.1996 00:00;0;;
BIO;16.07.1996 00:00;0;;
BIO;17.07.1996 00:00;0;;
BIO;18.07.1996 00:00;0;;
BIO;19.07.1996 00:00;0;;
BIO;20.07.1996 00:00;0;;
BIO;21.07.1996 00:00;0;;
BIO;22.07.1996 00:00;0;;
BIO;23.07.1996 00:00;3.1;;
BIO;24.07.1996 00:00;0;;
BIO;25.07.1996 00:00;0;;
BIO;26.07.1996 00:00;0;;
BIO;27.07.1996 00:00;11.7;;
BIO;28.07.1996 00:00;0.5;;
BIO;29.07.1996 00:00;4.3;;
BIO;30.07.1996 00:00;0.3;;
BIO;31.07.1996 00:00;0;;
BIO;01.08.1996 00:00;1.6;;
BIO;02.08.1996 00:00;3.3;;
BIO;03.08.1996 00:00;0;;
BIO;04.08.1996 00:00;0;;
BIO;05.08.1996 00:00;18.5;;
BIO;06.08.1996 00:00;6.5;;
BIO;07.08.1996 00:00;0.8;;
BIO;08.08.1996 00:00;0;;
BIO;09.08.1996 00:00;0;;
BIO;10.08.1996 00:00;31.7;;
BIO;11.08.1996 00:00;26.6;;
BIO;12.08.1996 00:00;5.7;;
BIO;13.08.1996 00:00;6;;
BIO;14.08.1996 00:00;0.2;;
BIO;15.08.1996 00:00;0;;
BIO;16.08.1996 00:00;0;;
BIO;17.08.1996 00:00;0;;
BIO;18.08.1996 00:00;0;;
BIO;19.08.1996 00:00;12.5;;
BIO;20.08.1996 00:00;0.5;;
BIO;21.08.1996 00:00;5.9;;
BIO;22.08.1996 00:00;0.3;;
BIO;23.08.1996 00:00;6.5;;
BIO;24.08.1996 00:00;4.2;;
BIO;25.08.1996 00:00;0.1;;
BIO;26.08.1996 00:00;0.4;;
BIO;27.08.1996 00:00;4.8;;
BIO;28.08.1996 00:00;0.3;;
BIO;29.08.1996 00:00;0.6;;
BIO;30.08.1996 00:00;0.1;;
BIO;31.08.1996 00:00;0;;
BIO;01.09.1996 00:00;0.5;;
BIO;02.09.1996 00:00;0;;
BIO;03.09.1996 00:00;0;;
BIO;04.09.1996 00:00;0;;
BIO;05.09.1996 00:00;0;;
BIO;06.09.1996 00:00;0;;
BIO;07.09.1996 00:00;0;;
BIO;08.09.1996 00:00;0;;
BIO;09.09.1996 00:00;0;;
BIO;10.09.1996 00:00;0;;
BIO;11.09.1996 00:00;0;;
BIO;12.09.1996 00:00;4;;
BIO;13.09.1996 00:00;5.5;;
BIO;14.09.1996 00:00;0.5;;
BIO;15.09.1996 00:00;0;;
BIO;16.09.1996 00:00;0;;
BIO;17.09.1996 00:00;0;;
BIO;18.09.1996 00:00;25.1;;
BIO;19.09.1996 00:00;13.1;;
BIO;20.09.1996 00:00;1.3;;
BIO;21.09.1996 00:00;14.7;;
BIO;22.09.1996 00:00;3.5;;
BIO;23.09.1996 00:00;2.4;;
BIO;24.09.1996 00:00;0.3;;
BIO;25.09.1996 00:00;0.2;;
BIO;26.09.1996 00:00;0;;
BIO;27.09.1996 00:00;9.1;;
BIO;28.09.1996 00:00;0;;
BIO;29.09.1996 00:00;0;;
BIO;30.09.1996 00:00;0;;
BIO;01.10.1996 00:00;12.2;;
BIO;02.10.1996 00:00;0.5;;
BIO;03.10.1996 00:00;0;;
BIO;04.10.1996 00:00;0.7;;
BIO;05.10.1996 00:00;0.4;;
BIO;06.10.1996 00:00;0;;
BIO;07.10.1996 00:00;0.5;;
BIO;08.10.1996 00:00;0.5;;
BIO;09.10.1996 00:00;0.1;;
BIO;10.10.1996 00:00;0.1;;
BIO;11.10.1996 00:00;0;;
BIO;12.10.1996 00:00;0.1;;
BIO;13.10.1996 00:00;0.1;;
BIO;14.10.1996 00:00;1.7;;
BIO;15.10.1996 00:00;19.1;;
BIO;16.10.1996 00:00;17.6;;
BIO;17.10.1996 00:00;1.4;;
BIO;18.10.1996 00:00;9;;
BIO;19.10.1996 00:00;7;;
BIO;20.10.1996 00:00;2.1;;
BIO;21.10.1996 00:00;9.2;;
BIO;22.10.1996 00:00;0;;
BIO;23.10.1996 00:00;0.1;;
BIO;24.10.1996 00:00;0;;
BIO;25.10.1996 00:00;0;;
BIO;26.10.1996 00:00;0;;
BIO;27.10.1996 00:00;0;;
BIO;28.10.1996 00:00;12.7;;
BIO;29.10.1996 00:00;9.8;;
BIO;30.10.1996 00:00;0;;
BIO;31.10.1996 00:00;9.8;;
BIO;01.11.1996 00:00;6.6;;
BIO;02.11.1996 00:00;0.2;;
BIO;03.11.1996 00:00;0;;
BIO;04.11.1996 00:00;19.7;;
BIO;05.11.1996 00:00;5.7;;
BIO;06.11.1996 00:00;2.7;;
BIO;07.11.1996 00:00;22;;
BIO;08.11.1996 00:00;0.3;;
BIO;09.11.1996 00:00;0;;
BIO;10.11.1996 00:00;4.1;;
BIO;11.11.1996 00:00;28.1;;
BIO;12.11.1996 00:00;52.3;;
BIO;13.11.1996 00:00;12.3;;
BIO;14.11.1996 00:00;0.1;;
BIO;15.11.1996 00:00;0;;
BIO;16.11.1996 00:00;0;;
BIO;17.11.1996 00:00;1.5;;
BIO;18.11.1996 00:00;23.8;;
BIO;19.11.1996 00:00;13.7;;
BIO;20.11.1996 00:00;4.1;;
BIO;21.11.1996 00:00;3.9;;
BIO;22.11.1996 00:00;0;;
BIO;23.11.1996 00:00;5.8;;
BIO;24.11.1996 00:00;2.3;;
BIO;25.11.1996 00:00;25;;
BIO;26.11.1996 00:00;12.5;;
BIO;27.11.1996 00:00;23.7;;
BIO;28.11.1996 00:00;2.5;;
BIO;29.11.1996 00:00;72.5;;
BIO;30.11.1996 00:00;23;;
BIO;01.12.1996 00:00;9;;
BIO;02.12.1996 00:00;7.3;;
BIO;03.12.1996 00:00;0;;
BIO;04.12.1996 00:00;0;;
BIO;05.12.1996 00:00;0;;
BIO;06.12.1996 00:00;0;;
BIO;07.12.1996 00:00;0;;
BIO;08.12.1996 00:00;0;;
BIO;09.12.1996 00:00;0;;
BIO;10.12.1996 00:00;0;;
BIO;11.12.1996 00:00;0;;
BIO;12.12.1996 00:00;8.3;;
BIO;13.12.1996 00:00;25.9;;
BIO;14.12.1996 00:00;3.3;;
BIO;15.12.1996 00:00;0;;
BIO;16.12.1996 00:00;0;;
BIO;17.12.1996 00:00;0;;
BIO;18.12.1996 00:00;2.7;;
BIO;19.12.1996 00:00;17.8;;
BIO;20.12.1996 00:00;2.3;;
BIO;21.12.1996 00:00;5.5;;
BIO;22.12.1996 00:00;6.3;;
BIO;23.12.1996 00:00;22.7;;
BIO;24.12.1996 00:00;0.4;;
BIO;25.12.1996 00:00;0;;
BIO;26.12.1996 00:00;0;;
BIO;27.12.1996 00:00;0;;
BIO;28.12.1996 00:00;0;;
BIO;29.12.1996 00:00;0;;
BIO;30.12.1996 00:00;1.7;;
BIO;31.12.1996 00:00;1.9;;
BIO;01.01.1997 00:00;1.1;;
BIO;02.01.1997 00:00;3.5;;
BIO;03.01.1997 00:00;1.9;;
BIO;04.01.1997 00:00;0;;
BIO;05.01.1997 00:00;0.9;;
BIO;06.01.1997 00:00;0.1;;
BIO;07.01.1997 00:00;0;;
BIO;08.01.1997 00:00;0.8;;
BIO;09.01.1997 00:00;5;;
BIO;10.01.1997 00:00;0;;
BIO;11.01.1997 00:00;0;;
BIO;12.01.1997 00:00;0;;
BIO;13.01.1997 00:00;0;;
BIO;14.01.1997 00:00;0;;
BIO;15.01.1997 00:00;0;;
BIO;16.01.1997 00:00;0;;
BIO;17.01.1997 00:00;0;;
BIO;18.01.1997 00:00;0;;
BIO;19.01.1997 00:00;10.6;;
BIO;20.01.1997 00:00;22;;
BIO;21.01.1997 00:00;1.9;;
BIO;22.01.1997 00:00;14.2;;
BIO;23.01.1997 00:00;0;;
BIO;24.01.1997 00:00;0;;
BIO;25.01.1997 00:00;0;;
BIO;26.01.1997 00:00;0;;
BIO;27.01.1997 00:00;0.8;;
BIO;28.01.1997 00:00;0;;
BIO;29.01.1997 00:00;0;;
BIO;30.01.1997 00:00;0;;
BIO;31.01.1997 00:00;0;;
BIO;01.02.1997 00:00;0;;
BIO;02.02.1997 00:00;0;;
BIO;03.02.1997 00:00;0;;
BIO;04.02.1997 00:00;0;;
BIO;05.02.1997 00:00;14.9;;
BIO;06.02.1997 00:00;0;;
BIO;07.02.1997 00:00;0;;
