station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BIS;02.11.1964 00:00;;;20
BIS;03.11.1964 00:00;;;20
BIS;04.11.1964 00:00;;;21
BIS;05.11.1964 00:00;;;20
BIS;06.11.1964 00:00;;;20
BIS;07.11.1964 00:00;;;20
BIS;08.11.1964 00:00;;;20
BIS;09.11.1964 00:00;;;20
BIS;10.11.1964 00:00;;;20
BIS;11.11.1964 00:00;;;20
BIS;12.11.1964 00:00;;;20
BIS;13.11.1964 00:00;;;20
BIS;14.11.1964 00:00;;;20
BIS;15.11.1964 00:00;;;20
BIS;16.11.1964 00:00;;;20
BIS;17.11.1964 00:00;;;20
BIS;18.11.1964 00:00;;;20
BIS;19.11.1964 00:00;;;20
BIS;20.11.1964 00:00;;;20
BIS;21.11.1964 00:00;;;20
BIS;22.11.1964 00:00;;;20
BIS;23.11.1964 00:00;;;20
BIS;24.11.1964 00:00;;;20
BIS;25.11.1964 00:00;;;20
BIS;26.11.1964 00:00;;;20
BIS;27.11.1964 00:00;;;20
BIS;28.11.1964 00:00;;;20
BIS;29.11.1964 00:00;;;20
BIS;30.11.1964 00:00;;;38
BIS;01.12.1964 00:00;;;59
BIS;02.12.1964 00:00;;;55
BIS;03.12.1964 00:00;;;47
BIS;04.12.1964 00:00;;;44
BIS;05.12.1964 00:00;;;74
BIS;06.12.1964 00:00;;;87
BIS;07.12.1964 00:00;;;93
BIS;08.12.1964 00:00;;;94
BIS;09.12.1964 00:00;;;83
BIS;10.12.1964 00:00;;;79
BIS;11.12.1964 00:00;;;77
BIS;12.12.1964 00:00;;;72
BIS;13.12.1964 00:00;;;67
BIS;14.12.1964 00:00;;;63
BIS;15.12.1964 00:00;;;58
BIS;16.12.1964 00:00;;;55
BIS;17.12.1964 00:00;;;51
BIS;18.12.1964 00:00;;;48
BIS;19.12.1964 00:00;;;45
BIS;20.12.1964 00:00;;;45
BIS;21.12.1964 00:00;;;48
BIS;22.12.1964 00:00;;;48
BIS;23.12.1964 00:00;;;46
BIS;24.12.1964 00:00;;;45
BIS;25.12.1964 00:00;;;45
BIS;26.12.1964 00:00;;;45
BIS;27.12.1964 00:00;;;51
BIS;28.12.1964 00:00;;;59
BIS;29.12.1964 00:00;;;57
BIS;30.12.1964 00:00;;;60
BIS;31.12.1964 00:00;;;59
BIS;01.01.1965 00:00;;;57
BIS;02.01.1965 00:00;;4;53
BIS;03.01.1965 00:00;;22;49
BIS;04.01.1965 00:00;;37;61
BIS;05.01.1965 00:00;;2;90
