station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BLS;01.10.1972 00:00;;0;
BLS;02.10.1972 00:00;;0;
BLS;03.10.1972 00:00;;0;
BLS;04.10.1972 00:00;;0;
BLS;05.10.1972 00:00;;0;
BLS;06.10.1972 00:00;;0;
BLS;07.10.1972 00:00;;0;
BLS;08.10.1972 00:00;;0;
BLS;09.10.1972 00:00;;0;
BLS;10.10.1972 00:00;;0;
BLS;11.10.1972 00:00;;0;
BLS;12.10.1972 00:00;;0;
BLS;13.10.1972 00:00;;0;
BLS;14.10.1972 00:00;;0;
BLS;15.10.1972 00:00;;0;
BLS;16.10.1972 00:00;;0;
BLS;17.10.1972 00:00;;0;
BLS;18.10.1972 00:00;;0;
BLS;19.10.1972 00:00;;0;
BLS;20.10.1972 00:00;;3;
BLS;21.10.1972 00:00;;7;
BLS;22.10.1972 00:00;;;10
BLS;23.10.1972 00:00;;;10
BLS;24.10.1972 00:00;;0;3
BLS;25.10.1972 00:00;;0;
BLS;26.10.1972 00:00;;0;
BLS;29.10.1972 00:00;;0;
BLS;30.10.1972 00:00;;0;
BLS;31.10.1972 00:00;;0;
BLS;01.11.1972 00:00;;0;
BLS;02.11.1972 00:00;;0;
BLS;03.11.1972 00:00;;0;
BLS;04.11.1972 00:00;;0;
BLS;05.11.1972 00:00;;0;
BLS;06.11.1972 00:00;;0;
BLS;07.11.1972 00:00;;0;
BLS;08.11.1972 00:00;;0;
BLS;09.11.1972 00:00;;0;
BLS;10.11.1972 00:00;;0;
BLS;11.11.1972 00:00;;6;
BLS;12.11.1972 00:00;;0;6
BLS;13.11.1972 00:00;;;0
BLS;14.11.1972 00:00;;8;
BLS;15.11.1972 00:00;;7;
BLS;16.11.1972 00:00;;0;15
BLS;17.11.1972 00:00;;4;0
BLS;18.11.1972 00:00;;30;4
BLS;19.11.1972 00:00;;0;34
BLS;20.11.1972 00:00;;0;0
BLS;21.11.1972 00:00;;;0
BLS;22.11.1972 00:00;;5;
BLS;23.11.1972 00:00;;8;5
BLS;24.11.1972 00:00;;10;13
BLS;25.11.1972 00:00;;8;22
BLS;26.11.1972 00:00;;0;25
BLS;27.11.1972 00:00;;0;25
BLS;28.11.1972 00:00;;0;25
BLS;29.11.1972 00:00;;0;25
BLS;30.11.1972 00:00;;;20
BLS;01.12.1972 00:00;;;5
BLS;02.12.1972 00:00;;0;5
BLS;03.12.1972 00:00;;0;0
BLS;04.12.1972 00:00;;;0
BLS;06.12.1972 00:00;;0;
BLS;07.12.1972 00:00;;0;
BLS;09.12.1972 00:00;;3;
BLS;10.12.1972 00:00;;0;
BLS;11.12.1972 00:00;;0;3
BLS;12.12.1972 00:00;;0;3
BLS;13.12.1972 00:00;;0;
BLS;14.12.1972 00:00;;0;
BLS;15.12.1972 00:00;;0;
BLS;16.12.1972 00:00;;0;
BLS;17.12.1972 00:00;;0;
BLS;18.12.1972 00:00;;0;
BLS;19.12.1972 00:00;;0;
BLS;20.12.1972 00:00;;0;
BLS;21.12.1972 00:00;;0;
