station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BMU;01.01.1900 00:00;0.9;;
BMU;02.01.1900 00:00;0.1;;
BMU;03.01.1900 00:00;4.7;;
BMU;04.01.1900 00:00;13.7;;
BMU;05.01.1900 00:00;8.5;;
BMU;06.01.1900 00:00;0;;
BMU;07.01.1900 00:00;4.2;;
BMU;08.01.1900 00:00;2.5;;
BMU;09.01.1900 00:00;7.8;;
BMU;10.01.1900 00:00;2.5;;
BMU;11.01.1900 00:00;3.5;;
BMU;12.01.1900 00:00;1;;
BMU;13.01.1900 00:00;0;;
BMU;14.01.1900 00:00;0;;
BMU;15.01.1900 00:00;1.9;;
BMU;16.01.1900 00:00;14.5;;
BMU;17.01.1900 00:00;17.3;;
BMU;18.01.1900 00:00;5.5;;
BMU;19.01.1900 00:00;13.8;;
BMU;20.01.1900 00:00;0;;
BMU;21.01.1900 00:00;12.5;;
BMU;22.01.1900 00:00;2.8;;
BMU;23.01.1900 00:00;0;;
BMU;24.01.1900 00:00;7.1;;
BMU;25.01.1900 00:00;3.5;;
BMU;26.01.1900 00:00;0;;
BMU;27.01.1900 00:00;0.5;;
BMU;28.01.1900 00:00;7.4;;
BMU;29.01.1900 00:00;8.3;;
BMU;30.01.1900 00:00;0;;
BMU;31.01.1900 00:00;0;;
BMU;01.02.1900 00:00;0;;
BMU;02.02.1900 00:00;0;;
BMU;03.02.1900 00:00;0.3;;
BMU;04.02.1900 00:00;0;;
BMU;05.02.1900 00:00;0;;
BMU;06.02.1900 00:00;5.7;;
BMU;07.02.1900 00:00;0;;
BMU;08.02.1900 00:00;0;;
BMU;09.02.1900 00:00;3.1;;
BMU;10.02.1900 00:00;2.5;;
BMU;11.02.1900 00:00;2.5;;
BMU;12.02.1900 00:00;18.3;;
BMU;13.02.1900 00:00;5;;
BMU;14.02.1900 00:00;12.5;;
BMU;15.02.1900 00:00;0;;
BMU;16.02.1900 00:00;4;;
BMU;17.02.1900 00:00;0;;
BMU;18.02.1900 00:00;0;;
BMU;19.02.1900 00:00;9.5;;
BMU;20.02.1900 00:00;13.8;;
BMU;21.02.1900 00:00;15.2;;
BMU;22.02.1900 00:00;0;;
BMU;23.02.1900 00:00;2;;
BMU;24.02.1900 00:00;0;;
BMU;25.02.1900 00:00;0;;
BMU;26.02.1900 00:00;0.7;;
BMU;27.02.1900 00:00;0.8;;
BMU;28.02.1900 00:00;10.3;;
BMU;01.03.1900 00:00;10.2;;
BMU;02.03.1900 00:00;2.5;;
BMU;03.03.1900 00:00;3.2;;
BMU;04.03.1900 00:00;1.2;;
BMU;05.03.1900 00:00;0;;
BMU;06.03.1900 00:00;0;;
BMU;07.03.1900 00:00;0;;
BMU;08.03.1900 00:00;0;;
BMU;09.03.1900 00:00;0;;
BMU;10.03.1900 00:00;0;;
BMU;11.03.1900 00:00;0;;
BMU;12.03.1900 00:00;0;;
BMU;13.03.1900 00:00;3;;
BMU;14.03.1900 00:00;1;;
BMU;15.03.1900 00:00;0;;
BMU;16.03.1900 00:00;0;;
BMU;17.03.1900 00:00;5.1;;
BMU;18.03.1900 00:00;3.9;;
BMU;19.03.1900 00:00;0;;
BMU;20.03.1900 00:00;0;;
BMU;21.03.1900 00:00;2.2;;
BMU;22.03.1900 00:00;7.6;;
BMU;23.03.1900 00:00;2.5;;
BMU;24.03.1900 00:00;0;;
BMU;25.03.1900 00:00;3.2;;
BMU;26.03.1900 00:00;2.4;;
BMU;27.03.1900 00:00;4.2;;
BMU;28.03.1900 00:00;3.2;;
BMU;29.03.1900 00:00;5.2;;
BMU;30.03.1900 00:00;5.7;;
BMU;31.03.1900 00:00;0.7;;
BMU;01.04.1900 00:00;0.1;;
BMU;02.04.1900 00:00;0.5;;
BMU;03.04.1900 00:00;0.3;;
BMU;04.04.1900 00:00;1.4;;
BMU;05.04.1900 00:00;2.2;;
BMU;06.04.1900 00:00;6.6;;
BMU;07.04.1900 00:00;4.2;;
BMU;08.04.1900 00:00;0.6;;
BMU;09.04.1900 00:00;1.8;;
BMU;10.04.1900 00:00;0;;
BMU;11.04.1900 00:00;0.8;;
BMU;12.04.1900 00:00;3.1;;
BMU;13.04.1900 00:00;4.7;;
BMU;14.04.1900 00:00;0;;
BMU;15.04.1900 00:00;0;;
BMU;16.04.1900 00:00;3.7;;
BMU;17.04.1900 00:00;0;;
BMU;18.04.1900 00:00;0.4;;
BMU;19.04.1900 00:00;0;;
BMU;20.04.1900 00:00;0;;
BMU;21.04.1900 00:00;0;;
BMU;22.04.1900 00:00;0;;
BMU;23.04.1900 00:00;2.4;;
BMU;24.04.1900 00:00;4.3;;
BMU;25.04.1900 00:00;8.5;;
BMU;26.04.1900 00:00;0;;
BMU;27.04.1900 00:00;0;;
BMU;28.04.1900 00:00;0;;
BMU;29.04.1900 00:00;0.4;;
BMU;30.04.1900 00:00;10.4;;
BMU;01.05.1900 00:00;0;;
BMU;02.05.1900 00:00;0;;
BMU;03.05.1900 00:00;0.1;;
BMU;04.05.1900 00:00;0;;
BMU;05.05.1900 00:00;0;;
BMU;06.05.1900 00:00;0;;
BMU;07.05.1900 00:00;13.3;;
BMU;08.05.1900 00:00;1.1;;
BMU;09.05.1900 00:00;3.7;;
BMU;10.05.1900 00:00;1.4;;
BMU;11.05.1900 00:00;1.1;;
BMU;12.05.1900 00:00;0.8;;
BMU;13.05.1900 00:00;2.2;;
BMU;14.05.1900 00:00;12.4;;
BMU;15.05.1900 00:00;3.9;;
BMU;16.05.1900 00:00;0;;
BMU;17.05.1900 00:00;0;;
BMU;18.05.1900 00:00;2.3;;
BMU;19.05.1900 00:00;0.3;;
BMU;20.05.1900 00:00;0;;
BMU;21.05.1900 00:00;0;;
BMU;22.05.1900 00:00;0;;
BMU;23.05.1900 00:00;12.8;;
BMU;24.05.1900 00:00;15.6;;
BMU;25.05.1900 00:00;6.2;;
BMU;26.05.1900 00:00;0.3;;
BMU;27.05.1900 00:00;0.4;;
BMU;28.05.1900 00:00;7.7;;
BMU;29.05.1900 00:00;0.9;;
BMU;30.05.1900 00:00;0.1;;
BMU;31.05.1900 00:00;0;;
BMU;01.06.1900 00:00;0;;
BMU;02.06.1900 00:00;0;;
BMU;03.06.1900 00:00;0;;
BMU;04.06.1900 00:00;0;;
BMU;05.06.1900 00:00;0;;
BMU;06.06.1900 00:00;5.2;;
