station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BNU;01.06.1977 00:00;0;;
BNU;02.06.1977 00:00;0;;
BNU;03.06.1977 00:00;0;;
BNU;04.06.1977 00:00;0.1;;
BNU;05.06.1977 00:00;5.1;;
BNU;06.06.1977 00:00;0.2;;
BNU;07.06.1977 00:00;0;;
BNU;08.06.1977 00:00;0.2;;
BNU;09.06.1977 00:00;0;;
BNU;10.06.1977 00:00;0.3;;
BNU;11.06.1977 00:00;0;;
BNU;12.06.1977 00:00;0;;
BNU;13.06.1977 00:00;2;;
BNU;14.06.1977 00:00;8.5;;
BNU;15.06.1977 00:00;4.3;;
BNU;16.06.1977 00:00;0;;
BNU;17.06.1977 00:00;0;;
BNU;18.06.1977 00:00;8.2;;
BNU;19.06.1977 00:00;0;;
BNU;20.06.1977 00:00;26.6;;
BNU;21.06.1977 00:00;22.8;;
BNU;22.06.1977 00:00;5.4;;
BNU;23.06.1977 00:00;0;;
BNU;24.06.1977 00:00;0;;
BNU;25.06.1977 00:00;3;;
BNU;26.06.1977 00:00;14.8;;
BNU;27.06.1977 00:00;0;;
BNU;28.06.1977 00:00;0;;
BNU;29.06.1977 00:00;19.5;;
BNU;30.06.1977 00:00;14.8;;
BNU;01.07.1977 00:00;0;;
BNU;02.07.1977 00:00;0;;
BNU;03.07.1977 00:00;0;;
BNU;04.07.1977 00:00;0;;
BNU;05.07.1977 00:00;0;;
BNU;06.07.1977 00:00;0;;
BNU;07.07.1977 00:00;0;;
BNU;08.07.1977 00:00;26;;
BNU;09.07.1977 00:00;1.6;;
BNU;10.07.1977 00:00;13.6;;
BNU;11.07.1977 00:00;0;;
BNU;12.07.1977 00:00;0;;
BNU;13.07.1977 00:00;1.6;;
BNU;14.07.1977 00:00;11.6;;
BNU;15.07.1977 00:00;0;;
BNU;16.07.1977 00:00;0;;
BNU;17.07.1977 00:00;0;;
BNU;18.07.1977 00:00;0;;
BNU;19.07.1977 00:00;0;;
BNU;20.07.1977 00:00;10.9;;
BNU;21.07.1977 00:00;0.1;;
BNU;22.07.1977 00:00;0;;
BNU;23.07.1977 00:00;0;;
BNU;24.07.1977 00:00;0;;
BNU;25.07.1977 00:00;21.9;;
BNU;26.07.1977 00:00;3.3;;
BNU;27.07.1977 00:00;2.1;;
BNU;28.07.1977 00:00;0;;
BNU;29.07.1977 00:00;0.2;;
BNU;30.07.1977 00:00;17.4;;
BNU;31.07.1977 00:00;51.9;;
BNU;01.08.1977 00:00;0;;
BNU;02.08.1977 00:00;0;;
BNU;03.08.1977 00:00;0;;
