station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BOS;01.01.1959 00:00;0;;
BOS;02.01.1959 00:00;0;;
BOS;03.01.1959 00:00;0;;
BOS;04.01.1959 00:00;13.9;;
BOS;05.01.1959 00:00;0;;
BOS;06.01.1959 00:00;3.2;;
BOS;07.01.1959 00:00;3.3;;
BOS;08.01.1959 00:00;7.8;;
BOS;09.01.1959 00:00;4;;
BOS;10.01.1959 00:00;2.4;;
BOS;11.01.1959 00:00;0;;
BOS;12.01.1959 00:00;0;;
BOS;13.01.1959 00:00;3.3;;
BOS;14.01.1959 00:00;6;;
BOS;15.01.1959 00:00;0;;
BOS;16.01.1959 00:00;0;;
BOS;17.01.1959 00:00;0;;
BOS;18.01.1959 00:00;0;;
BOS;19.01.1959 00:00;0;;
BOS;20.01.1959 00:00;16.5;;
BOS;21.01.1959 00:00;6.2;;
BOS;22.01.1959 00:00;7.5;;
BOS;23.01.1959 00:00;2.8;;
BOS;24.01.1959 00:00;4.3;;
BOS;25.01.1959 00:00;0;;
BOS;26.01.1959 00:00;0;;
BOS;27.01.1959 00:00;0;;
BOS;28.01.1959 00:00;0;;
BOS;29.01.1959 00:00;0;;
BOS;30.01.1959 00:00;0;;
BOS;31.01.1959 00:00;0;;
BOS;01.02.1959 00:00;3.5;;
BOS;02.02.1959 00:00;4.1;;
BOS;03.02.1959 00:00;0;;
BOS;04.02.1959 00:00;6.5;;
BOS;05.02.1959 00:00;0;;
BOS;06.02.1959 00:00;0;;
BOS;07.02.1959 00:00;0;;
BOS;08.02.1959 00:00;0;;
BOS;09.02.1959 00:00;0;;
BOS;10.02.1959 00:00;0;;
BOS;11.02.1959 00:00;0;;
BOS;12.02.1959 00:00;0;;
BOS;13.02.1959 00:00;0;;
BOS;14.02.1959 00:00;0;;
BOS;15.02.1959 00:00;0;;
BOS;16.02.1959 00:00;0;;
BOS;17.02.1959 00:00;0;;
BOS;18.02.1959 00:00;0;;
BOS;19.02.1959 00:00;0;;
BOS;20.02.1959 00:00;0;;
BOS;21.02.1959 00:00;0;;
BOS;22.02.1959 00:00;0;;
BOS;23.02.1959 00:00;0;;
BOS;24.02.1959 00:00;0;;
BOS;25.02.1959 00:00;0;;
BOS;26.02.1959 00:00;0;;
BOS;27.02.1959 00:00;0;;
BOS;28.02.1959 00:00;0;;
BOS;01.03.1959 00:00;0;;
BOS;02.03.1959 00:00;0;;
BOS;03.03.1959 00:00;0;;
BOS;04.03.1959 00:00;30;;
BOS;05.03.1959 00:00;5.9;;
