station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BOV;03.12.1966 00:00;;5;
BOV;05.12.1966 00:00;;0;
BOV;06.12.1966 00:00;;0;
BOV;07.12.1966 00:00;;0;
BOV;16.12.1966 00:00;;0;
BOV;17.12.1966 00:00;;0;
BOV;18.12.1966 00:00;;0;
BOV;19.12.1966 00:00;;0;
BOV;22.12.1966 00:00;;13;
BOV;26.12.1966 00:00;;0;
BOV;27.12.1966 00:00;;5;
BOV;03.01.1967 00:00;;0;
BOV;04.01.1967 00:00;;2;
BOV;07.01.1967 00:00;;0;
BOV;08.01.1967 00:00;;0;
BOV;09.01.1967 00:00;;0;
BOV;10.01.1967 00:00;;0;
BOV;11.01.1967 00:00;;0;
BOV;13.01.1967 00:00;;0;
BOV;15.01.1967 00:00;;0;
BOV;16.01.1967 00:00;;0;
BOV;17.01.1967 00:00;;0;
BOV;18.01.1967 00:00;;0;
BOV;19.01.1967 00:00;;0;
BOV;23.01.1967 00:00;;6;
BOV;27.01.1967 00:00;;0;
BOV;28.01.1967 00:00;;0;
BOV;29.01.1967 00:00;;0;
BOV;30.01.1967 00:00;;0;
BOV;31.01.1967 00:00;;0;
BOV;01.02.1967 00:00;;0;
BOV;02.02.1967 00:00;;0;
BOV;03.02.1967 00:00;;0;
BOV;04.02.1967 00:00;;0;
BOV;05.02.1967 00:00;;0;
BOV;06.02.1967 00:00;;0;
BOV;07.02.1967 00:00;;0;
BOV;08.02.1967 00:00;;0;
BOV;09.02.1967 00:00;;0;
BOV;10.02.1967 00:00;;0;
BOV;11.02.1967 00:00;;0;
BOV;12.02.1967 00:00;;0;
BOV;13.02.1967 00:00;;0;
BOV;14.02.1967 00:00;;0;
BOV;15.02.1967 00:00;;0;
BOV;16.02.1967 00:00;;0;
BOV;22.02.1967 00:00;;0;
BOV;24.02.1967 00:00;;0;
BOV;25.02.1967 00:00;;0;
BOV;02.03.1967 00:00;;0;
BOV;03.03.1967 00:00;;0;
BOV;04.03.1967 00:00;;0;
BOV;06.03.1967 00:00;;0;
BOV;08.03.1967 00:00;;0;
BOV;14.03.1967 00:00;;0;
BOV;15.03.1967 00:00;;0;
