station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BOZ;01.01.1939 00:00;2.4;;
BOZ;02.01.1939 00:00;0;;
BOZ;03.01.1939 00:00;1.4;;
BOZ;04.01.1939 00:00;5;;
BOZ;05.01.1939 00:00;3.6;;
BOZ;06.01.1939 00:00;0;;
BOZ;07.01.1939 00:00;0;;
BOZ;08.01.1939 00:00;0;;
BOZ;09.01.1939 00:00;0;;
BOZ;10.01.1939 00:00;0;;
BOZ;11.01.1939 00:00;1.6;;
BOZ;12.01.1939 00:00;2.4;;
BOZ;13.01.1939 00:00;0.5;;
BOZ;14.01.1939 00:00;0;;
BOZ;15.01.1939 00:00;0.4;;
BOZ;16.01.1939 00:00;1;;
BOZ;17.01.1939 00:00;4.4;;
BOZ;18.01.1939 00:00;25;;
BOZ;19.01.1939 00:00;1.4;;
BOZ;20.01.1939 00:00;3.2;;
BOZ;21.01.1939 00:00;4.5;;
BOZ;22.01.1939 00:00;4.5;;
BOZ;23.01.1939 00:00;22;;
BOZ;24.01.1939 00:00;0.8;;
BOZ;25.01.1939 00:00;12;;
BOZ;26.01.1939 00:00;0;;
BOZ;27.01.1939 00:00;0;;
BOZ;28.01.1939 00:00;0;;
BOZ;29.01.1939 00:00;0;;
BOZ;30.01.1939 00:00;0;;
BOZ;31.01.1939 00:00;0;;
BOZ;01.02.1939 00:00;0;;
BOZ;02.02.1939 00:00;0;;
BOZ;03.02.1939 00:00;0;;
BOZ;04.02.1939 00:00;0;;
BOZ;05.02.1939 00:00;0;;
BOZ;06.02.1939 00:00;0;;
BOZ;07.02.1939 00:00;0;;
BOZ;08.02.1939 00:00;0;;
BOZ;09.02.1939 00:00;1.2;;
BOZ;10.02.1939 00:00;0;;
BOZ;11.02.1939 00:00;0;;
BOZ;12.02.1939 00:00;0;;
BOZ;13.02.1939 00:00;1;;
BOZ;14.02.1939 00:00;0.3;;
BOZ;15.02.1939 00:00;0;;
BOZ;16.02.1939 00:00;0;;
BOZ;17.02.1939 00:00;3.6;;
BOZ;18.02.1939 00:00;0;;
BOZ;19.02.1939 00:00;0;;
BOZ;20.02.1939 00:00;1.9;;
BOZ;21.02.1939 00:00;0;;
BOZ;22.02.1939 00:00;0;;
BOZ;23.02.1939 00:00;0.5;;
BOZ;24.02.1939 00:00;1;;
BOZ;25.02.1939 00:00;0;;
BOZ;26.02.1939 00:00;0.8;;
BOZ;27.02.1939 00:00;0;;
BOZ;28.02.1939 00:00;6;;
BOZ;01.03.1939 00:00;0;;
BOZ;02.03.1939 00:00;0;;
BOZ;03.03.1939 00:00;0;;
BOZ;04.03.1939 00:00;0;;
BOZ;05.03.1939 00:00;6;;
BOZ;06.03.1939 00:00;2.7;;
BOZ;07.03.1939 00:00;11.3;;
BOZ;08.03.1939 00:00;13.4;;
BOZ;09.03.1939 00:00;0.3;;
BOZ;10.03.1939 00:00;0;;
BOZ;11.03.1939 00:00;0;;
BOZ;12.03.1939 00:00;0;;
BOZ;13.03.1939 00:00;0;;
BOZ;14.03.1939 00:00;9.8;;
BOZ;15.03.1939 00:00;6;;
BOZ;16.03.1939 00:00;1;;
BOZ;17.03.1939 00:00;4.8;;
BOZ;18.03.1939 00:00;0;;
BOZ;19.03.1939 00:00;0;;
BOZ;20.03.1939 00:00;0;;
BOZ;21.03.1939 00:00;5.8;;
BOZ;22.03.1939 00:00;4.1;;
BOZ;23.03.1939 00:00;2;;
BOZ;24.03.1939 00:00;0;;
BOZ;25.03.1939 00:00;0;;
BOZ;26.03.1939 00:00;0;;
BOZ;27.03.1939 00:00;0;;
BOZ;28.03.1939 00:00;0;;
BOZ;29.03.1939 00:00;0;;
BOZ;30.03.1939 00:00;0;;
BOZ;31.03.1939 00:00;0;;
BOZ;01.04.1939 00:00;0;;
BOZ;02.04.1939 00:00;18.5;;
BOZ;03.04.1939 00:00;0;;
BOZ;04.04.1939 00:00;10.8;;
BOZ;05.04.1939 00:00;24.5;;
BOZ;06.04.1939 00:00;28;;
BOZ;07.04.1939 00:00;5.5;;
BOZ;08.04.1939 00:00;0;;
BOZ;09.04.1939 00:00;0;;
BOZ;10.04.1939 00:00;0;;
BOZ;11.04.1939 00:00;0;;
BOZ;12.04.1939 00:00;0;;
