station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BRA;01.01.1901 00:00;0;;
BRA;02.01.1901 00:00;0;;
BRA;03.01.1901 00:00;0;;
BRA;04.01.1901 00:00;0;;
BRA;05.01.1901 00:00;0.2;;
BRA;06.01.1901 00:00;0;;
BRA;07.01.1901 00:00;0;;
BRA;08.01.1901 00:00;0;;
BRA;09.01.1901 00:00;0;;
BRA;10.01.1901 00:00;0.2;;
BRA;11.01.1901 00:00;0;;
BRA;12.01.1901 00:00;0;;
BRA;13.01.1901 00:00;0;;
BRA;14.01.1901 00:00;0;;
BRA;15.01.1901 00:00;0;;
BRA;16.01.1901 00:00;0;;
BRA;17.01.1901 00:00;0;;
BRA;18.01.1901 00:00;0;;
BRA;19.01.1901 00:00;0;;
BRA;20.01.1901 00:00;0;;
BRA;21.01.1901 00:00;0;;
BRA;22.01.1901 00:00;0;;
BRA;23.01.1901 00:00;0;;
BRA;24.01.1901 00:00;0;;
BRA;25.01.1901 00:00;0;;
BRA;26.01.1901 00:00;0;;
BRA;27.01.1901 00:00;0;;
BRA;28.01.1901 00:00;0.5;;
BRA;29.01.1901 00:00;2.1;;
BRA;30.01.1901 00:00;1.5;;
BRA;31.01.1901 00:00;0;;
BRA;01.02.1901 00:00;16;;
BRA;02.02.1901 00:00;3.7;;
BRA;03.02.1901 00:00;5;;
BRA;04.02.1901 00:00;16;;
BRA;05.02.1901 00:00;20.5;;
BRA;06.02.1901 00:00;0;;
BRA;07.02.1901 00:00;0;;
BRA;08.02.1901 00:00;0;;
BRA;09.02.1901 00:00;0;;
BRA;10.02.1901 00:00;0;;
BRA;11.02.1901 00:00;0;;
BRA;12.02.1901 00:00;0;;
BRA;13.02.1901 00:00;0;;
BRA;14.02.1901 00:00;0;;
BRA;15.02.1901 00:00;0;;
BRA;16.02.1901 00:00;0;;
BRA;17.02.1901 00:00;1.4;;
BRA;18.02.1901 00:00;0;;
BRA;19.02.1901 00:00;0;;
BRA;20.02.1901 00:00;0;;
BRA;21.02.1901 00:00;0;;
BRA;22.02.1901 00:00;0;;
BRA;23.02.1901 00:00;0;;
BRA;24.02.1901 00:00;0;;
BRA;25.02.1901 00:00;0;;
BRA;26.02.1901 00:00;0;;
BRA;27.02.1901 00:00;0;;
BRA;28.02.1901 00:00;1.6;;
BRA;01.03.1901 00:00;5.3;;
BRA;02.03.1901 00:00;4;;
BRA;03.03.1901 00:00;6.7;;
BRA;04.03.1901 00:00;1.1;;
BRA;05.03.1901 00:00;0.3;;
BRA;06.03.1901 00:00;12.5;;
BRA;07.03.1901 00:00;0;;
BRA;08.03.1901 00:00;0;;
BRA;09.03.1901 00:00;1.3;;
BRA;10.03.1901 00:00;40.3;;
BRA;11.03.1901 00:00;13;;
BRA;12.03.1901 00:00;0.6;;
BRA;13.03.1901 00:00;2.3;;
BRA;14.03.1901 00:00;41.3;;
