station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BRO;02.12.1968 00:00;;;2
BRO;03.12.1968 00:00;;;2
BRO;04.12.1968 00:00;;;2
BRO;05.12.1968 00:00;;;2
BRO;06.12.1968 00:00;;;2
BRO;07.12.1968 00:00;;;2
BRO;08.12.1968 00:00;;;2
BRO;09.12.1968 00:00;;;2
BRO;10.12.1968 00:00;;;2
BRO;11.12.1968 00:00;;;2
BRO;12.12.1968 00:00;;;2
BRO;13.12.1968 00:00;;;2
BRO;14.12.1968 00:00;;;2
BRO;15.12.1968 00:00;;;2
BRO;16.12.1968 00:00;;;2
BRO;17.12.1968 00:00;;;2
BRO;18.12.1968 00:00;;;5
BRO;19.12.1968 00:00;;;11
BRO;20.12.1968 00:00;;;8
BRO;21.12.1968 00:00;;;6
BRO;22.12.1968 00:00;;;5
BRO;23.12.1968 00:00;;;4
BRO;24.12.1968 00:00;;;2
BRO;25.12.1968 00:00;;;4
BRO;26.12.1968 00:00;;;6
BRO;27.12.1968 00:00;;;2
BRO;28.12.1968 00:00;;;7
BRO;29.12.1968 00:00;;;14
BRO;30.12.1968 00:00;;;19
BRO;31.12.1968 00:00;;;14
BRO;01.01.1969 00:00;;;11
BRO;02.01.1969 00:00;;;11
BRO;03.01.1969 00:00;;;11
BRO;04.01.1969 00:00;;;13
BRO;05.01.1969 00:00;;;12
BRO;06.01.1969 00:00;;;10
BRO;07.01.1969 00:00;;;10
BRO;08.01.1969 00:00;;;10
BRO;09.01.1969 00:00;;;8
BRO;10.01.1969 00:00;;;16
BRO;11.01.1969 00:00;;;14
BRO;12.01.1969 00:00;;;14
BRO;13.01.1969 00:00;;;14
BRO;14.01.1969 00:00;;;13
BRO;15.01.1969 00:00;;;11
BRO;16.01.1969 00:00;;;9
BRO;17.01.1969 00:00;;;9
BRO;18.01.1969 00:00;;;16
BRO;19.01.1969 00:00;;;7
BRO;20.01.1969 00:00;;;8
BRO;21.01.1969 00:00;;;8
BRO;22.01.1969 00:00;;;6
BRO;23.01.1969 00:00;;;6
BRO;24.01.1969 00:00;;;6
BRO;25.01.1969 00:00;;;5
BRO;26.01.1969 00:00;;;5
BRO;27.01.1969 00:00;;;5
BRO;28.01.1969 00:00;;;5
BRO;29.01.1969 00:00;;;5
BRO;30.01.1969 00:00;;;2
BRO;31.01.1969 00:00;;;2
BRO;01.02.1969 00:00;0;0;0
BRO;02.02.1969 00:00;11.2;17;0
BRO;03.02.1969 00:00;0;0;17
BRO;04.02.1969 00:00;0;0;17
BRO;05.02.1969 00:00;0;0;14
BRO;06.02.1969 00:00;0;0;11
BRO;07.02.1969 00:00;5;7;11
BRO;08.02.1969 00:00;1.4;1;18
BRO;09.02.1969 00:00;0;0;19
BRO;10.02.1969 00:00;2;4;16
BRO;11.02.1969 00:00;0.7;1;20
BRO;12.02.1969 00:00;3;1;20
BRO;13.02.1969 00:00;0.5;0;20
BRO;14.02.1969 00:00;0.4;0;20
BRO;15.02.1969 00:00;5.2;8;19
BRO;16.02.1969 00:00;0.9;3;27
BRO;17.02.1969 00:00;0;0;30
BRO;18.02.1969 00:00;4.2;5;29
BRO;19.02.1969 00:00;4.1;0;26
BRO;20.02.1969 00:00;0;0;19
BRO;21.02.1969 00:00;0;0;16
BRO;22.02.1969 00:00;0.1;0;15
BRO;23.02.1969 00:00;1.3;0;15
BRO;24.02.1969 00:00;11.5;0;14
BRO;25.02.1969 00:00;8;1;13
BRO;26.02.1969 00:00;0;0;14
BRO;27.02.1969 00:00;0;0;12
BRO;28.02.1969 00:00;0;0;10
BRO;01.03.1969 00:00;0;0;10
BRO;02.03.1969 00:00;0;0;10
BRO;03.03.1969 00:00;0;0;10
BRO;04.03.1969 00:00;0;0;8
BRO;05.03.1969 00:00;0.2;0;7
BRO;06.03.1969 00:00;0;0;6
BRO;07.03.1969 00:00;0;0;6
BRO;08.03.1969 00:00;0;0;6
BRO;09.03.1969 00:00;0;0;0
BRO;10.03.1969 00:00;0;0;0
BRO;11.03.1969 00:00;0.8;0;0
BRO;12.03.1969 00:00;1.2;0;0
BRO;13.03.1969 00:00;5.4;0;0
BRO;14.03.1969 00:00;8.8;0;0
BRO;15.03.1969 00:00;0;0;0
BRO;16.03.1969 00:00;0.5;0;0
BRO;17.03.1969 00:00;7.3;0;0
BRO;18.03.1969 00:00;0;0;0
BRO;19.03.1969 00:00;0;0;0
BRO;20.03.1969 00:00;0.1;0;0
BRO;21.03.1969 00:00;0;0;0
BRO;22.03.1969 00:00;2.3;0;0
BRO;23.03.1969 00:00;13.1;2;0
BRO;24.03.1969 00:00;2.4;2;2
BRO;25.03.1969 00:00;0.2;0;4
BRO;26.03.1969 00:00;0;0;0
BRO;27.03.1969 00:00;0;0;0
BRO;28.03.1969 00:00;0;0;0
BRO;29.03.1969 00:00;0;0;0
BRO;30.03.1969 00:00;0;0;0
BRO;31.03.1969 00:00;0.2;0;0
BRO;01.04.1969 00:00;10.6;1;0
BRO;02.04.1969 00:00;0;0;1
BRO;03.04.1969 00:00;0;0;0
BRO;04.04.1969 00:00;0;0;0
BRO;05.04.1969 00:00;0;0;0
BRO;06.04.1969 00:00;0;0;0
BRO;07.04.1969 00:00;0;0;0
BRO;08.04.1969 00:00;0;0;0
BRO;09.04.1969 00:00;0;0;0
BRO;10.04.1969 00:00;0;0;0
BRO;11.04.1969 00:00;3;0;0
BRO;12.04.1969 00:00;17.8;0;0
BRO;13.04.1969 00:00;3.9;1;0
BRO;14.04.1969 00:00;1.4;0;1
BRO;15.04.1969 00:00;9.9;0;0
BRO;16.04.1969 00:00;3.3;0;0
BRO;17.04.1969 00:00;2.2;0;0
BRO;18.04.1969 00:00;0;0;0
BRO;19.04.1969 00:00;0;0;0
BRO;20.04.1969 00:00;2.4;0;0
BRO;21.04.1969 00:00;3.7;0;0
BRO;22.04.1969 00:00;23.2;0;0
BRO;23.04.1969 00:00;3.1;0;0
BRO;24.04.1969 00:00;0;0;0
BRO;25.04.1969 00:00;0;0;0
BRO;26.04.1969 00:00;2.4;0;0
BRO;27.04.1969 00:00;16.6;0;0
BRO;28.04.1969 00:00;0;0;0
BRO;29.04.1969 00:00;0.1;0;0
BRO;30.04.1969 00:00;1.1;0;0
BRO;01.05.1969 00:00;3.6;0;0
BRO;02.05.1969 00:00;0;0;0
BRO;03.05.1969 00:00;2.6;0;0
BRO;04.05.1969 00:00;17.9;0;0
BRO;05.05.1969 00:00;0;0;0
BRO;06.05.1969 00:00;14.5;0;0
BRO;07.05.1969 00:00;1.1;0;0
BRO;08.05.1969 00:00;0;0;0
BRO;09.05.1969 00:00;7.1;0;0
BRO;10.05.1969 00:00;0.6;0;0
BRO;11.05.1969 00:00;0;0;0
BRO;12.05.1969 00:00;0;0;0
BRO;13.05.1969 00:00;0;0;0
BRO;14.05.1969 00:00;0;0;0
BRO;15.05.1969 00:00;0;0;0
BRO;16.05.1969 00:00;2.4;0;0
BRO;17.05.1969 00:00;0;0;0
BRO;18.05.1969 00:00;8;0;0
BRO;19.05.1969 00:00;0;0;0
BRO;20.05.1969 00:00;0;0;0
BRO;21.05.1969 00:00;0;0;0
BRO;22.05.1969 00:00;0;0;0
BRO;23.05.1969 00:00;0;0;0
BRO;24.05.1969 00:00;0;0;0
BRO;25.05.1969 00:00;5;0;0
BRO;26.05.1969 00:00;0.8;0;0
BRO;27.05.1969 00:00;0;0;0
BRO;28.05.1969 00:00;1.6;0;0
BRO;29.05.1969 00:00;0;0;0
BRO;30.05.1969 00:00;4.2;0;0
BRO;31.05.1969 00:00;0;0;0
BRO;01.06.1969 00:00;0;0;0
BRO;02.06.1969 00:00;0;0;0
BRO;03.06.1969 00:00;11.2;0;0
BRO;04.06.1969 00:00;14;0;0
BRO;05.06.1969 00:00;1.2;0;0
BRO;06.06.1969 00:00;1.6;0;0
BRO;07.06.1969 00:00;0.3;0;0
BRO;08.06.1969 00:00;0;0;0
BRO;09.06.1969 00:00;0;0;0
BRO;10.06.1969 00:00;0;0;0
