station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BSG;01.01.1901 00:00;0;;
BSG;02.01.1901 00:00;0;;
BSG;03.01.1901 00:00;0;;
BSG;04.01.1901 00:00;0;;
BSG;05.01.1901 00:00;0;;
BSG;06.01.1901 00:00;0;;
BSG;07.01.1901 00:00;0;;
BSG;08.01.1901 00:00;0;;
BSG;09.01.1901 00:00;0;;
BSG;10.01.1901 00:00;0;;
BSG;11.01.1901 00:00;0;;
BSG;12.01.1901 00:00;0;;
BSG;13.01.1901 00:00;0;;
BSG;14.01.1901 00:00;0;;
BSG;15.01.1901 00:00;0;;
BSG;16.01.1901 00:00;0;;
BSG;17.01.1901 00:00;0;;
BSG;18.01.1901 00:00;0;;
BSG;19.01.1901 00:00;0;;
BSG;20.01.1901 00:00;0;;
BSG;21.01.1901 00:00;0;;
BSG;22.01.1901 00:00;0;;
BSG;23.01.1901 00:00;0;;
BSG;24.01.1901 00:00;0;;
BSG;25.01.1901 00:00;0;;
BSG;26.01.1901 00:00;0;;
BSG;27.01.1901 00:00;0;;
BSG;28.01.1901 00:00;0;;
BSG;29.01.1901 00:00;0;;
BSG;30.01.1901 00:00;0;;
BSG;31.01.1901 00:00;0;;
BSG;01.02.1901 00:00;13.6;;
BSG;02.02.1901 00:00;1;;
BSG;03.02.1901 00:00;3.4;;
BSG;04.02.1901 00:00;24.4;;
BSG;05.02.1901 00:00;7.6;;
BSG;06.02.1901 00:00;0;;
BSG;07.02.1901 00:00;0;;
BSG;08.02.1901 00:00;0;;
BSG;09.02.1901 00:00;0;;
BSG;10.02.1901 00:00;0;;
BSG;11.02.1901 00:00;0;;
BSG;12.02.1901 00:00;0;;
BSG;13.02.1901 00:00;0;;
BSG;14.02.1901 00:00;0;;
BSG;15.02.1901 00:00;0;;
BSG;16.02.1901 00:00;0;;
BSG;17.02.1901 00:00;1;;
BSG;18.02.1901 00:00;0;;
BSG;19.02.1901 00:00;0;;
BSG;20.02.1901 00:00;0;;
BSG;21.02.1901 00:00;0;;
BSG;22.02.1901 00:00;0;;
BSG;23.02.1901 00:00;0;;
BSG;24.02.1901 00:00;0;;
BSG;25.02.1901 00:00;0;;
BSG;26.02.1901 00:00;0;;
BSG;27.02.1901 00:00;0;;
BSG;28.02.1901 00:00;0;;
BSG;01.03.1901 00:00;1;;
BSG;02.03.1901 00:00;0;;
BSG;03.03.1901 00:00;25;;
BSG;04.03.1901 00:00;0;;
BSG;05.03.1901 00:00;0;;
BSG;06.03.1901 00:00;8.5;;
BSG;07.03.1901 00:00;0;;
BSG;08.03.1901 00:00;0;;
BSG;09.03.1901 00:00;2.5;;
BSG;10.03.1901 00:00;53;;
BSG;11.03.1901 00:00;20;;
BSG;12.03.1901 00:00;4.3;;
BSG;13.03.1901 00:00;0.9;;
BSG;14.03.1901 00:00;16.9;;
BSG;15.03.1901 00:00;51;;
BSG;16.03.1901 00:00;3.5;;
BSG;17.03.1901 00:00;32.9;;
BSG;18.03.1901 00:00;36.2;;
BSG;19.03.1901 00:00;65.5;;
BSG;20.03.1901 00:00;16.2;;
BSG;21.03.1901 00:00;0;;
BSG;22.03.1901 00:00;0;;
BSG;23.03.1901 00:00;0;;
BSG;24.03.1901 00:00;0;;
BSG;25.03.1901 00:00;0;;
BSG;26.03.1901 00:00;0;;
BSG;27.03.1901 00:00;0;;
BSG;28.03.1901 00:00;0;;
BSG;29.03.1901 00:00;0;;
BSG;30.03.1901 00:00;0;;
BSG;31.03.1901 00:00;2.2;;
BSG;01.04.1901 00:00;27;;
BSG;02.04.1901 00:00;15.8;;
BSG;03.04.1901 00:00;1.2;;
BSG;04.04.1901 00:00;1.1;;
BSG;05.04.1901 00:00;0;;
BSG;06.04.1901 00:00;4.7;;
BSG;07.04.1901 00:00;0;;
BSG;08.04.1901 00:00;0;;
BSG;09.04.1901 00:00;27.8;;
BSG;10.04.1901 00:00;41.5;;
BSG;11.04.1901 00:00;5.84;;
BSG;12.04.1901 00:00;40;;
BSG;13.04.1901 00:00;0;;
BSG;14.04.1901 00:00;0;;
BSG;15.04.1901 00:00;0;;
BSG;16.04.1901 00:00;0;;
BSG;17.04.1901 00:00;0;;
BSG;18.04.1901 00:00;0;;
BSG;19.04.1901 00:00;0;;
BSG;20.04.1901 00:00;0;;
BSG;21.04.1901 00:00;0;;
BSG;22.04.1901 00:00;0;;
BSG;23.04.1901 00:00;0;;
BSG;24.04.1901 00:00;0;;
BSG;25.04.1901 00:00;0;;
BSG;26.04.1901 00:00;31.9;;
BSG;27.04.1901 00:00;44.5;;
BSG;28.04.1901 00:00;15;;
BSG;29.04.1901 00:00;27.7;;
BSG;30.04.1901 00:00;5;;
BSG;01.05.1901 00:00;0;;
BSG;02.05.1901 00:00;0;;
BSG;03.05.1901 00:00;0;;
BSG;04.05.1901 00:00;0;;
BSG;05.05.1901 00:00;0;;
BSG;06.05.1901 00:00;20;;
BSG;07.05.1901 00:00;2.5;;
BSG;08.05.1901 00:00;30.3;;
BSG;09.05.1901 00:00;2.1;;
BSG;10.05.1901 00:00;0;;
BSG;11.05.1901 00:00;0;;
