station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BSP;01.01.1900 00:00;0;;
BSP;02.01.1900 00:00;0;;
BSP;03.01.1900 00:00;12.2;;
BSP;04.01.1900 00:00;14;;
BSP;05.01.1900 00:00;0;;
BSP;06.01.1900 00:00;0;;
BSP;07.01.1900 00:00;8.1;;
BSP;08.01.1900 00:00;0.4;;
BSP;09.01.1900 00:00;0.8;;
BSP;10.01.1900 00:00;7;;
BSP;11.01.1900 00:00;0;;
BSP;12.01.1900 00:00;0;;
BSP;13.01.1900 00:00;0;;
BSP;14.01.1900 00:00;0;;
BSP;15.01.1900 00:00;0;;
BSP;16.01.1900 00:00;9.2;;
BSP;17.01.1900 00:00;0;;
BSP;18.01.1900 00:00;0;;
BSP;19.01.1900 00:00;7.9;;
BSP;20.01.1900 00:00;0;;
BSP;21.01.1900 00:00;0;;
BSP;22.01.1900 00:00;4.8;;
BSP;23.01.1900 00:00;0;;
BSP;24.01.1900 00:00;0;;
BSP;25.01.1900 00:00;0;;
BSP;26.01.1900 00:00;1.2;;
BSP;27.01.1900 00:00;3.9;;
BSP;28.01.1900 00:00;2.4;;
BSP;29.01.1900 00:00;0;;
BSP;30.01.1900 00:00;0;;
BSP;31.01.1900 00:00;0;;
BSP;01.02.1900 00:00;0;;
BSP;02.02.1900 00:00;0;;
BSP;03.02.1900 00:00;2.5;;
BSP;04.02.1900 00:00;0;;
BSP;05.02.1900 00:00;0;;
BSP;06.02.1900 00:00;7.2;;
BSP;07.02.1900 00:00;0;;
BSP;08.02.1900 00:00;0;;
BSP;09.02.1900 00:00;0;;
BSP;10.02.1900 00:00;0;;
BSP;11.02.1900 00:00;0;;
BSP;12.02.1900 00:00;62.2;;
BSP;13.02.1900 00:00;22.7;;
BSP;14.02.1900 00:00;1.5;;
BSP;15.02.1900 00:00;7.5;;
BSP;16.02.1900 00:00;14.5;;
BSP;17.02.1900 00:00;2.3;;
BSP;18.02.1900 00:00;6;;
BSP;19.02.1900 00:00;0;;
BSP;20.02.1900 00:00;0;;
BSP;21.02.1900 00:00;0;;
BSP;22.02.1900 00:00;0;;
BSP;23.02.1900 00:00;0;;
BSP;24.02.1900 00:00;0;;
BSP;25.02.1900 00:00;0;;
BSP;26.02.1900 00:00;11.2;;
BSP;27.02.1900 00:00;0;;
BSP;28.02.1900 00:00;0;;
BSP;01.03.1900 00:00;0;;
BSP;02.03.1900 00:00;0;;
BSP;03.03.1900 00:00;0;;
BSP;04.03.1900 00:00;0;;
BSP;05.03.1900 00:00;0;;
BSP;06.03.1900 00:00;0;;
BSP;07.03.1900 00:00;0;;
BSP;08.03.1900 00:00;0;;
BSP;09.03.1900 00:00;0;;
BSP;10.03.1900 00:00;0;;
BSP;11.03.1900 00:00;0;;
BSP;12.03.1900 00:00;0;;
BSP;13.03.1900 00:00;0;;
BSP;14.03.1900 00:00;0;;
BSP;15.03.1900 00:00;0;;
BSP;16.03.1900 00:00;0;;
BSP;17.03.1900 00:00;2;;
BSP;18.03.1900 00:00;0;;
BSP;19.03.1900 00:00;0;;
BSP;20.03.1900 00:00;3;;
BSP;21.03.1900 00:00;10.2;;
BSP;22.03.1900 00:00;24;;
BSP;23.03.1900 00:00;0;;
BSP;24.03.1900 00:00;0;;
BSP;25.03.1900 00:00;0;;
BSP;26.03.1900 00:00;0;;
BSP;27.03.1900 00:00;0;;
BSP;28.03.1900 00:00;0;;
BSP;29.03.1900 00:00;0;;
BSP;30.03.1900 00:00;0;;
BSP;31.03.1900 00:00;0;;
BSP;01.04.1900 00:00;0;;
BSP;02.04.1900 00:00;0;;
BSP;03.04.1900 00:00;0;;
BSP;04.04.1900 00:00;2;;
BSP;05.04.1900 00:00;2;;
BSP;06.04.1900 00:00;0;;
BSP;07.04.1900 00:00;0;;
BSP;08.04.1900 00:00;1;;
BSP;09.04.1900 00:00;0;;
BSP;10.04.1900 00:00;0;;
BSP;11.04.1900 00:00;0;;
BSP;12.04.1900 00:00;3;;
BSP;13.04.1900 00:00;0;;
BSP;14.04.1900 00:00;0;;
BSP;15.04.1900 00:00;0;;
BSP;16.04.1900 00:00;11.8;;
BSP;17.04.1900 00:00;0;;
BSP;18.04.1900 00:00;0;;
BSP;19.04.1900 00:00;0;;
BSP;20.04.1900 00:00;0;;
BSP;21.04.1900 00:00;0;;
