station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BUC;01.01.1900 00:00;0;;
BUC;02.01.1900 00:00;1.1;;
BUC;03.01.1900 00:00;7.5;;
BUC;04.01.1900 00:00;12;;
BUC;05.01.1900 00:00;10.9;;
BUC;06.01.1900 00:00;0;;
BUC;07.01.1900 00:00;0;;
BUC;08.01.1900 00:00;1.1;;
BUC;09.01.1900 00:00;5.4;;
BUC;10.01.1900 00:00;1.3;;
BUC;11.01.1900 00:00;1.8;;
BUC;12.01.1900 00:00;0.1;;
BUC;13.01.1900 00:00;0;;
BUC;14.01.1900 00:00;0;;
BUC;15.01.1900 00:00;3;;
BUC;16.01.1900 00:00;13.1;;
BUC;17.01.1900 00:00;12.1;;
BUC;18.01.1900 00:00;3.2;;
BUC;19.01.1900 00:00;0.1;;
BUC;20.01.1900 00:00;3;;
BUC;21.01.1900 00:00;2.2;;
BUC;22.01.1900 00:00;3.5;;
BUC;23.01.1900 00:00;0;;
BUC;24.01.1900 00:00;10.9;;
BUC;25.01.1900 00:00;8.6;;
BUC;26.01.1900 00:00;0;;
BUC;27.01.1900 00:00;2.1;;
BUC;28.01.1900 00:00;1.2;;
BUC;29.01.1900 00:00;10.8;;
BUC;30.01.1900 00:00;1.6;;
BUC;31.01.1900 00:00;0.1;;
BUC;01.02.1900 00:00;0;;
BUC;02.02.1900 00:00;0.3;;
BUC;03.02.1900 00:00;1.6;;
BUC;04.02.1900 00:00;0;;
BUC;05.02.1900 00:00;0;;
BUC;06.02.1900 00:00;15.5;;
BUC;07.02.1900 00:00;0.2;;
BUC;08.02.1900 00:00;0;;
BUC;09.02.1900 00:00;2.3;;
BUC;10.02.1900 00:00;1.2;;
BUC;11.02.1900 00:00;2.7;;
BUC;12.02.1900 00:00;23.6;;
BUC;13.02.1900 00:00;11.6;;
BUC;14.02.1900 00:00;0.5;;
BUC;15.02.1900 00:00;1;;
BUC;16.02.1900 00:00;2.9;;
BUC;17.02.1900 00:00;0.9;;
BUC;18.02.1900 00:00;0.6;;
BUC;19.02.1900 00:00;11.8;;
BUC;20.02.1900 00:00;2.9;;
BUC;21.02.1900 00:00;4.5;;
BUC;22.02.1900 00:00;0.4;;
BUC;23.02.1900 00:00;1;;
BUC;24.02.1900 00:00;0;;
BUC;25.02.1900 00:00;0;;
BUC;26.02.1900 00:00;3.1;;
BUC;27.02.1900 00:00;0;;
BUC;28.02.1900 00:00;0;;
BUC;01.03.1900 00:00;9.4;;
BUC;02.03.1900 00:00;1.4;;
BUC;03.03.1900 00:00;2.3;;
BUC;04.03.1900 00:00;0.2;;
BUC;05.03.1900 00:00;0;;
BUC;06.03.1900 00:00;0;;
BUC;07.03.1900 00:00;0;;
BUC;08.03.1900 00:00;0;;
BUC;09.03.1900 00:00;0;;
BUC;10.03.1900 00:00;0;;
BUC;11.03.1900 00:00;0;;
BUC;12.03.1900 00:00;0;;
BUC;13.03.1900 00:00;0;;
BUC;14.03.1900 00:00;0.1;;
BUC;15.03.1900 00:00;0;;
BUC;16.03.1900 00:00;0;;
BUC;17.03.1900 00:00;10.9;;
BUC;18.03.1900 00:00;2.8;;
BUC;19.03.1900 00:00;0;;
BUC;20.03.1900 00:00;0;;
BUC;21.03.1900 00:00;0;;
BUC;22.03.1900 00:00;1.6;;
BUC;23.03.1900 00:00;2.6;;
BUC;24.03.1900 00:00;2;;
BUC;25.03.1900 00:00;1;;
BUC;26.03.1900 00:00;0;;
BUC;27.03.1900 00:00;8.3;;
BUC;28.03.1900 00:00;1.2;;
BUC;29.03.1900 00:00;0.2;;
BUC;30.03.1900 00:00;2.6;;
BUC;31.03.1900 00:00;2.7;;
BUC;01.04.1900 00:00;0.2;;
BUC;02.04.1900 00:00;1.5;;
BUC;03.04.1900 00:00;0;;
BUC;04.04.1900 00:00;2.1;;
BUC;05.04.1900 00:00;0;;
BUC;06.04.1900 00:00;0.7;;
BUC;07.04.1900 00:00;5.1;;
BUC;08.04.1900 00:00;1.5;;
BUC;09.04.1900 00:00;0;;
BUC;10.04.1900 00:00;0.2;;
BUC;11.04.1900 00:00;0;;
BUC;12.04.1900 00:00;0;;
BUC;13.04.1900 00:00;7.5;;
BUC;14.04.1900 00:00;0;;
BUC;15.04.1900 00:00;0;;
BUC;16.04.1900 00:00;2.2;;
BUC;17.04.1900 00:00;0;;
BUC;18.04.1900 00:00;1.7;;
BUC;19.04.1900 00:00;0;;
BUC;20.04.1900 00:00;0;;
