station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BUD;01.01.1901 00:00;0.7;;
BUD;02.01.1901 00:00;1.9;;
BUD;03.01.1901 00:00;0;;
BUD;04.01.1901 00:00;0;;
BUD;05.01.1901 00:00;0;;
BUD;06.01.1901 00:00;0;;
BUD;07.01.1901 00:00;0;;
BUD;08.01.1901 00:00;0;;
BUD;09.01.1901 00:00;0;;
BUD;10.01.1901 00:00;0;;
BUD;11.01.1901 00:00;0;;
BUD;12.01.1901 00:00;0;;
BUD;13.01.1901 00:00;0;;
BUD;14.01.1901 00:00;0;;
BUD;15.01.1901 00:00;0;;
BUD;16.01.1901 00:00;0;;
BUD;17.01.1901 00:00;0;;
BUD;18.01.1901 00:00;0;;
BUD;19.01.1901 00:00;0;;
BUD;20.01.1901 00:00;4.3;;
BUD;21.01.1901 00:00;1.2;;
BUD;22.01.1901 00:00;0;;
BUD;23.01.1901 00:00;0;;
BUD;24.01.1901 00:00;0;;
BUD;25.01.1901 00:00;0;;
BUD;26.01.1901 00:00;7.8;;
BUD;27.01.1901 00:00;13;;
BUD;28.01.1901 00:00;5.6;;
BUD;29.01.1901 00:00;2.6;;
BUD;30.01.1901 00:00;0;;
BUD;31.01.1901 00:00;0;;
BUD;01.02.1901 00:00;5.1;;
BUD;02.02.1901 00:00;0;;
BUD;03.02.1901 00:00;0;;
BUD;04.02.1901 00:00;4.4;;
BUD;05.02.1901 00:00;3;;
BUD;06.02.1901 00:00;0;;
BUD;07.02.1901 00:00;2;;
BUD;08.02.1901 00:00;0.6;;
BUD;09.02.1901 00:00;0;;
BUD;10.02.1901 00:00;0;;
BUD;11.02.1901 00:00;1.4;;
BUD;12.02.1901 00:00;0.4;;
BUD;13.02.1901 00:00;1.4;;
BUD;14.02.1901 00:00;0;;
BUD;15.02.1901 00:00;0;;
BUD;16.02.1901 00:00;3.6;;
BUD;17.02.1901 00:00;4.2;;
BUD;18.02.1901 00:00;0;;
BUD;19.02.1901 00:00;0;;
BUD;20.02.1901 00:00;0;;
BUD;21.02.1901 00:00;0;;
BUD;22.02.1901 00:00;0;;
BUD;23.02.1901 00:00;0;;
BUD;24.02.1901 00:00;0;;
BUD;25.02.1901 00:00;0;;
BUD;26.02.1901 00:00;0;;
BUD;27.02.1901 00:00;0;;
BUD;28.02.1901 00:00;1.8;;
BUD;01.03.1901 00:00;5.8;;
BUD;02.03.1901 00:00;10.2;;
BUD;03.03.1901 00:00;16.6;;
BUD;04.03.1901 00:00;6.1;;
BUD;05.03.1901 00:00;4.2;;
BUD;06.03.1901 00:00;2.7;;
BUD;07.03.1901 00:00;0.2;;
BUD;08.03.1901 00:00;0;;
BUD;09.03.1901 00:00;0;;
BUD;10.03.1901 00:00;0;;
BUD;11.03.1901 00:00;0;;
BUD;12.03.1901 00:00;4.7;;
BUD;13.03.1901 00:00;0;;
BUD;14.03.1901 00:00;0;;
BUD;15.03.1901 00:00;0;;
BUD;16.03.1901 00:00;0.4;;
BUD;17.03.1901 00:00;0;;
BUD;18.03.1901 00:00;0;;
BUD;19.03.1901 00:00;0;;
BUD;20.03.1901 00:00;24;;
BUD;21.03.1901 00:00;3.2;;
BUD;22.03.1901 00:00;0;;
BUD;23.03.1901 00:00;0;;
BUD;24.03.1901 00:00;0;;
BUD;25.03.1901 00:00;0;;
BUD;26.03.1901 00:00;4.3;;
BUD;27.03.1901 00:00;4.6;;
BUD;28.03.1901 00:00;0;;
BUD;29.03.1901 00:00;0;;
BUD;30.03.1901 00:00;0;;
BUD;31.03.1901 00:00;0;;
BUD;01.04.1901 00:00;13.6;;
BUD;02.04.1901 00:00;0;;
BUD;03.04.1901 00:00;0;;
BUD;04.04.1901 00:00;9.1;;
BUD;05.04.1901 00:00;24.6;;
BUD;06.04.1901 00:00;9.6;;
BUD;07.04.1901 00:00;38.2;;
BUD;08.04.1901 00:00;2.9;;
BUD;09.04.1901 00:00;39;;
BUD;10.04.1901 00:00;9.6;;
BUD;11.04.1901 00:00;5.1;;
BUD;12.04.1901 00:00;22.5;;
BUD;13.04.1901 00:00;7.2;;
BUD;14.04.1901 00:00;3.4;;
BUD;15.04.1901 00:00;3.6;;
BUD;16.04.1901 00:00;9.4;;
BUD;17.04.1901 00:00;3.9;;
BUD;18.04.1901 00:00;0;;
BUD;19.04.1901 00:00;0;;
BUD;20.04.1901 00:00;0;;
BUD;21.04.1901 00:00;0;;
BUD;22.04.1901 00:00;0;;
BUD;23.04.1901 00:00;0;;
BUD;24.04.1901 00:00;0;;
BUD;25.04.1901 00:00;0;;
BUD;26.04.1901 00:00;1.7;;
BUD;27.04.1901 00:00;0;;
BUD;28.04.1901 00:00;2.5;;
BUD;29.04.1901 00:00;13.9;;
BUD;30.04.1901 00:00;0.7;;
BUD;01.05.1901 00:00;0;;
BUD;02.05.1901 00:00;0;;
BUD;03.05.1901 00:00;0.9;;
BUD;04.05.1901 00:00;0;;
BUD;05.05.1901 00:00;0;;
BUD;06.05.1901 00:00;5.4;;
BUD;07.05.1901 00:00;6.5;;
BUD;08.05.1901 00:00;1.1;;
BUD;09.05.1901 00:00;0.5;;
BUD;10.05.1901 00:00;1.5;;
BUD;11.05.1901 00:00;0;;
BUD;12.05.1901 00:00;0;;
BUD;13.05.1901 00:00;0;;
BUD;14.05.1901 00:00;0;;
BUD;15.05.1901 00:00;0;;
BUD;16.05.1901 00:00;0.9;;
BUD;17.05.1901 00:00;0;;
BUD;18.05.1901 00:00;0;;
BUD;19.05.1901 00:00;0;;
BUD;20.05.1901 00:00;0;;
BUD;21.05.1901 00:00;0;;
BUD;22.05.1901 00:00;0;;
BUD;23.05.1901 00:00;0;;
BUD;24.05.1901 00:00;0;;
BUD;25.05.1901 00:00;0;;
BUD;26.05.1901 00:00;1.8;;
BUD;27.05.1901 00:00;0;;
BUD;28.05.1901 00:00;0;;
BUD;29.05.1901 00:00;0;;
BUD;30.05.1901 00:00;0.8;;
BUD;31.05.1901 00:00;0;;
BUD;01.06.1901 00:00;0;;
BUD;02.06.1901 00:00;2.1;;
BUD;03.06.1901 00:00;0;;
BUD;04.06.1901 00:00;0.2;;
BUD;05.06.1901 00:00;0;;
BUD;06.06.1901 00:00;0;;
BUD;07.06.1901 00:00;0;;
BUD;08.06.1901 00:00;6;;
BUD;09.06.1901 00:00;19;;
BUD;10.06.1901 00:00;6.4;;
BUD;11.06.1901 00:00;1;;
BUD;12.06.1901 00:00;0;;
BUD;13.06.1901 00:00;2;;
BUD;14.06.1901 00:00;19.8;;
BUD;15.06.1901 00:00;26.5;;
BUD;16.06.1901 00:00;3.3;;
BUD;17.06.1901 00:00;8.8;;
BUD;18.06.1901 00:00;7.9;;
BUD;19.06.1901 00:00;0.9;;
BUD;20.06.1901 00:00;0;;
BUD;21.06.1901 00:00;0;;
BUD;22.06.1901 00:00;0;;
BUD;23.06.1901 00:00;11.8;;
BUD;24.06.1901 00:00;5.9;;
BUD;25.06.1901 00:00;0;;
BUD;26.06.1901 00:00;0;;
BUD;27.06.1901 00:00;0;;
BUD;28.06.1901 00:00;0;;
BUD;29.06.1901 00:00;4.8;;
BUD;30.06.1901 00:00;12.5;;
BUD;01.07.1901 00:00;6.4;;
BUD;02.07.1901 00:00;18.6;;
BUD;03.07.1901 00:00;0;;
BUD;04.07.1901 00:00;9;;
BUD;05.07.1901 00:00;0;;
BUD;06.07.1901 00:00;0;;
BUD;07.07.1901 00:00;0;;
BUD;08.07.1901 00:00;0;;
BUD;09.07.1901 00:00;0;;
BUD;10.07.1901 00:00;0;;
BUD;11.07.1901 00:00;0;;
BUD;12.07.1901 00:00;0;;
BUD;13.07.1901 00:00;0;;
BUD;14.07.1901 00:00;5.8;;
BUD;15.07.1901 00:00;0;;
BUD;16.07.1901 00:00;0;;
BUD;17.07.1901 00:00;0;;
BUD;18.07.1901 00:00;0;;
BUD;19.07.1901 00:00;0;;
BUD;20.07.1901 00:00;0;;
BUD;21.07.1901 00:00;9.5;;
BUD;22.07.1901 00:00;5.1;;
BUD;23.07.1901 00:00;19.5;;
BUD;24.07.1901 00:00;0.3;;
BUD;25.07.1901 00:00;0;;
BUD;26.07.1901 00:00;0;;
BUD;27.07.1901 00:00;13.1;;
BUD;28.07.1901 00:00;27.5;;
BUD;29.07.1901 00:00;11.4;;
BUD;30.07.1901 00:00;0;;
BUD;31.07.1901 00:00;2.1;;
BUD;01.08.1901 00:00;10.6;;
BUD;02.08.1901 00:00;14.9;;
BUD;03.08.1901 00:00;0;;
BUD;04.08.1901 00:00;0;;
BUD;05.08.1901 00:00;0;;
BUD;06.08.1901 00:00;2.9;;
BUD;07.08.1901 00:00;0;;
BUD;08.08.1901 00:00;0;;
BUD;09.08.1901 00:00;0;;
BUD;10.08.1901 00:00;0;;
BUD;11.08.1901 00:00;7;;
BUD;12.08.1901 00:00;18.5;;
BUD;13.08.1901 00:00;0;;
BUD;14.08.1901 00:00;0;;
BUD;15.08.1901 00:00;2.8;;
BUD;16.08.1901 00:00;1.1;;
BUD;17.08.1901 00:00;0;;
BUD;18.08.1901 00:00;0;;
BUD;19.08.1901 00:00;0;;
BUD;20.08.1901 00:00;0;;
BUD;21.08.1901 00:00;0;;
BUD;22.08.1901 00:00;0;;
BUD;23.08.1901 00:00;0;;
BUD;24.08.1901 00:00;0;;
BUD;25.08.1901 00:00;15.3;;
BUD;26.08.1901 00:00;6.9;;
BUD;27.08.1901 00:00;0.5;;
BUD;28.08.1901 00:00;6.2;;
BUD;29.08.1901 00:00;0;;
BUD;30.08.1901 00:00;0;;
BUD;31.08.1901 00:00;0.2;;
BUD;01.09.1901 00:00;29.8;;
BUD;02.09.1901 00:00;3.2;;
BUD;03.09.1901 00:00;4.3;;
BUD;04.09.1901 00:00;9.2;;
