station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BUE;01.01.1900 00:00;0;;
BUE;02.01.1900 00:00;0.5;;
BUE;03.01.1900 00:00;8;;
BUE;04.01.1900 00:00;10.5;;
BUE;05.01.1900 00:00;10.5;;
BUE;06.01.1900 00:00;0;;
BUE;07.01.1900 00:00;0;;
BUE;08.01.1900 00:00;4;;
BUE;09.01.1900 00:00;2.5;;
BUE;10.01.1900 00:00;0.5;;
BUE;11.01.1900 00:00;2.5;;
BUE;12.01.1900 00:00;1;;
BUE;13.01.1900 00:00;0;;
BUE;14.01.1900 00:00;0;;
BUE;15.01.1900 00:00;3;;
BUE;16.01.1900 00:00;10.5;;
BUE;17.01.1900 00:00;18.2;;
BUE;18.01.1900 00:00;8.5;;
BUE;19.01.1900 00:00;0;;
BUE;20.01.1900 00:00;1.2;;
BUE;21.01.1900 00:00;3.5;;
BUE;22.01.1900 00:00;1.5;;
BUE;23.01.1900 00:00;0;;
BUE;24.01.1900 00:00;10.1;;
BUE;25.01.1900 00:00;4.1;;
BUE;26.01.1900 00:00;0;;
BUE;27.01.1900 00:00;5.1;;
BUE;28.01.1900 00:00;2;;
BUE;29.01.1900 00:00;5.6;;
BUE;30.01.1900 00:00;1.1;;
BUE;31.01.1900 00:00;0;;
BUE;01.02.1900 00:00;0;;
BUE;02.02.1900 00:00;0.5;;
BUE;03.02.1900 00:00;0.1;;
BUE;04.02.1900 00:00;0;;
BUE;05.02.1900 00:00;0;;
BUE;06.02.1900 00:00;5.5;;
BUE;07.02.1900 00:00;0;;
BUE;08.02.1900 00:00;0;;
BUE;09.02.1900 00:00;2.5;;
BUE;10.02.1900 00:00;2.8;;
BUE;11.02.1900 00:00;1.5;;
BUE;12.02.1900 00:00;26.2;;
BUE;13.02.1900 00:00;12.5;;
BUE;14.02.1900 00:00;7;;
BUE;15.02.1900 00:00;1.6;;
BUE;16.02.1900 00:00;3.1;;
BUE;17.02.1900 00:00;0.8;;
BUE;18.02.1900 00:00;0.6;;
BUE;19.02.1900 00:00;15.6;;
BUE;20.02.1900 00:00;2;;
BUE;21.02.1900 00:00;3.1;;
BUE;22.02.1900 00:00;0.5;;
BUE;23.02.1900 00:00;2.6;;
BUE;24.02.1900 00:00;0;;
BUE;25.02.1900 00:00;0;;
BUE;26.02.1900 00:00;6.5;;
BUE;27.02.1900 00:00;0;;
BUE;28.02.1900 00:00;5.1;;
BUE;01.03.1900 00:00;8.1;;
BUE;02.03.1900 00:00;1.5;;
BUE;03.03.1900 00:00;2.1;;
BUE;04.03.1900 00:00;2.8;;
BUE;05.03.1900 00:00;0;;
BUE;06.03.1900 00:00;0;;
BUE;07.03.1900 00:00;0;;
BUE;08.03.1900 00:00;0;;
BUE;09.03.1900 00:00;0;;
BUE;10.03.1900 00:00;0;;
BUE;11.03.1900 00:00;0;;
BUE;12.03.1900 00:00;0;;
BUE;13.03.1900 00:00;0;;
BUE;14.03.1900 00:00;0;;
BUE;15.03.1900 00:00;0;;
BUE;16.03.1900 00:00;0;;
BUE;17.03.1900 00:00;11;;
BUE;18.03.1900 00:00;1;;
BUE;19.03.1900 00:00;0;;
BUE;20.03.1900 00:00;0;;
BUE;21.03.1900 00:00;0;;
BUE;22.03.1900 00:00;2.1;;
BUE;23.03.1900 00:00;3.1;;
BUE;24.03.1900 00:00;2.1;;
BUE;25.03.1900 00:00;0;;
BUE;26.03.1900 00:00;0;;
BUE;27.03.1900 00:00;9.1;;
BUE;28.03.1900 00:00;0.1;;
BUE;29.03.1900 00:00;0.8;;
BUE;30.03.1900 00:00;2.7;;
BUE;31.03.1900 00:00;2.5;;
BUE;01.04.1900 00:00;0;;
BUE;02.04.1900 00:00;1.5;;
BUE;03.04.1900 00:00;0;;
BUE;04.04.1900 00:00;2.2;;
BUE;05.04.1900 00:00;0.6;;
BUE;06.04.1900 00:00;0.8;;
BUE;07.04.1900 00:00;6.5;;
