station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BUF;01.01.1917 00:00;11.2;;
BUF;02.01.1917 00:00;0;;
BUF;03.01.1917 00:00;22.5;;
BUF;04.01.1917 00:00;0;;
BUF;05.01.1917 00:00;0;;
BUF;06.01.1917 00:00;0;;
BUF;07.01.1917 00:00;0;;
BUF;08.01.1917 00:00;0;;
BUF;09.01.1917 00:00;18.2;;
BUF;10.01.1917 00:00;13.2;;
BUF;11.01.1917 00:00;0;;
BUF;12.01.1917 00:00;0;;
BUF;13.01.1917 00:00;0.3;;
BUF;14.01.1917 00:00;4.4;;
BUF;15.01.1917 00:00;17.3;;
BUF;16.01.1917 00:00;26.3;;
BUF;17.01.1917 00:00;0;;
BUF;18.01.1917 00:00;0;;
BUF;19.01.1917 00:00;0;;
BUF;20.01.1917 00:00;0;;
BUF;21.01.1917 00:00;0;;
BUF;22.01.1917 00:00;0.1;;
BUF;23.01.1917 00:00;0;;
BUF;24.01.1917 00:00;0;;
BUF;25.01.1917 00:00;0;;
BUF;26.01.1917 00:00;0;;
BUF;27.01.1917 00:00;0;;
BUF;28.01.1917 00:00;0.1;;
BUF;29.01.1917 00:00;0;;
BUF;30.01.1917 00:00;0;;
BUF;31.01.1917 00:00;1.4;;
BUF;01.02.1917 00:00;0;;
BUF;02.02.1917 00:00;0;;
BUF;03.02.1917 00:00;0;;
BUF;04.02.1917 00:00;0;;
BUF;05.02.1917 00:00;2.2;;
BUF;06.02.1917 00:00;0;;
BUF;07.02.1917 00:00;0;;
BUF;08.02.1917 00:00;0;;
BUF;09.02.1917 00:00;0;;
BUF;10.02.1917 00:00;0;;
BUF;11.02.1917 00:00;0;;
BUF;12.02.1917 00:00;2.2;;
BUF;13.02.1917 00:00;0;;
BUF;14.02.1917 00:00;0;;
BUF;15.02.1917 00:00;0;;
BUF;16.02.1917 00:00;0;;
BUF;17.02.1917 00:00;0;;
BUF;18.02.1917 00:00;0;;
BUF;19.02.1917 00:00;0;;
BUF;20.02.1917 00:00;0;;
BUF;21.02.1917 00:00;2.3;;
BUF;22.02.1917 00:00;0;;
BUF;23.02.1917 00:00;0;;
BUF;24.02.1917 00:00;0;;
BUF;25.02.1917 00:00;0;;
BUF;26.02.1917 00:00;0;;
BUF;27.02.1917 00:00;1.3;;
BUF;28.02.1917 00:00;0;;
BUF;01.03.1917 00:00;0;;
BUF;02.03.1917 00:00;0;;
BUF;03.03.1917 00:00;0;;
BUF;04.03.1917 00:00;0;;
BUF;05.03.1917 00:00;0.3;;
BUF;06.03.1917 00:00;0;;
BUF;07.03.1917 00:00;2.1;;
BUF;08.03.1917 00:00;19.4;;
BUF;09.03.1917 00:00;0;;
BUF;10.03.1917 00:00;0.3;;
BUF;11.03.1917 00:00;0;;
BUF;12.03.1917 00:00;1.3;;
BUF;13.03.1917 00:00;0.2;;
BUF;14.03.1917 00:00;1;;
BUF;15.03.1917 00:00;2.3;;
BUF;16.03.1917 00:00;0;;
BUF;17.03.1917 00:00;0;;
BUF;18.03.1917 00:00;0;;
BUF;19.03.1917 00:00;0;;
BUF;20.03.1917 00:00;0;;
BUF;21.03.1917 00:00;0;;
BUF;22.03.1917 00:00;0;;
BUF;23.03.1917 00:00;0;;
BUF;24.03.1917 00:00;0.3;;
BUF;25.03.1917 00:00;0;;
BUF;26.03.1917 00:00;0;;
BUF;27.03.1917 00:00;0;;
BUF;28.03.1917 00:00;3.2;;
BUF;29.03.1917 00:00;0;;
BUF;30.03.1917 00:00;1.3;;
BUF;31.03.1917 00:00;4.2;;
BUF;01.04.1917 00:00;32;;
BUF;02.04.1917 00:00;10.1;;
BUF;03.04.1917 00:00;5.3;;
BUF;04.04.1917 00:00;0;;
BUF;05.04.1917 00:00;5.1;;
BUF;06.04.1917 00:00;2;;
BUF;07.04.1917 00:00;0;;
BUF;08.04.1917 00:00;0;;
BUF;09.04.1917 00:00;0;;
BUF;10.04.1917 00:00;0.2;;
BUF;11.04.1917 00:00;0;;
BUF;12.04.1917 00:00;0;;
BUF;13.04.1917 00:00;0.3;;
BUF;14.04.1917 00:00;0;;
BUF;15.04.1917 00:00;9.4;;
BUF;16.04.1917 00:00;0;;
BUF;17.04.1917 00:00;0;;
BUF;18.04.1917 00:00;0;;
BUF;19.04.1917 00:00;1.4;;
BUF;20.04.1917 00:00;4.3;;
BUF;21.04.1917 00:00;0.4;;
BUF;22.04.1917 00:00;0.2;;
BUF;23.04.1917 00:00;0;;
BUF;24.04.1917 00:00;0;;
BUF;25.04.1917 00:00;0;;
BUF;26.04.1917 00:00;0;;
BUF;27.04.1917 00:00;0;;
BUF;28.04.1917 00:00;0;;
BUF;29.04.1917 00:00;0;;
BUF;30.04.1917 00:00;0;;
BUF;01.05.1917 00:00;0;;
BUF;02.05.1917 00:00;0;;
BUF;03.05.1917 00:00;0;;
BUF;04.05.1917 00:00;0;;
BUF;05.05.1917 00:00;0.3;;
BUF;06.05.1917 00:00;0;;
BUF;07.05.1917 00:00;0;;
