station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BUS;31.03.1984 00:00;;0;
BUS;01.04.1984 00:00;;0;0
BUS;02.04.1984 00:00;;0;0
BUS;03.04.1984 00:00;;0;0
BUS;04.04.1984 00:00;;0;0
BUS;05.04.1984 00:00;;0;0
BUS;06.04.1984 00:00;;0;0
BUS;07.04.1984 00:00;;0;0
BUS;08.04.1984 00:00;;0;0
BUS;09.04.1984 00:00;;0;0
BUS;10.04.1984 00:00;;0;0
BUS;11.04.1984 00:00;;0;0
BUS;12.04.1984 00:00;;0;0
BUS;13.04.1984 00:00;;0;0
BUS;14.04.1984 00:00;;0;0
BUS;15.04.1984 00:00;;0;0
BUS;16.04.1984 00:00;;0;0
BUS;17.04.1984 00:00;;0;0
BUS;18.04.1984 00:00;;0;0
BUS;19.04.1984 00:00;;0;0
BUS;20.04.1984 00:00;;0;0
BUS;21.04.1984 00:00;;0;0
BUS;22.04.1984 00:00;;0;0
BUS;23.04.1984 00:00;;0;0
BUS;24.04.1984 00:00;;0;0
BUS;25.04.1984 00:00;;0;0
BUS;26.04.1984 00:00;;0;0
BUS;27.04.1984 00:00;;0;0
BUS;28.04.1984 00:00;;0;0
BUS;29.04.1984 00:00;;0;0
BUS;30.04.1984 00:00;;;0
BUS;23.05.1984 00:00;3.6;;
BUS;24.05.1984 00:00;4.4;;
BUS;25.05.1984 00:00;3.3;;
BUS;26.05.1984 00:00;7.5;;
BUS;27.05.1984 00:00;6.2;;
BUS;28.05.1984 00:00;0.6;;
BUS;29.05.1984 00:00;0;;
BUS;30.05.1984 00:00;20.9;;
BUS;31.05.1984 00:00;0;;
BUS;01.06.1984 00:00;3.6;;
BUS;02.06.1984 00:00;0.1;;
BUS;03.06.1984 00:00;0.1;;
BUS;04.06.1984 00:00;2.9;;
BUS;05.06.1984 00:00;6.7;;
BUS;06.06.1984 00:00;0.1;;
BUS;07.06.1984 00:00;0;;
BUS;08.06.1984 00:00;0;;
BUS;09.06.1984 00:00;0;;
BUS;10.06.1984 00:00;0;;
BUS;11.06.1984 00:00;1;;
BUS;12.06.1984 00:00;0;;
BUS;13.06.1984 00:00;0;;
BUS;14.06.1984 00:00;0;;
BUS;15.06.1984 00:00;0;;
BUS;16.06.1984 00:00;0;;
BUS;17.06.1984 00:00;0;;
BUS;18.06.1984 00:00;0;;
BUS;19.06.1984 00:00;0;;
BUS;20.06.1984 00:00;0;;
BUS;21.06.1984 00:00;13.7;;
BUS;22.06.1984 00:00;1.5;;
BUS;23.06.1984 00:00;6.2;;
BUS;24.06.1984 00:00;5.3;;
BUS;25.06.1984 00:00;0;;
BUS;26.06.1984 00:00;0;;
BUS;27.06.1984 00:00;3.8;;
BUS;28.06.1984 00:00;24.1;;
BUS;29.06.1984 00:00;0;;
BUS;30.06.1984 00:00;0;0;
BUS;01.07.1984 00:00;7.2;0;0
BUS;02.07.1984 00:00;8.7;0;0
BUS;03.07.1984 00:00;0;0;0
BUS;04.07.1984 00:00;0;0;0
BUS;05.07.1984 00:00;0;0;0
BUS;06.07.1984 00:00;0;0;0
BUS;07.07.1984 00:00;0;0;0
BUS;08.07.1984 00:00;0;0;0
BUS;09.07.1984 00:00;0;0;0
BUS;10.07.1984 00:00;0;0;0
BUS;11.07.1984 00:00;0.4;0;0
BUS;12.07.1984 00:00;0;0;0
BUS;13.07.1984 00:00;0;0;0
BUS;14.07.1984 00:00;2.2;0;0
BUS;15.07.1984 00:00;14.5;0;0
BUS;16.07.1984 00:00;0.6;0;0
BUS;17.07.1984 00:00;0;0;0
BUS;18.07.1984 00:00;0;0;0
BUS;19.07.1984 00:00;0;0;0
BUS;20.07.1984 00:00;0;0;0
BUS;21.07.1984 00:00;0;0;0
BUS;22.07.1984 00:00;0;0;0
BUS;23.07.1984 00:00;0;0;0
BUS;24.07.1984 00:00;0.2;0;0
BUS;25.07.1984 00:00;0.9;0;0
BUS;26.07.1984 00:00;37.4;0;0
BUS;27.07.1984 00:00;0.5;0;0
BUS;28.07.1984 00:00;0;0;0
BUS;29.07.1984 00:00;0;0;0
BUS;30.07.1984 00:00;2.5;0;0
BUS;31.07.1984 00:00;24.1;0;0
BUS;01.08.1984 00:00;1.4;0;0
BUS;02.08.1984 00:00;0;0;0
BUS;03.08.1984 00:00;0.6;0;0
BUS;04.08.1984 00:00;26.3;0;0
BUS;05.08.1984 00:00;16.1;0;0
BUS;06.08.1984 00:00;0.1;0;0
BUS;07.08.1984 00:00;0;0;0
BUS;08.08.1984 00:00;0.1;0;0
BUS;09.08.1984 00:00;0.9;0;0
BUS;10.08.1984 00:00;11;0;0
BUS;11.08.1984 00:00;2.4;0;0
BUS;12.08.1984 00:00;0.1;0;0
BUS;13.08.1984 00:00;0;0;0
BUS;14.08.1984 00:00;0;0;0
BUS;15.08.1984 00:00;0;0;0
BUS;16.08.1984 00:00;0;0;0
BUS;17.08.1984 00:00;0;0;0
BUS;18.08.1984 00:00;0;0;0
BUS;19.08.1984 00:00;0;0;0
BUS;20.08.1984 00:00;0;0;0
BUS;21.08.1984 00:00;0;0;0
BUS;22.08.1984 00:00;0;0;0
BUS;23.08.1984 00:00;0.1;0;0
BUS;24.08.1984 00:00;5.6;0;0
BUS;25.08.1984 00:00;0.6;0;0
BUS;26.08.1984 00:00;0.4;0;0
BUS;27.08.1984 00:00;0;0;0
BUS;28.08.1984 00:00;0;0;0
BUS;29.08.1984 00:00;0;0;0
BUS;30.08.1984 00:00;0;0;0
BUS;31.08.1984 00:00;0;0;0
BUS;01.09.1984 00:00;0;0;0
BUS;02.09.1984 00:00;0;0;0
BUS;03.09.1984 00:00;0;0;0
BUS;04.09.1984 00:00;14.2;0;0
BUS;05.09.1984 00:00;17.2;0;0
BUS;06.09.1984 00:00;4.8;0;0
BUS;07.09.1984 00:00;0.2;0;0
BUS;08.09.1984 00:00;0.1;0;0
BUS;09.09.1984 00:00;14;0;0
BUS;10.09.1984 00:00;6;0;0
BUS;11.09.1984 00:00;0;0;0
BUS;12.09.1984 00:00;0;0;0
BUS;13.09.1984 00:00;0;0;0
BUS;14.09.1984 00:00;17;0;0
BUS;15.09.1984 00:00;9.9;0;0
BUS;16.09.1984 00:00;17.4;0;0
BUS;17.09.1984 00:00;0.4;0;0
BUS;18.09.1984 00:00;12.8;0;0
BUS;19.09.1984 00:00;0.1;0;0
BUS;20.09.1984 00:00;0;0;0
BUS;21.09.1984 00:00;8.1;0;0
BUS;22.09.1984 00:00;8.2;0;0
BUS;23.09.1984 00:00;19.9;0;0
BUS;24.09.1984 00:00;2.4;0;0
BUS;25.09.1984 00:00;7.5;0;0
BUS;26.09.1984 00:00;16.3;0;0
BUS;27.09.1984 00:00;0.2;0;0
BUS;28.09.1984 00:00;0;0;0
BUS;29.09.1984 00:00;0;0;0
BUS;30.09.1984 00:00;0;0;0
BUS;01.10.1984 00:00;28;0;0
BUS;02.10.1984 00:00;0;0;0
BUS;03.10.1984 00:00;0.4;0;0
BUS;04.10.1984 00:00;1.3;0;0
BUS;05.10.1984 00:00;2.4;0;0
BUS;06.10.1984 00:00;7.5;0;0
BUS;07.10.1984 00:00;1;0;0
BUS;08.10.1984 00:00;0.2;0;0
BUS;09.10.1984 00:00;0;0;0
BUS;10.10.1984 00:00;0;0;0
BUS;11.10.1984 00:00;0;0;0
BUS;12.10.1984 00:00;0;0;0
BUS;13.10.1984 00:00;0;0;0
BUS;14.10.1984 00:00;0.1;0;0
BUS;15.10.1984 00:00;0;0;0
BUS;16.10.1984 00:00;0;0;0
BUS;17.10.1984 00:00;0;0;0
BUS;18.10.1984 00:00;0;0;0
BUS;19.10.1984 00:00;2.5;0;0
BUS;20.10.1984 00:00;0.1;0;0
BUS;21.10.1984 00:00;0;0;0
BUS;22.10.1984 00:00;0;0;0
BUS;23.10.1984 00:00;0;0;0
BUS;24.10.1984 00:00;0;0;0
