station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CAC;01.01.1961 00:00;14.5;;
CAC;02.01.1961 00:00;0;;
CAC;03.01.1961 00:00;29.5;;
CAC;04.01.1961 00:00;0;;
CAC;05.01.1961 00:00;0;;
CAC;06.01.1961 00:00;1.8;;
CAC;07.01.1961 00:00;0;;
CAC;08.01.1961 00:00;0;;
CAC;09.01.1961 00:00;0;;
CAC;10.01.1961 00:00;8.9;;
CAC;11.01.1961 00:00;3.9;;
CAC;12.01.1961 00:00;0;;
CAC;13.01.1961 00:00;0;;
CAC;14.01.1961 00:00;0;;
CAC;15.01.1961 00:00;0;;
CAC;16.01.1961 00:00;0;;
CAC;17.01.1961 00:00;0;;
CAC;18.01.1961 00:00;0;;
CAC;19.01.1961 00:00;0;;
CAC;20.01.1961 00:00;0;;
CAC;21.01.1961 00:00;0;;
CAC;22.01.1961 00:00;0;;
CAC;23.01.1961 00:00;0;;
CAC;24.01.1961 00:00;0;;
CAC;25.01.1961 00:00;0;;
CAC;26.01.1961 00:00;0;;
CAC;27.01.1961 00:00;0;;
CAC;28.01.1961 00:00;0;;
CAC;29.01.1961 00:00;0;;
CAC;30.01.1961 00:00;0;;
CAC;31.01.1961 00:00;0;;
CAC;01.02.1961 00:00;3.9;;
CAC;02.02.1961 00:00;2.4;;
CAC;03.02.1961 00:00;2.6;;
CAC;04.02.1961 00:00;5.5;;
CAC;05.02.1961 00:00;0;;
CAC;06.02.1961 00:00;0;;
CAC;07.02.1961 00:00;0;;
CAC;08.02.1961 00:00;0;;
CAC;09.02.1961 00:00;0;;
CAC;10.02.1961 00:00;2.3;;
CAC;11.02.1961 00:00;0;;
CAC;12.02.1961 00:00;0;;
CAC;13.02.1961 00:00;0;;
CAC;14.02.1961 00:00;0;;
CAC;15.02.1961 00:00;0;;
CAC;16.02.1961 00:00;0;;
CAC;17.02.1961 00:00;0;;
CAC;18.02.1961 00:00;0;;
CAC;19.02.1961 00:00;0;;
CAC;20.02.1961 00:00;7.5;;
CAC;21.02.1961 00:00;4.6;;
CAC;22.02.1961 00:00;1.2;;
CAC;23.02.1961 00:00;0.1;;
CAC;24.02.1961 00:00;0;;
CAC;25.02.1961 00:00;0;;
CAC;26.02.1961 00:00;0;;
CAC;27.02.1961 00:00;0;;
CAC;28.02.1961 00:00;0;;
CAC;01.03.1961 00:00;0;;
CAC;02.03.1961 00:00;0;;
CAC;03.03.1961 00:00;0;;
CAC;04.03.1961 00:00;0;;
CAC;05.03.1961 00:00;0;;
CAC;06.03.1961 00:00;0;;
CAC;07.03.1961 00:00;0;;
CAC;08.03.1961 00:00;0;;
CAC;09.03.1961 00:00;0;;
CAC;10.03.1961 00:00;0;;
CAC;11.03.1961 00:00;0;;
CAC;12.03.1961 00:00;0;;
CAC;13.03.1961 00:00;0;;
CAC;14.03.1961 00:00;0;;
CAC;15.03.1961 00:00;0;;
CAC;16.03.1961 00:00;0;;
CAC;17.03.1961 00:00;0;;
CAC;18.03.1961 00:00;5.8;;
CAC;19.03.1961 00:00;0;;
CAC;20.03.1961 00:00;0;;
CAC;21.03.1961 00:00;0;;
CAC;22.03.1961 00:00;0;;
CAC;23.03.1961 00:00;0;;
CAC;24.03.1961 00:00;0;;
CAC;25.03.1961 00:00;0;;
CAC;26.03.1961 00:00;0;;
CAC;27.03.1961 00:00;0;;
CAC;28.03.1961 00:00;0;;
CAC;29.03.1961 00:00;0;;
CAC;30.03.1961 00:00;0;;
CAC;31.03.1961 00:00;0;;
CAC;01.04.1961 00:00;0.3;;
CAC;02.04.1961 00:00;4.2;;
CAC;03.04.1961 00:00;0;;
CAC;04.04.1961 00:00;0;;
CAC;05.04.1961 00:00;0;;
CAC;06.04.1961 00:00;0.8;;
CAC;07.04.1961 00:00;0;;
CAC;08.04.1961 00:00;0;;
CAC;09.04.1961 00:00;6.8;;
CAC;10.04.1961 00:00;5.2;;
CAC;11.04.1961 00:00;0;;
CAC;12.04.1961 00:00;0;;
CAC;13.04.1961 00:00;1.3;;
CAC;14.04.1961 00:00;16.5;;
CAC;15.04.1961 00:00;21;;
CAC;16.04.1961 00:00;1;;
CAC;17.04.1961 00:00;6.8;;
CAC;18.04.1961 00:00;0.7;;
CAC;19.04.1961 00:00;0;;
CAC;20.04.1961 00:00;0;;
CAC;21.04.1961 00:00;3.2;;
CAC;22.04.1961 00:00;6.5;;
CAC;23.04.1961 00:00;0;;
CAC;24.04.1961 00:00;0;;
CAC;25.04.1961 00:00;1.5;;
CAC;26.04.1961 00:00;2;;
CAC;27.04.1961 00:00;0;;
CAC;28.04.1961 00:00;3.5;;
CAC;29.04.1961 00:00;0;;
CAC;30.04.1961 00:00;0;;
CAC;01.05.1961 00:00;0;;
CAC;02.05.1961 00:00;0;;
CAC;03.05.1961 00:00;0;;
CAC;04.05.1961 00:00;0;;
CAC;05.05.1961 00:00;0;;
CAC;06.05.1961 00:00;0.6;;
CAC;07.05.1961 00:00;0;;
CAC;08.05.1961 00:00;0;;
CAC;09.05.1961 00:00;0;;
CAC;10.05.1961 00:00;0;;
CAC;11.05.1961 00:00;0;;
CAC;12.05.1961 00:00;0;;
CAC;13.05.1961 00:00;0;;
CAC;14.05.1961 00:00;0;;
CAC;15.05.1961 00:00;2.5;;
CAC;16.05.1961 00:00;0;;
CAC;17.05.1961 00:00;2.5;;
CAC;18.05.1961 00:00;0;;
CAC;19.05.1961 00:00;1.8;;
CAC;20.05.1961 00:00;1.5;;
CAC;21.05.1961 00:00;0;;
CAC;22.05.1961 00:00;0;;
CAC;23.05.1961 00:00;8.5;;
CAC;24.05.1961 00:00;0;;
CAC;25.05.1961 00:00;0;;
CAC;26.05.1961 00:00;2;;
CAC;27.05.1961 00:00;37;;
CAC;28.05.1961 00:00;20.5;;
CAC;29.05.1961 00:00;7.5;;
CAC;30.05.1961 00:00;0;;
CAC;31.05.1961 00:00;6.7;;
CAC;01.06.1961 00:00;20;;
CAC;02.06.1961 00:00;0;;
CAC;03.06.1961 00:00;0;;
CAC;04.06.1961 00:00;0;;
CAC;05.06.1961 00:00;6;;
CAC;06.06.1961 00:00;0;;
CAC;07.06.1961 00:00;0;;
CAC;08.06.1961 00:00;6.1;;
CAC;09.06.1961 00:00;22;;
CAC;10.06.1961 00:00;0;;
CAC;11.06.1961 00:00;0;;
CAC;12.06.1961 00:00;0;;
CAC;13.06.1961 00:00;1.5;;
CAC;14.06.1961 00:00;0;;
CAC;15.06.1961 00:00;0;;
CAC;16.06.1961 00:00;18.5;;
CAC;17.06.1961 00:00;0;;
CAC;18.06.1961 00:00;0.2;;
CAC;19.06.1961 00:00;0;;
CAC;20.06.1961 00:00;0;;
CAC;21.06.1961 00:00;9;;
CAC;22.06.1961 00:00;8.5;;
CAC;23.06.1961 00:00;0.1;;
CAC;24.06.1961 00:00;0;;
CAC;25.06.1961 00:00;0;;
CAC;26.06.1961 00:00;8.5;;
CAC;27.06.1961 00:00;17.2;;
CAC;28.06.1961 00:00;0;;
CAC;29.06.1961 00:00;0;;
CAC;30.06.1961 00:00;2.5;;
CAC;01.07.1961 00:00;0;;
CAC;02.07.1961 00:00;0;;
CAC;03.07.1961 00:00;0;;
CAC;04.07.1961 00:00;3;;
CAC;05.07.1961 00:00;0;;
CAC;06.07.1961 00:00;0;;
CAC;07.07.1961 00:00;0;;
CAC;08.07.1961 00:00;0;;
CAC;09.07.1961 00:00;0;;
CAC;10.07.1961 00:00;0;;
CAC;11.07.1961 00:00;8.2;;
CAC;12.07.1961 00:00;22.5;;
CAC;13.07.1961 00:00;2.1;;
CAC;14.07.1961 00:00;0;;
CAC;15.07.1961 00:00;22.2;;
CAC;16.07.1961 00:00;0.8;;
CAC;17.07.1961 00:00;0;;
CAC;18.07.1961 00:00;0;;
