station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
CAV;01.01.1961 00:00;12.2;;
CAV;02.01.1961 00:00;0;;
CAV;03.01.1961 00:00;34.7;;
CAV;04.01.1961 00:00;0;;
CAV;05.01.1961 00:00;0;;
CAV;06.01.1961 00:00;2.5;;
CAV;07.01.1961 00:00;0;;
CAV;08.01.1961 00:00;0;;
CAV;09.01.1961 00:00;0;;
CAV;10.01.1961 00:00;14.6;;
CAV;11.01.1961 00:00;6;;
CAV;12.01.1961 00:00;0;;
CAV;13.01.1961 00:00;0;;
CAV;14.01.1961 00:00;0;;
CAV;15.01.1961 00:00;0;;
CAV;16.01.1961 00:00;0;;
CAV;17.01.1961 00:00;0;;
CAV;18.01.1961 00:00;0;;
CAV;19.01.1961 00:00;0;;
CAV;20.01.1961 00:00;0;;
CAV;21.01.1961 00:00;0;;
CAV;22.01.1961 00:00;0;;
CAV;23.01.1961 00:00;0;;
CAV;24.01.1961 00:00;0;;
CAV;25.01.1961 00:00;0;;
CAV;26.01.1961 00:00;0;;
CAV;27.01.1961 00:00;0;;
CAV;28.01.1961 00:00;0;;
CAV;29.01.1961 00:00;0;;
CAV;30.01.1961 00:00;0;;
CAV;31.01.1961 00:00;9.3;;
CAV;01.02.1961 00:00;1.8;;
CAV;02.02.1961 00:00;6;;
CAV;03.02.1961 00:00;0;;
CAV;04.02.1961 00:00;10.3;;
CAV;05.02.1961 00:00;0;;
CAV;06.02.1961 00:00;0;;
CAV;07.02.1961 00:00;0;;
CAV;08.02.1961 00:00;0;;
CAV;09.02.1961 00:00;7;;
CAV;10.02.1961 00:00;0;;
CAV;11.02.1961 00:00;1.9;;
CAV;12.02.1961 00:00;0;;
CAV;13.02.1961 00:00;0;;
CAV;14.02.1961 00:00;0;;
CAV;15.02.1961 00:00;0;;
CAV;16.02.1961 00:00;0;;
CAV;17.02.1961 00:00;0;;
CAV;18.02.1961 00:00;0;;
CAV;19.02.1961 00:00;0;;
CAV;20.02.1961 00:00;4.8;;
CAV;21.02.1961 00:00;9.7;;
CAV;22.02.1961 00:00;3.7;;
CAV;23.02.1961 00:00;0;;
CAV;24.02.1961 00:00;0;;
CAV;25.02.1961 00:00;0;;
CAV;26.02.1961 00:00;0;;
CAV;27.02.1961 00:00;0;;
CAV;28.02.1961 00:00;0;;
CAV;01.03.1961 00:00;0;;
CAV;02.03.1961 00:00;0;;
CAV;03.03.1961 00:00;0;;
CAV;04.03.1961 00:00;0;;
CAV;05.03.1961 00:00;0;;
CAV;06.03.1961 00:00;0;;
CAV;07.03.1961 00:00;0;;
CAV;08.03.1961 00:00;0;;
CAV;09.03.1961 00:00;0;;
CAV;10.03.1961 00:00;0;;
CAV;11.03.1961 00:00;0;;
CAV;12.03.1961 00:00;0;;
CAV;13.03.1961 00:00;0;;
CAV;14.03.1961 00:00;0;;
CAV;15.03.1961 00:00;0;;
CAV;16.03.1961 00:00;0;;
CAV;17.03.1961 00:00;0;;
CAV;18.03.1961 00:00;7.9;;
CAV;19.03.1961 00:00;0;;
CAV;20.03.1961 00:00;0;;
CAV;21.03.1961 00:00;0;;
CAV;22.03.1961 00:00;0;;
CAV;23.03.1961 00:00;0;;
CAV;24.03.1961 00:00;0;;
CAV;25.03.1961 00:00;0;;
CAV;26.03.1961 00:00;0;;
CAV;27.03.1961 00:00;0;;
CAV;28.03.1961 00:00;0;;
CAV;29.03.1961 00:00;0;;
CAV;30.03.1961 00:00;0;;
CAV;31.03.1961 00:00;0;;
CAV;01.04.1961 00:00;2.2;;
CAV;02.04.1961 00:00;9.2;;
CAV;03.04.1961 00:00;0;;
CAV;04.04.1961 00:00;0;;
CAV;05.04.1961 00:00;0;;
CAV;06.04.1961 00:00;4.5;;
CAV;07.04.1961 00:00;0;;
CAV;08.04.1961 00:00;0;;
CAV;09.04.1961 00:00;0.7;;
CAV;10.04.1961 00:00;0;;
CAV;11.04.1961 00:00;0;;
CAV;12.04.1961 00:00;0;;
CAV;13.04.1961 00:00;5.4;;
CAV;14.04.1961 00:00;25.1;;
CAV;15.04.1961 00:00;17.1;;
CAV;16.04.1961 00:00;2.8;;
CAV;17.04.1961 00:00;7.8;;
CAV;18.04.1961 00:00;2.2;;
CAV;19.04.1961 00:00;0;;
CAV;20.04.1961 00:00;0;;
CAV;21.04.1961 00:00;10;;
CAV;22.04.1961 00:00;12;;
CAV;23.04.1961 00:00;1.3;;
CAV;24.04.1961 00:00;0;;
CAV;25.04.1961 00:00;1.4;;
CAV;26.04.1961 00:00;1.2;;
CAV;27.04.1961 00:00;0;;
CAV;28.04.1961 00:00;3.2;;
CAV;29.04.1961 00:00;0;;
CAV;30.04.1961 00:00;0;;
CAV;01.05.1961 00:00;0;;
CAV;02.05.1961 00:00;0;;
CAV;03.05.1961 00:00;0;;
CAV;04.05.1961 00:00;0;;
CAV;05.05.1961 00:00;0;;
CAV;06.05.1961 00:00;7.8;;
CAV;07.05.1961 00:00;0;;
CAV;08.05.1961 00:00;0;;
CAV;09.05.1961 00:00;0;;
CAV;10.05.1961 00:00;0;;
CAV;11.05.1961 00:00;0;;
CAV;12.05.1961 00:00;0.3;;
CAV;13.05.1961 00:00;0;;
CAV;14.05.1961 00:00;0;;
CAV;15.05.1961 00:00;6.5;;
CAV;16.05.1961 00:00;0;;
CAV;17.05.1961 00:00;10.9;;
CAV;18.05.1961 00:00;0;;
CAV;19.05.1961 00:00;0;;
CAV;20.05.1961 00:00;0;;
CAV;21.05.1961 00:00;0;;
CAV;22.05.1961 00:00;0;;
CAV;23.05.1961 00:00;7.4;;
CAV;24.05.1961 00:00;0;;
CAV;25.05.1961 00:00;0.9;;
CAV;26.05.1961 00:00;1.8;;
CAV;27.05.1961 00:00;36;;
CAV;28.05.1961 00:00;24.6;;
CAV;29.05.1961 00:00;5.3;;
CAV;30.05.1961 00:00;0;;
CAV;31.05.1961 00:00;12;;
CAV;01.06.1961 00:00;38.3;;
CAV;02.06.1961 00:00;0;;
CAV;03.06.1961 00:00;0;;
CAV;04.06.1961 00:00;0;;
CAV;05.06.1961 00:00;3.1;;
CAV;06.06.1961 00:00;0;;
CAV;07.06.1961 00:00;0;;
CAV;08.06.1961 00:00;6;;
CAV;09.06.1961 00:00;27.2;;
CAV;10.06.1961 00:00;0;;
CAV;11.06.1961 00:00;0;;
CAV;12.06.1961 00:00;0;;
CAV;13.06.1961 00:00;6.3;;
CAV;14.06.1961 00:00;0;;
CAV;15.06.1961 00:00;0;;
CAV;16.06.1961 00:00;6.8;;
CAV;17.06.1961 00:00;0;;
CAV;18.06.1961 00:00;0;;
CAV;19.06.1961 00:00;0;;
CAV;20.06.1961 00:00;0;;
CAV;21.06.1961 00:00;1.5;;
CAV;22.06.1961 00:00;9.7;;
CAV;23.06.1961 00:00;0;;
CAV;24.06.1961 00:00;0;;
CAV;25.06.1961 00:00;0;;
CAV;26.06.1961 00:00;17.8;;
CAV;27.06.1961 00:00;19;;
CAV;28.06.1961 00:00;0;;
CAV;29.06.1961 00:00;0;;
CAV;30.06.1961 00:00;0;;
CAV;01.07.1961 00:00;0;;
CAV;02.07.1961 00:00;2.3;;
CAV;03.07.1961 00:00;0;;
